,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,PRIM,764,86,867,103
1,O.,882,83,911,102
2,"Questa,",688,106,751,121
3,si,761,102,771,117
4,è,780,104,788,116
5,"questa,",797,108,854,121
6,"amici,",862,105,913,119
7,La,691,123,710,136
8,patria,721,126,764,140
9,nostra;,776,126,829,138
10,si,839,122,853,140
11,ravvisa,859,124,912,136
12,"appens,",923,126,980,138
13,Ma,689,139,719,156
14,è,727,139,746,156
15,questa.-,745,143,816,156
16,Augusta,826,142,886,157
17,terra,897,144,931,154
18,(,731,155,741,173
19,"inginoccbia,",753,155,836,173
20,e,854,155,861,173
21,bacia,863,155,896,173
22,della,908,158,942,171
23,"terra,",953,161,993,172
24,che,1003,159,1024,171
25,prende,761,173,807,192
26,sulle,818,173,848,192
27,mani.,856,177,897,189
28,Dei,692,192,720,205
29,figliuoli,730,190,787,209
30,del,799,193,820,204
31,"Sol,",831,192,862,208
32,ti,870,194,881,207
33,bacio,891,193,929,207
34,ancora,938,197,985,207
35,:,992,197,995,205
36,Il,688,208,717,227
37,mio,717,208,747,224
38,pianto,754,212,798,227
39,ci,808,210,819,227
40,"bagna,",828,208,880,226
41,il,888,211,897,223
42,cor,907,215,930,224
43,t'adora.,939,212,1001,225
44,(pci,745,227,777,246
45,con,779,227,804,246
46,fervore,809,226,862,246
47,rivegltendoii,871,227,961,244
48,al,968,230,982,243
49,Sale.,991,228,1025,242
50,O,731,244,740,261
51,gran,742,244,767,261
52,Dio,776,245,803,259
53,",",809,244,813,261
54,che,820,245,848,259
55,mi,857,246,875,259
56,vedesti,886,243,937,259
57,Re,731,260,756,276
58,felice,759,262,797,276
59,e,809,267,816,275
60,lieto,825,264,858,277
61,"amante,",868,267,929,279
62,Tu,729,280,751,294
63,seconda,762,279,820,296
64,in,830,283,842,294
65,tale,853,281,880,296
66,istante,887,280,939,298
67,D'un,729,298,767,312
68,tuo,778,303,800,312
69,figlio,811,299,849,315
70,il,859,300,868,312
71,beil',878,300,909,312
72,ardor.,914,299,960,311
73,Coro.,659,317,695,331
74,Tu,713,315,737,330
75,seconda,746,316,804,333
76,in,812,316,828,333
77,tale,836,316,864,333
78,"istante,",872,317,931,333
79,De,729,334,755,346
80,tuoi,764,332,792,345
81,figli,802,331,832,348
82,il,843,333,852,346
83,bell',865,331,897,349
84,ardor-,900,331,945,349
85,ATTO,269,85,377,102
86,Ma,283,100,311,118
87,indiano,317,100,372,118
88,ha,380,105,397,119
89,il,406,106,415,118
90,cuore.,425,107,474,120
91,17,989,91,1005,104
92,Esi.,145,99,177,115
93,"Men,",147,121,180,133
94,La,184,120,200,135
95,nuova,211,125,253,135
96,fe,264,120,276,133
97,..,283,131,293,133
98,Emi.,146,134,184,154
99,Ama,181,157,215,173
100,troppo,225,159,273,173
101,Zamoro.,281,155,348,171
102,Mon.Ombra,146,173,231,190
103,è,242,173,250,187
104,"Zamoro,",256,173,323,191
105,e,332,178,339,186
106,all'ombre,349,174,419,193
107,Non,185,188,218,207
108,cal,222,191,241,203
109,di,252,191,265,204
110,nostra,275,195,319,206
111,fede,330,191,360,207
112,:,368,196,371,204
113,e,379,192,387,204
114,poi,394,192,422,211
115,cangiato,427,193,491,211
116,E',179,208,203,225
117,troppo,206,212,252,227
118,il,263,210,272,222
119,nostro,280,209,329,228
120,stato:,336,213,379,228
121,all',390,211,412,225
122,ara,418,211,439,225
123,porti,450,211,485,229
124,Un,186,225,213,241
125,nuovo,215,225,260,241
126,"cor,",269,231,298,243
127,sarà,308,227,336,240
128,felice,346,227,387,242
129,un,396,232,414,240
130,giorno.,423,228,478,245
131,Non,284,137,313,152
132,trionfo,325,136,376,156
133,d'amore.,385,141,454,158
134,(parte,459,247,502,266
135,Emi.,148,261,179,275
136,Mai,184,262,212,275
137,lo,223,262,235,274
138,sarà.,246,262,280,275
139,Quel,291,261,327,278
140,cor,337,267,359,276
141,non,366,267,391,276
142,cangia,397,263,443,280
143,:,449,264,456,280
144,invano,464,265,512,277
145,Lo,183,279,202,292
146,crede,211,278,250,293
147,il,260,280,269,292
148,"padre,",275,279,322,297
149,e,332,284,339,294
150,spera,349,284,386,297
151,amor,392,280,429,294
152,Gusmano,433,280,503,296
153,.,509,290,511,293
154,(parte.,459,301,513,317
155,SCEN,238,329,331,350
156,A,343,331,364,350
157,VII.,399,334,428,348
158,Za.Oh,659,352,723,366
159,cone,733,354,771,364
160,intorno,781,352,833,363
161,rutto,844,354,878,364
162,Avvolse,697,369,757,381
163,distruzion!-,767,368,869,381
164,Opera,879,368,925,385
165,orrends,935,369,991,382
166,E'questa,693,387,759,404
167,"tua,",765,390,791,401
168,Gusman;,796,386,861,404
169,ma,869,386,892,404
170,trema.,897,386,949,404
171,-,951,386,962,404
172,lo,962,387,976,400
173,"torno,",981,391,1026,401
174,Caro,694,402,730,418
175,"Montezo,",741,404,816,421
176,Idalide,824,404,876,418
177,"adorata,",886,405,949,420
178,Vivo,695,422,732,435
179,per,744,426,767,439
180,"voi,",777,423,807,437
181,per,817,426,841,439
182,vendicarvi.,850,422,955,436
183,-,957,421,963,439
184,O,964,423,978,436
185,caro,987,426,1018,435
186,Teneto,693,438,750,457
187,oggetto,759,444,812,457
188,degli,817,438,857,457
189,affetti,868,440,910,457
190,"miei,",920,440,961,455
191,"Idalide,",696,457,757,471
192,che,767,455,791,470
193,fai?,801,456,829,469
194,Ah,839,455,862,470
195,dove,871,457,907,470
196,sei,918,455,940,472
197,?,942,455,952,472
198,Acceso,713,475,767,488
199,è,777,474,784,487
200,questo,795,477,842,492
201,core,852,478,883,489
202,Da,729,492,751,509
203,amore,761,496,806,505
204,e,816,496,823,504
205,da,834,492,849,505
206,vendetta;,860,492,931,506
207,E,742,506,752,523
208,il,754,507,770,524
209,bell',772,509,802,523
210,istante,809,509,857,523
211,aspetta,866,512,918,528
212,Di,732,527,750,540
213,sua,761,531,783,540
214,felicità.,793,527,854,542
215,Cadrà,713,544,756,559
216,svenato,765,548,821,559
217,il,832,546,842,559
218,barbaro,850,545,905,560
219,;,911,550,916,561
220,Vedrò,731,561,777,577
221,I'amato,787,564,846,577
222,bene,853,563,888,579
223,E,743,579,753,596
224,tante,754,584,790,594
225,pene-e,802,585,865,598
226,palpiti,876,580,924,598
227,Amor,732,598,776,611
228,consolerà.,785,596,861,612
229,"Innoltriamoci,",698,615,811,632
230,"amici,",819,617,869,631
231,ricerchiamo,880,616,968,631
232,Di,690,629,728,649
233,"Montezo,",726,629,799,649
234,d',807,631,821,647
235,Idalide.chi,827,631,919,648
236,veggo?,930,634,981,652
237,Uno,699,651,731,664
238,Spagnuol,740,647,806,667
239,!.,812,652,830,665
240,s'eviti,840,652,898,667
241,:,900,650,906,668
242,odioso,908,650,959,667
243,è,964,652,971,665
244,troppo,981,656,1026,669
245,L'aspetto,696,667,769,684
246,lor,776,667,799,686
247,..,801,668,821,686
248,Recinto,148,366,207,382
249,selvoso,215,368,269,384
250,in,277,367,296,385
251,parte,302,371,339,386
252,occu,349,368,386,387
253,pato,388,369,413,387
254,da,428,370,444,383
255,capanne,454,372,514,387
256,che,184,386,209,399
257,si,223,386,233,399
258,veggono,249,389,309,402
259,recentemente,322,389,422,400
260,"costrutte,",441,390,515,402
261,alcune,184,403,233,416
262,del,245,403,267,415
263,"tutro,",277,402,326,418
264,altre,339,405,372,419
265,per,387,408,410,419
266,"metà,",424,406,468,420
267,varie,478,405,515,416
268,sulle,184,421,219,434
269,rovine,234,421,281,434
270,d',295,420,314,437
271,antiche,316,421,369,434
272,fabbriche,385,421,452,434
273,incen-,470,423,516,435
274,diate.,185,437,229,453
275,Molti,151,473,188,487
276,Indiani,197,473,249,487
277,armati,264,474,309,486
278,di,324,474,338,486
279,"dardo,",346,474,394,489
280,e,409,479,414,487
281,scudo,430,476,465,487
282,d'oro,480,475,516,487
283,COmupariscomo,181,489,274,508
284,dalla,282,489,324,508
285,"selva,",333,492,379,507
286,ineitrano,392,490,468,504
287,guar,480,497,516,508
288,"dingbi,",185,507,236,524
289,poi,245,508,266,524
290,Zamoro.,276,507,339,523
291,La,349,511,369,522
292,di,377,510,391,522
293,Isi,400,510,419,522
294,aria,426,510,454,522
295,i,462,510,468,522
296,intre,478,508,516,522
297,pida,185,523,215,541
298,e,225,524,234,539
299,nobilmente,240,523,313,540
300,fiera.,321,529,362,543
301,Zan.,152,579,188,591
302,Qual,185,571,247,595
303,terra,257,582,291,596
304,è,301,577,308,590
305,questa,315,574,365,598
306,?-e,368,576,414,599
307,dove,418,577,449,601
308,Da,184,593,214,611
309,cocenti,219,593,271,611
310,"deserti,",279,593,339,611
311,Da,186,613,207,627
312,inospite,217,614,275,630
313,foreste,285,614,334,627
314,i,345,614,348,626
315,nostri,360,615,401,631
316,passi,413,615,448,631
317,Guidan,187,630,240,645
318,vendetta,249,628,315,645
319,e,325,636,332,644
320,amore,341,630,385,647
321,-,387,630,419,646
322,Qul,188,648,215,663
323,par,224,652,247,663
324,che,257,650,282,662
325,alfine,293,649,332,663
326,trovi,342,651,377,662
327,calma,387,649,429,663
328,il,441,649,450,662
329,core.,461,653,498,664
330,"(orserva,",238,668,305,682
331,e,316,672,321,679
332,pui,330,666,350,683
333,come,362,671,393,679
334,riconOEREndo,407,668,489,681
