,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,PRIM,738,83,842,98
1,O.,869,78,882,97
2,Ecco,666,108,702,122
3,l'antro,711,107,764,119
4,del,773,104,794,116
5,Sole:,805,103,845,116
6,qui,853,103,876,115
7,fra,886,100,906,113
8,istanti,916,96,966,112
9,Idalide,667,123,719,139
10,verrà:,729,123,777,137
11,l'involi,786,121,844,137
12,amore,854,119,900,134
13,D'un,663,144,705,158
14,tiranno,715,144,770,155
15,al,778,141,791,154
16,"poter,",801,140,848,156
17,30,141,100,159,114
18,ATTO,253,96,363,111
19,3r,960,80,982,96
20,S,199,129,225,148
21,CEN,237,128,305,147
22,A,320,128,335,145
23,XIV.,371,132,409,145
24,Reggia,124,171,175,184
25,degli,185,169,220,184
26,Incassi,231,167,281,180
27,del,292,166,312,179
28,"Peri,",322,166,367,182
29,ora,376,172,399,181
30,ridotta,408,167,457,181
31,da-,467,166,490,178
32,gli,139,185,162,203
33,Spagnuoli,169,184,242,202
34,ad,253,184,268,198
35,uso,278,189,303,199
36,di,311,184,325,199
37,fortezza.,332,183,400,200
38,Vi,405,186,426,200
39,si,430,186,448,201
40,rile-,457,184,490,200
41,vano,143,204,180,221
42,le,185,203,201,220
43,rovine,208,204,255,218
44,dell',264,203,296,219
45,antica,302,203,345,216
46,"Fabbrica,",356,201,425,217
47,Un',432,201,463,218
48,an-,468,207,489,214
49,tro,140,228,161,235
50,dedicato,171,222,232,234
51,al,242,222,254,235
52,culto,265,221,303,235
53,del,312,221,334,234
54,Sole.,343,221,381,234
55,SCEN,714,177,813,189
56,A,832,174,845,188
57,XV.,891,170,931,186
58,44,941,166,964,183
59,Emira,641,216,685,228
60,"afannora,",695,214,767,229
61,"suardinga,",774,211,852,227
62,"incerta,",860,207,917,223
63,e,925,210,933,220
64,detto.,941,204,986,219
65,E,286,255,294,270
66,notte.,299,257,341,271
67,Zamoro,794,245,867,284
68,!,875,263,878,274
69,"Zamoro,",136,293,203,308
70,e,212,297,218,305
71,Indiani,226,291,280,305
72,che,288,292,310,305
73,cantamnente,318,293,397,305
74,avanzano,405,290,472,308
75,.,474,290,478,308
76,Emi.,634,269,667,282
77,Zaw.,635,288,671,300
78,Emira!..,885,279,961,290
79,(,905,296,915,312
80,com,917,295,934,311
81,premura.,938,297,1004,309
82,ARTA,278,322,228,306
83,"Zam,",126,326,164,345
84,"INotte,",166,326,237,345
85,tremenda,245,327,313,342
86,"notte,",324,331,371,343
87,Nel,158,347,184,361
88,tenebroso,196,346,266,361
89,velo,275,347,306,358
90,tuo,315,349,339,359
91,m'ascondi:,349,345,432,358
92,Tutto,158,365,202,378
93,H,214,365,223,376
94,tuo,234,368,257,377
95,orrore,268,366,314,377
96,a,322,367,328,375
97,mio,340,364,368,376
98,favor,378,363,416,377
99,diffondi.,425,363,491,376
100,Ecco,159,382,194,395
101,F,203,380,216,398
102,"ora,",219,380,254,398
103,"compagni,",259,381,340,398
104,Della,160,400,200,413
105,vendetta,211,396,273,411
106,.,279,408,282,410
107,Struggasi,285,396,359,416
108,quell'empio,370,398,459,416
109,Asilo,159,417,198,431
110,de',208,416,229,429
111,"tirannf,",238,416,297,431
112,"erretto,",306,414,364,433
113,ahi,373,414,395,428
114,pena!,406,414,449,433
115,Sulte,158,435,196,448
116,raine,206,433,246,449
117,di,253,434,266,446
118,mia,277,438,303,447
119,"reggia,",313,434,361,448
120,e,371,437,378,445
121,tutto,389,432,424,445
122,Posta,159,452,200,465
123,cader,209,453,249,465
124,con,259,456,283,464
125,ogni,293,448,331,466
126,Ispan,334,448,373,465
127,distrutto.-,384,450,473,463
128,Per,159,471,185,484
129,guel,195,471,225,487
130,sentier,236,470,286,482
131,noto,297,473,329,483
132,a,338,473,345,483
133,"noi'solo,",355,468,423,483
134,amiei,435,468,475,480
135,Idalide,670,321,723,335
136,dov',732,320,764,334
137,è?,769,319,789,331
138,Emi.,637,340,670,353
139,Zam.,635,359,673,370
140,Parla.,672,375,718,386
141,Emi.,639,392,669,410
142,Misera,776,334,829,346
143,!,835,333,838,346
144,Oh,854,347,884,364
145,dio!,884,348,914,361
146,-,925,352,932,357
147,Gusmano,745,390,814,402
148,..,824,395,837,399
149,Ebben,817,405,861,419
150,!,866,404,871,415
151,..,881,411,895,415
152,Col,852,421,880,434
153,padre,889,419,930,436
154,altrove,940,418,992,430
155,Zam.,638,414,675,424
156,Emi.,639,431,670,443
157,La,673,445,692,459
158,fe,702,446,716,461
159,guidar.,724,444,781,460
160,Zam.,640,467,676,476
161,"Emi.Là,",640,480,699,495
162,nell',709,479,742,492
163,antica,752,478,795,490
164,reggia,805,475,849,492
165,tua.,858,477,891,491
166,Zem.,642,500,684,515
167,Là,677,512,698,529
168,Idalide?-,708,512,785,528
169,che,793,512,820,525
170,feci,828,507,859,525
171,?,860,507,871,525
172,Ah,783,458,807,472
173,scellerato!ve,816,457,931,469
174,dove,942,451,977,467
175,?,978,449,986,466
176,"(additando,",918,471,1011,483
177,(a,397,484,429,500
178,seguaci.,440,483,493,502
179,Oberido,158,505,218,518
180,seguite,228,505,290,520
181,vendicate,298,503,372,517
182,Jl,152,523,184,540
183,vostro,182,527,226,536
184,Re,235,523,264,539
185,e,279,521,286,538
186,su,291,521,310,538
187,i,316,523,319,535
188,vostri,330,522,371,534
189,acciar,382,522,426,534
190,giurate.,434,521,493,536
191,Che,821,491,852,506
192,dici,861,489,896,504
193,?,894,491,900,504
194,(com,871,527,914,544
195,raccapriccio.,922,522,1014,541
196,Misero,677,551,733,564
197,me,743,548,764,566
198,ella,806,546,837,563
199,è,841,545,856,562
200,perduta.,858,546,926,560
201,Emira;,951,540,1006,556
202,(,931,560,944,581
203,piangendo.,939,560,1015,576
204,CORO.,283,538,339,553
205,Si:,178,559,201,572
206,lo,211,556,229,575
207,giuriamo,235,556,305,573
208,Vendetta,197,573,266,589
209,o,276,580,284,590
210,morte,294,576,336,587
211,Amici.,196,594,251,608
212,andia,260,590,299,608
213,mo,305,590,324,608
214,Con,202,608,229,626
215,alima,235,612,269,623
216,forte.,280,609,327,623
217,Cadano,195,630,250,643
218,i,260,630,263,642
219,perfidi,275,628,321,645
220,Nostri,195,646,242,662
221,oppressor.,252,645,329,665
222,(,197,664,207,681
223,il,209,664,222,681
224,"Cacico,",224,663,273,678
225,e,283,669,288,677
226,gli,297,666,313,680
227,Indiani,325,664,376,676
228,per,385,666,406,678
229,un,416,667,431,674
230,foro,443,660,471,678
231,che,473,660,495,677
232,aprone,232,688,274,698
233,setto,286,685,316,694
234,uma,328,686,351,693
235,pietra,366,681,407,696
236,"enirano,",419,684,478,694
237,e,491,685,496,692
238,jalgono,232,699,279,717
239,nella,288,699,321,712
240,rggia.,331,698,379,716
241,Forse,680,587,719,601
242,non,730,590,758,599
243,v'è,766,584,791,597
244,più,802,584,824,601
245,tempo,835,587,883,600
246,"Emi,",647,606,679,618
247,orservandołu,680,601,772,618
248,attenita,780,599,832,616
249,),838,603,842,617
250,"Zam,",651,621,687,638
251,Tu,689,621,710,637
252,non,718,626,744,636
253,sai,751,620,774,636
254,...,784,629,797,633
255,Emi.,647,641,679,653
256,Zam.,647,660,685,673
257,Che,682,676,712,690
258,orror!-,721,676,787,689
259,puvera,797,672,850,688
260,Idalide!,858,672,921,683
261,Egli,874,599,906,615
262,delira.,913,598,970,609
263,(,925,615,936,632
264,come,938,614,969,630
265,sopra.,975,616,1016,629
266,Quale,790,636,835,653
267,smania!,839,634,911,648
268,A,947,628,974,645
269,E,857,655,869,669
270,un,870,659,886,667
271,ceno,897,655,940,663
272,mio,950,651,978,661
273,..,987,657,999,660
274,"(con""",882,686,925,706
275,disperazien:.,926,683,1025,700
276,Fat-,971,701,1003,714
277,Ec-,453,713,478,728
