,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,293,90,401,108
1,Chiamerai,231,109,311,126
2,Zamóro,322,110,379,125
3,"allora,",387,113,439,128
4,Ombra,231,128,282,143
5,allor,292,128,327,141
6,Zamor,337,127,385,142
7,sarà.,394,131,431,144
8,Piangero,232,145,300,163
9,per,310,150,333,162
10,poco,343,149,376,164
11,ancora,385,147,433,162
12,Sulla,231,160,275,176
13,mia,280,160,309,178
14,fatalità.,315,160,379,178
15,Quella,232,181,282,198
16,destra,292,181,337,195
17,ch',346,181,367,194
18,era,373,185,396,195
19,"mia,",406,182,441,198
20,Avrà,232,197,272,214
21,un',280,199,304,213
22,empio,309,199,354,217
23,.,364,208,376,212
24,oh,382,200,404,217
25,quale,413,201,454,218
26,orrore.,462,200,516,216
27,Ferrea,234,216,283,231
28,man,292,221,322,230
29,mi,333,218,350,230
30,stringe,361,217,416,235
31,il,423,218,431,230
32,"core,",442,222,483,235
33,Truce,233,233,280,249
34,idea,292,235,322,248
35,gelar,332,235,369,252
36,mi,379,235,396,247
37,få.,408,234,428,248
38,SECONDO.,784,93,936,109
39,SCENA,759,145,888,164
40,XIX,927,147,963,162
41,"Alvarez,",751,199,835,220
42,"Montezo,",840,200,918,221
43,Coro.,924,203,970,217
44,(resta,317,254,359,268
45,cupamente,369,256,442,270
46,concentrate.,451,256,533,267
47,Alv.,679,273,716,288
48,V,724,268,740,285
49,"ient,",752,272,789,289
50,"Montezo,",799,272,874,290
51,"amiei,",883,274,933,294
52,Seguitemi;,712,291,793,308
53,tentiam,803,293,858,305
54,tutte,869,296,903,304
55,le,913,293,924,305
56,vie,931,290,957,304
57,Onde,713,308,753,321
58,piegar,764,311,809,325
59,quel,820,310,851,325
60,core,860,308,893,327
61,appieno.,898,308,969,328
62,Mon.,677,325,712,338
63,Finalmente,715,343,799,356
64,commosso.,810,345,893,356
65,Alv.Si:,679,360,735,373
66,l'eroismo,745,360,815,373
67,di,826,360,839,373
68,Zamor,850,360,899,373
69,l',909,360,917,373
70,ha,924,360,940,373
71,scolso.,950,362,1003,375
72,Ei,711,375,743,391
73,cederà,741,377,789,391
74,a,799,382,805,390
75,virtù,815,378,852,391
76,:,858,383,862,390
77,quel,872,378,904,393
78,cor,914,382,937,392
79,conosco.,946,381,1011,392
80,Su,717,393,744,410
81,quell',746,393,789,411
82,alma,791,394,837,412
83,acciecata,836,394,903,411
84,da,914,397,929,409
85,"possente,",941,399,1012,414
86,Tiranna,714,410,776,428
87,degli,786,413,822,431
88,Eroi,834,413,865,426
89,dolce,875,413,913,428
90,passione,924,415,984,432
91,Riprenderà,714,431,798,449
92,virtù,805,430,845,445
93,l'usato,856,432,906,446
94,impero.,917,433,976,450
95,Mow.Lo,680,447,737,462
96,voglia,744,450,789,465
97,il,799,450,808,463
98,cielo,819,450,854,463
99,!,859,450,864,461
100,Alv.,685,465,717,481
101,CORO.,334,287,390,302
102,"Deh,",216,323,257,341
103,"calma,",266,324,317,341
104,o,325,322,354,341
105,misero,356,322,394,341
106,L'afflitto,235,340,305,359
107,"core,",314,345,355,358
108,Virtù,235,359,275,373
109,consoliti,285,359,348,374
110,Nel,235,377,263,390
111,tuo,275,380,298,389
112,"dolore,",307,376,362,392
113,Spera,235,395,276,410
114,dal,287,394,308,406
115,cielo,319,395,355,407
116,Felicità.,236,409,301,424
117,Ei,892,325,909,339
118,parve,918,329,958,344
119,Zaiw.,166,429,203,441
120,Felicità,222,428,278,444
121,!..,286,429,313,442
122,per,323,434,346,446
123,me,356,433,377,443
124,?,385,430,391,446
125,..,393,436,406,443
126,Felicità,237,447,294,461
127,non,304,446,330,460
128,v'è-,340,447,379,460
129,Lagrimar,237,465,307,482
130,io,317,465,330,479
131,debbo,339,465,381,479
132,ognora,391,469,442,482
133,Sulla,239,481,275,496
134,mia,286,483,312,496
135,fatalità.,322,483,382,496
136,"Va,",221,500,250,518
137,tiranno:,260,501,324,513
138,omai,333,502,368,514
139,comprendi,379,501,457,518
140,Quanto,239,518,295,535
141,a,304,523,312,530
142,te,322,522,335,531
143,maggior,346,519,407,536
144,son',413,518,444,531
145,io,450,520,463,532
146,...,467,527,480,531
147,Cara,239,536,274,549
148,..,279,545,290,548
149,amici..,296,534,357,552
150,oh,359,535,378,552
151,istante!..,386,535,459,552
152,oh,466,536,483,548
153,Dio..,491,535,533,552
154,"Ah,",233,553,271,568
155,finisca,280,553,327,567
156,cosi,336,553,364,568
157,"amara,",374,556,427,569
158,S1,236,568,268,586
159,crudel,262,568,309,585
160,fatalità.,320,571,379,584
161,(parte,276,589,319,607
162,dirperate,334,588,397,608
163,Gus.,405,587,443,610
164,"colpite,",452,589,501,610
165,prn-,508,596,539,610
166,Ed,841,465,861,480
167,è,869,466,877,480
168,nel,887,467,909,481
169,ciel,917,466,943,482
170,ch'io,953,466,992,481
171,spero.,1001,470,1047,484
172,(partemo.,980,487,1048,501
173,soso,292,611,317,619
174,si,330,605,344,621
175,vitira,347,606,386,620
176,co,396,608,412,621
177,smoi.,419,609,451,622
178,Ida.,461,607,488,621
179,i,499,607,512,621
180,se-,519,614,539,622
181,ENe,292,628,316,640
182,desolata.,324,625,389,638
183,SCE-,482,713,522,727
184,SCE-,991,720,1031,735
