,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,PRIM,757,89,856,102
1,o.,892,85,904,104
2,19,980,92,995,104
3,ATTO,269,97,378,112
4,Ingiusto!,270,114,341,130
5,Ida.,135,115,164,126
6,Zam.(,136,131,178,146
7,cen,184,136,204,144
8,amere),215,131,263,147
9,Ida.,135,149,163,161
10,Zam.,140,165,179,183
11,M',190,168,211,181
12,ami,217,169,243,180
13,ancor,253,170,293,182
14,.,303,169,316,180
15,Ida.,139,184,167,202
16,Z,146,202,157,220
17,im.,159,202,179,220
18,Sempre,189,202,244,220
19,mia!,252,203,288,216
20,.,297,214,309,217
21,Zda.,132,222,162,233
22,SCENA,724,124,859,138
23,XIHI.,894,123,932,137
24,M'ami?,338,129,399,148
25,E,388,150,397,168
26,il,399,150,412,168
27,chiedit,413,152,468,166
28,Gusmano,691,163,760,175
29,cos,770,165,790,173
30,"Guardie,",802,160,869,174
31,e,876,166,882,173
32,Montezo.,891,160,966,172
33,Sei,303,185,325,199
34,l'alma,335,184,384,203
35,mia.,393,188,427,201
36,"Lontezo,",716,216,783,231
37,"va,",792,218,813,228
38,con,819,218,843,226
39,que',849,214,879,229
40,miei,886,213,918,226
41,fidi,930,211,954,228
42,in,956,211,974,227
43,salvo,976,212,1013,224
44,Gur.,647,218,679,234
45,Guida,679,233,724,246
46,la,735,234,747,246
47,figlia,758,230,794,248
48,finchè,805,230,856,245
49,il,860,232,869,244
50,nuovo,880,235,926,245
51,sole,935,229,964,243
52,La,680,251,699,265
53,riconduca,709,248,783,264
54,all',793,248,821,265
55,ara.,823,248,860,265
56,Entro,865,248,907,265
57,quel,917,248,948,264
58,tao,959,251,982,261
59,Mal,680,269,710,282
60,secuio,723,273,770,281
61,soggiorno,780,268,851,285
62,la,862,268,874,280
63,potrebbe,884,267,947,284
64,Rapir,680,287,723,303
65,"Zamoro,",735,284,816,303
66,intorno,818,284,870,303
67,A,695,304,706,322
68,queste,705,308,752,321
69,selve,762,303,799,317
70,errando,809,304,867,317
71,va:,877,307,902,316
72,il,912,303,921,315
73,periglio,933,301,991,318
74,Se,680,320,706,337
75,n'eviti,709,320,763,335
76,cosi.,774,322,812,334
77,Fedel,303,221,345,235
78,morrò.,354,221,404,235
79,4,284,242,315,253
80,3,316,244,323,251
81,Come,185,256,229,270
82,mai,238,255,264,270
83,quel,274,256,306,272
84,caro,315,259,347,271
85,aspetto,356,259,409,275
86,Mi,204,271,225,288
87,seduce,236,271,288,287
88,il,294,273,305,286
89,cor,314,278,338,288
90,nel,347,274,372,292
91,petto,380,274,414,293
92,Dolce,203,291,248,305
93,incanto,259,291,314,306
94,mi,322,292,343,305
95,rapisce,351,291,403,310
96,E,214,307,225,325
97,d'amor,224,309,280,323
98,languir,288,308,349,328
99,mi,354,311,372,324
100,fa.,383,311,402,324
101,Vanne,188,326,237,340
102,basta,246,327,283,342
103,..,292,337,304,341
104,Ida.,130,326,161,339
105,Zam.,131,345,169,357
106,da.,130,360,159,377
107,Zam.,130,380,170,394
108,"Vado,",188,379,236,396
109,si,244,381,255,393
110,-,260,381,275,394
111,mz,280,381,311,398
112,pria,316,382,346,399
113,..,355,390,367,394
114,Ida.,128,396,159,409
115,Zam.,130,413,167,428
116,Di,186,413,204,426
117,venir,214,415,253,428
118,prometti,264,415,327,433
119,all',336,416,364,433
120,antro.,366,416,413,431
121,Ida.,128,431,158,443
122,(incerta),167,430,234,449
123,Ciel!.,243,430,305,447
124,Zam.,128,450,166,464
125,Saggio,787,339,837,353
126,è,846,337,854,350
127,il,864,337,873,349
128,consiglio.,883,336,957,352
129,Man.,646,344,680,355
130,Gui.,647,360,680,373
131,Io,685,358,700,371
132,questa,710,360,757,373
133,notte,766,359,804,369
134,al,814,355,826,368
135,campo,837,358,884,371
136,Passerò,684,374,741,388
137,"intanto,",753,374,814,389
138,e,825,372,835,388
139,se,839,371,857,387
140,Zamoro,865,370,923,385
141,ei,932,372,949,384
142,vili,961,370,985,382
143,Seguaci,683,393,740,408
144,suoi,751,392,780,405
145,tornano,791,395,847,404
146,all',855,390,883,407
147,"armi,",885,390,931,407
148,tremi,938,389,976,401
149,"L'India,",683,412,751,425
150,sotterra,761,414,818,422
151,già,828,409,848,424
152,son,859,413,882,421
153,chiusi,892,406,936,421
154,i,947,405,957,421
155,fuochi,963,405,1009,418
156,Sterminatori,684,429,780,440
157,",",787,437,790,443
158,e,807,427,820,444
159,ad,816,428,833,440
160,un,843,431,861,439
161,mio,871,427,898,439
162,cenno,907,430,951,438
163,in,961,428,974,436
164,polve,981,424,1022,438
165,Queste,685,448,737,461
166,contrade,747,445,811,458
167,il,822,445,831,458
168,mio,842,445,869,457
169,furore,880,443,926,456
170,avvolve.,936,443,1003,455
171,Và.,686,462,716,477
172,Un',309,345,339,360
173,altro,348,346,384,360
174,istante,393,347,442,362
175,..,451,357,465,361
176,Notte,187,361,230,376
177,scende,239,361,288,380
178,.,290,362,315,380
179,"Và,",320,363,342,380
