,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO2,279,87,432,104
1,SECONDO.,780,97,934,121
2,49,1004,105,1021,117
3,Ei,190,106,220,124
4,deve,218,109,252,123
5,-,263,117,274,125
6,Emi.,158,127,191,141
7,Ida.,160,143,192,162
8,(atterrita),193,144,269,161
9,Avanza,297,124,355,138
10,alcun,366,123,405,138
11,...,415,132,428,136
12,Cielo!,339,142,389,154
13,Gusmano!,399,141,479,155
14,(Eni.,406,158,455,174
15,si,464,160,476,172
16,vitiva.,485,157,529,170
17,SCEN,757,152,850,174
18,A,859,154,880,173
19,XII.,921,155,954,167
20,SCENA,249,196,381,209
21,VI.,420,194,443,207
22,Zamoro,727,207,785,224
23,fra,791,210,814,226
24,le,822,210,834,223
25,"Guardir,",843,210,910,225
26,e,920,214,926,222
27,detti.,935,209,977,222
28,"Gusmano,",230,231,310,247
29,"Idalide,",320,230,384,246
30,Guardie.,392,230,456,243
31,1da.,666,265,704,294
32,"Mori,",704,267,768,296
33,perfido,779,277,829,301
34,-,834,276,851,302
35,Zam.,671,294,705,313
36,riconoscendo,710,294,798,313
37,la,803,299,816,310
38,"vece,",824,294,862,313
39,e,872,302,879,311
40,esclama),888,297,949,313
41,Idalide!..,968,296,1033,310
42,Ida.(,668,312,703,330
43,lo,706,312,726,330
44,"ravvisa,",727,315,791,330
45,"'arresta,",800,313,871,330
46,le,881,315,893,331
47,cade,902,315,935,331
48,it,943,313,952,327
49,pugnale),961,315,1021,331
50,Gus,160,282,191,301
51,Ura,229,283,254,302
52,si,256,283,271,302
53,scopra,278,289,324,301
54,il,334,285,343,297
55,vero.),355,285,408,300
56,"Idalide,",193,302,258,318
57,se,267,307,281,317
58,in,287,303,304,315
59,mezzo,314,306,361,317
60,Al,196,323,215,335
61,tuo,225,326,249,334
62,giusto,259,322,303,337
63,dolore,311,320,357,334
64,Può,196,340,227,354
65,mai,239,336,268,354
66,vendetia,274,336,338,354
67,consolarti,347,338,422,352
68,il,433,338,443,351
69,"core,",454,342,493,354
70,lo,195,357,221,373
71,te,221,362,234,371
72,l'offro.,244,357,300,371
73,Ida.,161,377,190,395
74,(fremente),195,375,278,392
75,Gus.,166,395,193,408
76,Del,199,411,226,424
77,tuo,237,414,260,423
78,Zamor,265,409,314,422
79,fra,325,408,345,422
80,ceppi,354,409,394,425
81,miei;,404,408,445,422
82,com,455,411,484,420
83,prendi,489,406,535,423
84,Ch',196,429,222,442
85,io,227,427,249,444
86,non,253,431,280,441
87,l'armai,288,427,344,440
88,vile,364,426,391,439
89,non,401,429,427,438
90,son.,438,429,470,439
91,Deponi,480,424,535,442
92,Un,198,447,222,460
93,pensier,233,447,286,462
94,che,295,445,320,458
95,m',331,445,347,457
96,offende.,353,444,417,458
97,Solo,199,463,233,481
98,da,233,462,255,477
99,te,265,467,277,476
100,la,287,464,299,476
101,morte,310,465,352,476
102,sua,361,466,385,475
103,dipende.,394,460,461,478
104,Ida.,168,481,194,499
105,(,196,481,207,499
106,con,206,487,226,494
107,impete),236,481,291,497
108,Mora,301,480,341,496
109,"l'empio,",352,479,420,495
110,si,430,479,440,491
111,mora,451,482,487,491
112,-,494,485,502,487
113,(a,230,499,260,516
114,un,259,503,275,510
115,cenno,285,499,322,511
116,di,330,498,345,510
117,Gus.,355,496,389,513
118,partono,394,496,446,513
119,le,457,495,473,512
120,guardie.,475,495,536,510
121,Là,198,518,216,531
122,di,229,514,246,533
123,quell'urna,251,517,330,532
124,al,340,516,352,528
125,pie,365,517,386,531
126,l'anima,394,513,454,527
127,rea,464,517,486,526
128,Spiri,198,536,237,550
129,fra,246,533,265,547
130,mille,276,533,314,546
131,strazj:,324,532,374,549
132,non,383,536,410,546
133,v'è,421,531,446,544
134,pena,457,535,491,548
135,Che,198,551,229,567
136,le,239,552,252,565
137,mie,262,552,289,564
138,pene,300,555,334,568
139,eguagli,342,549,395,566
140,:,402,555,405,563
141,in,414,550,428,563
142,preda,433,547,474,565
143,io,486,549,499,562
144,sono,504,552,537,562
145,Alla,201,572,234,584
146,disperazione,243,567,338,585
147,...,348,567,358,581
148,Gus.,165,590,195,602
149,Ei,201,589,217,603
150,viene:,229,586,277,600
151,(ecco,286,587,327,603
152,il,337,586,347,599
153,momento...),359,586,457,600
154,Ind.,165,608,194,620
155,Gran,880,331,916,344
156,Dio?,927,328,965,344
157,(Gus.,700,348,743,363
158,rbe,755,348,777,360
159,attentamente,789,351,879,361
160,avrà,888,349,920,360
161,osservate,930,352,996,362
162,Ida.,1006,348,1034,361
163,e,747,364,758,381
164,veduta,760,364,803,382
165,"aziene,",814,365,883,382
166,si,895,366,914,383
167,volge,916,368,952,383
168,a,962,371,969,379
169,lei,981,367,999,380
170,con,1013,370,1034,378
171,forza.,725,384,779,402
172,Svenało,718,399,777,415
173,:,783,406,786,414
174,a,796,406,803,415
175,che,814,402,838,415
176,t',847,399,864,417
177,arresti?,866,399,924,417
178,Quel,735,419,770,437
179,sangue,780,424,830,436
180,tu,840,423,854,433
181,volesti;,865,420,923,434
182,Or,738,436,767,453
183,vana,766,441,799,450
184,è,809,438,817,450
185,la,827,439,839,450
186,pietà.,850,438,894,455
187,Vendetta,348,373,417,388
188,!,424,374,427,386
189,E',372,390,397,405
190,l',402,390,418,406
191,assassino,420,390,482,407
192,Gus.,665,403,693,414
193,Zam.,665,455,702,467
194,Svenami,719,453,781,467
195,io,802,456,815,467
196,t'offro,825,453,873,469
197,il,882,454,892,467
198,seno.,902,458,943,469
199,(a,976,452,1008,471
200,Ida.,1010,453,1032,470
201,Per,735,471,761,485
202,le,768,470,790,487
203,tue,793,476,815,485
204,mani,826,473,860,485
205,almeno,872,473,925,486
206,Dolce,738,489,781,503
207,il,791,491,800,503
208,morir,811,490,852,504
209,sarà.,863,491,898,503
210,Ida.,665,507,695,519
211,Crudel!,716,506,777,521
212,me,789,512,809,520
213,svena,819,511,860,522
214,in,870,509,883,521
215,pria:,893,508,930,525
216,(«,965,506,1007,525
217,Gus.,1009,506,1037,525
218,Giammai,734,524,802,538
219,la,812,526,825,538
220,destra,834,526,878,539
221,mia,889,524,916,538
222,Quel,736,543,771,558
223,sangue,782,547,831,559
224,verserà.,842,544,903,557
225,1da.,667,575,701,593
226,e,707,575,720,593
227,Qual,719,578,754,594
228,"gelo,",765,578,804,594
229,o,814,583,821,591
230,ciel:,831,577,867,592
231,qual,876,580,907,595
232,fremito,918,579,972,593
233,Quest',734,593,786,612
234,alma,790,596,824,609
235,"scuote,",834,594,889,613
236,ed,899,596,915,610
237,agita!,926,597,967,613
238,Fra,735,613,760,626
239,tante,769,617,806,626
240,angoscie,816,614,878,632
241,e,889,619,895,627
242,palpiti,907,614,955,633
243,Mancando,736,630,813,646
244,il,820,630,833,646
245,cor,846,630,870,647
246,mi,875,633,893,644
247,và.,903,632,927,645
248,Qual,717,648,753,664
249,"ira,",763,649,793,664
250,o,802,653,809,661
251,"ciel,",818,649,855,665
252,qual,863,650,895,665
253,fremita,904,650,959,663
254,M'assale,734,666,802,681
255,e,813,672,820,681
256,scuote,829,671,875,680
257,I',886,668,893,680
258,anima!,901,668,953,681
259,Che,735,684,765,697
260,pena,775,688,808,700
261,atroce,818,688,863,698
262,e,872,689,879,697
263,barbara,889,685,942,698
264,Straziando,735,699,815,717
265,il,825,703,835,715
266,cor,847,701,875,718
267,mi,878,703,895,715
268,và.,906,703,928,716
269,B,865,720,900,737
270,9,904,724,911,736
271,Zem.,665,596,702,608
272,Al,336,604,352,617
273,traditore,364,603,429,617
274,L'indegno,200,641,281,658
275,core,291,645,321,654
276,trapassar,331,643,397,656
277,vogl',408,638,445,655
278,io,454,638,467,650
279,..,477,647,488,650
280,(s'avventa,289,657,368,673
281,al,378,658,391,671
282,supposto,400,659,455,673
283,assassino.,464,656,534,668
284,Gur.,666,648,695,660
285,SCE-,480,708,519,722
286,Gus.,987,723,1016,734
