,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,PRIMO.,760,97,910,116
1,Deh,823,120,853,133
2,salvalo.,864,120,924,135
3,ATTO,282,100,391,115
4,35,992,106,1007,121
5,(a,958,116,995,136
6,Gus.,992,117,1024,137
7,34,172,108,187,121
8,Zam,349,134,386,153
9,Son,388,133,416,152
10,perduto,424,133,480,150
11,:,487,138,490,145
12,Avverso,403,152,467,165
13,cielo!,476,150,519,163
14,Respiro,400,171,456,188
15,"appena,",462,172,517,186
16,Ida.,654,118,681,130
17,Gas.,657,132,691,152
18,Trema,707,135,759,152
19,..,769,145,781,150
20,Zam.,655,153,691,168
21,Ida.,654,171,681,185
22,"Ida,",153,138,192,155
23,"Ciel,",192,139,230,154
24,che,238,135,265,152
25,miro!,273,133,316,151
26,Ti,793,154,832,172
27,sprezzo,835,156,888,175
28,.*,891,164,908,177
29,Barbari!,837,170,905,189
30,Vi,725,189,743,204
31,plachi,753,192,799,208
32,il,809,193,819,205
33,mio,827,189,862,208
34,dolor.,866,192,913,205
35,Zam.,776,211,812,222
36,Mon.,824,210,859,222
37,GHI.,870,210,901,222
38,M',706,224,727,238
39,irrita,733,225,772,240
40,il,784,228,793,240
41,tuo,803,230,826,241
42,dolor.,835,226,882,241
43,Gur.,714,242,752,260
44,Mon.,756,245,790,257
45,Ida.,800,245,827,258
46,Zam.,838,244,873,257
47,Alv.,882,245,918,258
48,"Emvl,",927,246,958,258
49,Quanti,704,261,755,278
50,oggetti,766,262,814,280
51,di,824,262,837,275
52,terrore,848,266,899,278
53,!.,904,263,918,275
54,furie,786,279,829,293
55,smanie,792,300,845,311
56,Di,721,314,740,328
57,mie,751,315,778,328
58,pene,788,320,822,331
59,il,832,316,841,327
60,fiero,852,316,884,328
61,eccesso,893,319,948,329
62,Palpitar,723,332,783,349
63,d'orror,790,331,849,345
64,mi,858,334,876,344
65,fa.,887,332,906,345
66,Poi,784,347,814,364
67,col,817,349,834,362
68,Cero.,843,350,880,362
69,Spaventosa,704,367,786,384
70,infausta,793,365,855,384
71,notte!..,863,365,935,384
72,Qual,722,384,757,400
73,terrore,768,389,819,399
74,l',830,385,837,398
75,alme,843,385,878,399
76,innonda!,888,385,957,399
77,L'atro,722,403,772,416
78,orror,782,408,819,416
79,che,829,404,854,417
80,ne,864,407,880,416
81,circonda,889,403,951,417
82,"Palpitar,",722,421,791,438
83,tremar,801,425,849,435
84,ci,860,419,878,438
85,fa.,884,421,904,434
86,Dove,208,157,247,168
87,son,257,158,280,167
88,?,286,155,291,167
89,Che,206,174,235,185
90,farò,247,171,275,185
91,?,280,171,285,184
92,Gela,205,192,239,204
93,il,250,190,260,203
94,sangue,270,193,320,206
95,in,330,189,343,202
96,ogni,354,188,387,206
97,"vena,",398,188,438,205
98,Di,224,207,251,225
99,terror,253,206,300,223
100,ingombro,307,207,377,223
101,è,382,206,394,224
102,il,405,206,415,218
103,cor.,425,205,457,220
104,Mon,346,225,375,237
105,lo,380,222,399,240
106,son,405,228,428,237
107,tradito,438,224,488,239
108,Il,394,238,423,258
109,credo,425,238,460,259
110,appena!,465,240,521,259
111,Locredo,402,257,463,276
112,appen.,468,262,522,278
113,Gar.,151,224,188,242
114,Oh,194,223,214,242
115,farore-,221,226,283,239
116,Figlia,206,245,250,259
117,incauta,258,245,312,256
118,!-,317,244,330,255
119,Alme,207,263,248,275
120,ree!,258,262,289,275
121,Gela,206,279,240,292
122,il,250,279,260,292
123,sangue,272,280,321,295
124,in,332,278,347,291
125,ogni,356,278,387,295
126,"vena,",396,281,442,295
127,Di,221,295,253,312
128,terrore,254,294,305,310
129,ingombro,316,295,383,311
130,è,393,295,401,309
131,il,411,296,421,309
132,cur.,431,297,460,309
133,Così,206,314,238,332
134,"partisti,",248,316,310,331
135,audace,317,311,372,330
136,?,374,310,386,329
137,Cost,224,330,257,347
138,nii,268,333,286,346
139,jerbi,297,332,331,346
140,fede,341,331,372,345
141,?,378,331,383,345
142,E',223,352,247,368
143,questa,250,356,296,367
144,la,308,351,320,364
145,mercede,330,350,392,362
146,D'amore,225,366,295,382
147,di,305,368,318,380
148,pietà,327,366,369,384
149,?,371,366,378,384
150,Z,163,385,175,404
151,am.,177,385,198,404
152,Nel,211,386,238,403
153,suo,247,384,268,403
154,fatal,283,386,320,403
155,periglio,325,383,384,401
156,Mi,225,403,246,416
157,die,257,403,279,415
158,pietà,290,400,330,419
159,consiglio.,332,400,411,419
160,Da,225,421,246,434
161,morte,257,425,300,434
162,io,311,424,323,433
163,la,333,420,345,432
164,"salvai,",355,419,407,434
165,M'è,226,439,259,452
166,ignota,270,439,314,454
167,la,325,439,337,450
168,viltà,348,435,384,453
169,Mon.,155,458,189,472
170,Nella,208,456,249,472
171,tua,259,454,282,470
172,fronte,293,456,337,469
173,è,346,455,354,469
174,"scritto,",365,455,420,470
175,Quante,722,289,776,304
176,intorno,857,290,911,305
177,il,922,290,932,303
178,core,942,294,974,303
179,!,981,290,984,302
180,...,994,300,1009,304
181,(a,455,314,477,329
182,Zam.,486,312,523,325
183,(a,466,332,487,346
184,lda.,496,330,525,342
185,Gus.,153,317,182,329
186,(,422,366,435,384
187,ad,431,367,448,378
188,éntrambi,459,364,521,381
189,(4,368,469,404,488
190,Ida.,402,471,431,486
191,in,441,472,454,485
192,disparte.,463,470,527,490
193,"Indegna,",224,491,292,507
194,il,302,491,311,504
195,tuo,322,494,345,504
196,delitto.,354,487,412,503
197,lo,225,508,251,526
198,non,251,508,277,523
199,avrò,287,510,320,522
200,più,329,508,352,525
201,figlia,362,509,398,524
202,Se,225,527,247,541
203,reo,252,530,275,541
204,quel,284,527,317,542
205,cor,324,525,358,542
206,satà.,360,524,397,539
207,"Ah,",210,545,245,560
208,che,254,545,280,558
209,ianocente,290,543,362,556
210,io,371,544,385,555
211,sono,395,541,435,558
212,:,437,541,441,557
213,Morir,227,560,272,575
214,sapea,282,566,322,577
215,innocente.,333,561,412,575
216,Son,224,580,250,594
217,"misera,",260,578,321,596
218,"dolehte,",323,578,396,594
219,Ma,226,598,250,611
220,colpa,260,598,298,613
221,il,310,595,319,611
222,cor,329,601,352,610
223,non,362,601,388,610
224,ha.,399,596,423,609
225,Vieni,209,615,252,629
226,(oh,262,612,304,630
227,gelosa,315,616,360,631
228,smania!),371,613,439,629
229,Fine,756,577,787,593
230,dell,796,576,825,592
231,Atto,832,579,866,593
232,primo.,872,578,919,596
233,(a,474,614,488,626
234,Ida.,497,612,527,626
235,(a,463,629,496,646
236,Gus.,493,631,526,644
237,(a,428,646,456,663
238,Srgunci.,468,648,526,667
239,Gus.,159,617,188,632
240,"Zam,",155,636,193,649
241,Fermati,212,633,268,648
242,(avvampo,279,631,369,649
243,omai.),379,631,432,649
244,Gas.,157,650,198,667
245,S'ariesti-,208,650,290,664
246,Oh,329,665,358,683
247,"ciel,",360,668,398,683
248,che,408,664,434,682
249,fai,446,663,466,682
250,(i,426,680,459,700
251,difende.,467,684,527,703
252,Ida.,156,671,184,683
253,Zaw.,157,689,195,701
254,Pria,212,688,245,702
255,morte,254,691,297,701
256,.,308,695,320,699
257,Mon.,158,707,192,720
258,Oh,297,702,326,720
259,dei!,331,702,364,720
260,Ida.,481,716,514,735
261,AT.,970,718,1003,732
