,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,270,88,378,105
1,PRIM,758,90,868,106
2,O.,880,87,908,106
3,SCEN,230,120,323,141
4,A,335,121,353,140
5,XI.,389,126,411,139
6,S,751,126,777,145
7,CENA,779,125,864,144
8,XII.,907,125,937,137
9,"Montezo,",234,159,308,174
10,e,317,163,323,171
11,Zamoro.,333,159,396,174
12,Recinto,682,166,740,179
13,selvoso,749,165,802,178
14,come,812,168,849,177
15,nella,858,163,893,176
16,Scena,903,161,942,175
17,VII.,954,158,985,172
18,"Idalide,",752,198,813,213
19,poi,821,198,842,214
20,Zamoro.,851,198,916,210
21,ZamDeguasi,132,201,239,225
22,Mon.,137,226,170,243
23,Prence,168,245,219,260
24,"incauto,",230,247,293,263
25,ove,301,251,327,264
26,vai?,337,247,374,266
27,Zam.,134,265,170,276
28,Un,172,280,198,297
29,disperato,201,281,269,298
30,amor.,278,286,323,295
31,La,334,282,353,296
32,mia,363,283,389,296
33,vendetta.,399,283,471,297
34,Mon.Misero,137,295,222,316
35,ti,244,300,253,312
36,compiango.,262,298,349,319
37,Quale,168,317,212,334
38,vendetta!,222,316,297,331
39,verso,305,316,343,332
40,chi,353,318,375,331
41,?,381,318,387,330
42,-,394,325,401,328
43,Tu,410,317,433,331
44,corri,442,319,478,331
45,Incontro,168,334,232,349
46,ad,241,336,257,349
47,una,268,340,294,351
48,morte,304,339,347,350
49,Che,168,352,197,365
50,ti,208,355,217,366
51,volle,228,355,264,367
52,fuggir.,275,354,327,370
53,Cedi,336,353,369,367
54,alla,379,354,406,366
55,sorte;,416,357,459,369
56,Già,167,369,192,383
57,cadde,202,370,242,385
58,F,254,372,262,382
59,"India,",268,368,315,388
60,cedi.,324,370,358,385
61,Zaw.lo,133,387,185,399
62,cedore,190,388,240,401
63,io,249,389,261,401
64,-Son,267,387,313,401
65,vivorancora,320,390,407,403
66,e,412,393,419,402
67,il,427,389,437,401
68,credi2-,443,388,499,401
69,Idalide,170,401,219,422
70,.,229,413,239,418
71,Man.,133,422,166,434
72,"Prence,",169,439,230,454
73,son,239,445,262,455
74,troppo,273,444,320,458
75,i,328,442,338,459
76,tempi,343,442,386,460
77,Zam.,137,453,173,475
78,fieramente),179,455,263,479
79,E,185,473,194,489
80,che,196,473,217,490
81,Zamoro,224,473,280,490
82,sono,289,479,322,490
83,ancor,332,480,372,489
84,vedrai.,381,475,435,491
85,Arresta,239,229,294,245
86,"ferma,",326,229,384,247
87,sventarato,386,229,462,248
88,(Ida.,711,235,748,249
89,cice,758,238,784,247
90,concentrata,793,235,870,247
91,dalla,879,231,914,245
92,sua,923,236,945,243
93,"capanna,",954,234,1017,247
94,tristissima.,740,252,821,264
95,Dove,311,265,350,278
96,mi,361,265,379,277
97,chiama,388,265,440,278
98,"(moro,",965,283,1017,300
99,V,714,302,725,323
100,ivo,724,306,747,319
101,io,752,306,765,319
102,ancor?-sogno,771,305,869,321
103,è,872,304,881,317
104,il,888,303,897,316
105,mio?-fu,904,302,959,316
106,"fui,",965,298,990,315
107,Za-,996,300,1020,313
108,O,710,322,721,338
109,l'ombra,723,321,769,337
110,sua,778,326,801,336
111,?-,806,321,823,333
112,dai,832,320,856,334
113,regni,866,321,903,335
114,della,914,320,950,331
115,morte,960,321,1002,330
116,Sorse,688,342,728,354
117,egli,737,341,765,356
118,forse,776,339,810,352
119,a,821,343,828,351
120,"vendicar,",838,336,910,352
121,panire,920,337,968,352
122,Il,683,357,710,373
123,tradimento,709,356,791,371
124,mio!,800,356,837,368
125,Ida.,652,307,680,320
126,(pensora,793,376,857,388
127,sicde,866,372,902,385
128,d',933,371,946,384
129,un,955,375,971,383
130,sas,978,368,1009,384
131,sa,1010,367,1019,383
132,Zam.(,653,396,694,410
133,di,700,393,713,406
134,dentro),722,394,776,408
135,Idalide!,787,389,848,405
136,Gran,808,408,844,422
137,Dio!,855,409,890,421
138,Idalide!,851,422,911,439
139,Ida.,653,414,682,426
140,(colpita),692,409,756,428
141,"Canglati,",271,423,344,443
142,Zem.,653,432,689,443
143,La.,655,448,681,463
144,Questa,910,441,961,455
145,Io,331,457,354,476
146,non,358,457,383,472
147,cangiai,394,458,446,476
148,:,452,457,461,476
149,(,963,457,970,469
150,alze.,982,457,1021,470
151,E',687,481,713,499
152,la,715,480,732,498
153,sua,738,484,761,494
154,voce,770,483,803,492
155,...,812,488,825,492
156,fuggasi,835,478,885,494
