,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,A,278,93,315,111
1,T,319,96,333,109
2,TO,352,97,397,110
3,SECONDO.,780,95,928,112
4,a,847,117,853,130
5,"2,",852,121,863,129
6,"(Ah,",726,134,765,150
7,quest',775,132,820,149
8,alma,823,131,862,150
9,in,870,135,883,147
10,sen,892,138,915,148
11,"mifreme,",926,133,1004,146
12,Mille,743,151,785,166
13,smanie,795,153,846,166
14,al,857,153,869,166
15,cor,879,157,901,166
16,mi,912,153,929,165
17,sento.,941,154,986,164
18,Pent,743,169,780,184
19,eguale,789,171,838,185
20,al,847,172,860,184
21,mio,871,171,899,184
22,tormento,909,173,976,184
23,"No,",742,188,774,205
24,"l'averno,",782,187,870,204
25,oh,872,186,885,203
26,Dio!,895,188,931,202
27,non,941,185,972,203
28,ha.),981,187,1020,200
29,43,1008,101,1024,114
30,41,171,102,187,114
31,Cui,190,116,217,130
32,non,230,114,258,132
33,si,265,118,275,127
34,pussa,287,114,327,131
35,contrastar?,335,113,426,130
36,Gwr.,161,131,193,149
37,A,211,146,222,163
38,chi,220,151,242,163
39,parli,253,149,286,166
40,:,292,154,295,162
41,chi',308,148,342,167
42,sei:,344,149,375,167
43,per,378,153,402,167
44,te,408,154,426,164
45,paventa,433,154,492,168
46,Zam.,164,166,205,183
47,Vive,207,166,238,183
48,ancora,244,171,294,182
49,Zamor;,304,168,362,182
50,"pensaci,",372,167,442,184
51,e,447,167,460,184
52,trema,464,172,505,183
53,i,511,173,515,179
54,Gus.Ma,158,187,219,201
55,pno,230,186,257,202
56,Gusmano,265,185,337,199
57,intanto,346,184,399,199
58,Farti,196,202,233,217
59,pentir,242,205,288,220
60,d'un,297,204,332,218
61,temerario,343,204,416,217
62,ardore.,426,202,482,220
63,Zam.E,161,222,211,236
64,può,221,221,248,239
65,Zamoro,258,221,316,239
66,trapassarti,325,222,403,238
67,il,414,221,424,234
68,core.,434,225,476,239
69,Gus.A,161,239,227,254
70,vendetta,239,240,303,253
71,il,315,241,324,252
72,cor,334,238,359,252
73,m',367,238,391,254
74,accende,393,238,451,254
75,Quell,232,258,278,273
76,ihsano,284,259,332,271
77,ardir,341,257,378,270
78,feroce;,387,257,442,273
79,Ma,235,274,259,288
80,di,268,275,284,288
81,pace,289,279,326,291
82,amica,335,276,379,289
83,voce,389,275,424,291
84,Mi,234,292,256,306
85,ridesta,267,290,317,309
86,la,327,293,340,306
87,pietk.,352,291,397,311
88,Zam.,162,313,198,327
89,Se,216,310,238,327
90,vendetta,242,311,306,325
91,il,318,312,327,324
92,cor,338,309,361,324
93,t',370,312,379,324
94,accende,384,310,443,325
95,Sfoga,235,329,273,347
96,pure,285,328,318,346
97,il,330,330,339,343
98,tuo,352,333,375,343
99,furore;,384,329,439,344
100,Ma,235,345,262,361
101,fedele,269,345,313,362
102,al,323,348,336,360
103,primo,347,348,390,364
104,amore,400,351,447,361
105,Sempre,234,366,290,381
106,Idalide,301,363,353,378
107,sarà.,364,366,402,378
108,Gut.,168,383,201,400
109,Scorderà,218,383,282,396
110,l'antico,294,383,352,396
111,afetto:,362,382,418,395
112,Zam.,164,403,201,413
113,Pria,217,401,249,412
114,amorrà.,262,401,314,412
115,Rammenta,401,133,484,148
116,(Gus.,826,205,867,221
117,entre,876,209,913,218
118,nella,922,207,957,219
119,sua,967,210,988,218
120,tenda.,998,204,1044,216
121,(Zam.,787,224,824,238
122,viene,829,221,872,237
123,condotto,883,224,938,237
124,dalle,943,223,978,237
125,geardie.,986,222,1043,238
126,S,760,260,799,274
127,CEN,818,259,860,273
128,A,880,260,892,273
129,VI.,931,258,955,272
130,"Emira,",775,294,829,310
131,indi,839,294,867,307
132,Idalide.,877,293,937,307
133,Emi.,668,348,722,359
134,O,718,335,743,353
135,ve,743,346,763,362
136,cercarne,771,349,835,359
137,mai?,844,345,881,358
138,come,891,349,930,358
139,di,939,344,952,358
140,tui,963,344,982,357
141,Saper,703,365,744,380
142,novelle,754,366,811,377
143,?,815,364,821,377
144,Invano,830,363,882,376
145,Tutto,704,382,749,395
146,il,759,382,768,395
147,campo,779,386,828,398
148,trascorsi:,838,382,912,395
149,di,922,380,935,394
150,Gusmano,945,380,1015,394
151,Per,703,401,730,414
152,lui,740,401,759,414
153,temo,771,404,807,414
154,il,812,399,826,413
155,rigor.,837,401,880,416
156,Misero,891,398,944,413
157,!.,951,399,970,410
158,Cosi,302,417,336,430
159,giuro.,346,416,395,435
160,Ida(,668,419,702,435
161,agitata),708,418,764,435
162,Ebben,701,434,748,450
163,Zamoro,759,434,816,450
164,ov'è?,827,435,871,449
165,Emira!,960,416,1015,429
166,GMI.,164,421,194,432
167,"Zam,",164,438,203,450
168,Troppo,217,436,275,453
169,è,285,435,292,448
170,fida,304,435,330,449
171,al,339,433,352,448
172,cato,362,439,394,448
173,oggetto,403,436,459,451
174,t,464,435,469,445
175,Gus.,165,453,203,471
176,Cangie:tà.,217,452,293,470
177,Zam.,166,474,206,485
178,Taci.,862,452,907,465
179,Quel,917,451,953,467
180,nome,963,454,1003,464
181,Emi.,668,455,700,467
182,E',703,472,727,488
183,qui,730,471,753,488
184,segno,762,475,803,486
185,di,813,470,827,483
186,morte.,838,474,887,483
187,Ida.,668,489,696,502
188,Ma,703,488,727,501
189,qual,734,488,768,505
190,è,787,487,800,504
191,la,802,487,812,504
192,sua,818,493,841,502
193,sorte?,850,488,896,501
194,a,905,492,912,500
195,mie,922,488,949,500
196,richieste,959,487,1024,499
197,Abbassa,703,506,762,524
198,ognuno,772,510,827,522
199,sospirando,837,506,916,522
200,il,923,504,938,523
201,ciglio:,947,503,1002,522
202,Ei,703,524,719,537
203,forse..,730,522,785,541
204,(vede,787,522,832,540
205,Mon.),832,521,881,540
206,oh,890,524,908,537
207,padre,917,520,958,539
208,mio,970,520,998,539
209,i.,1003,521,1021,534
210,Temer,277,471,330,484
211,nol,341,470,363,484
212,so.,374,475,396,484
213,a,339,490,344,502
214,2.,349,493,361,501
215,(Da,219,507,248,524
216,qual,259,506,290,524
217,gelido,300,507,345,522
218,veleno,357,506,405,519
219,Inondar,240,522,296,538
220,mi,303,522,327,538
221,sento,334,528,373,537
222,il,384,525,393,537
223,seno!-,404,522,462,535
224,Ah,239,542,263,555
225,mi,273,541,291,554
226,dice,301,542,332,555
227,quell',343,541,385,558
228,aspetto,391,543,445,559
229,Che,238,560,270,574
230,più,279,559,302,575
231,pace,311,558,345,575
232,non,356,557,381,574
233,avrò.),392,557,447,572
234,(,948,540,959,557
235,corre,960,539,992,556
236,a,995,544,1003,552
237,"lai,",1011,539,1039,551
238,Gar.,166,578,206,596
239,Scegli,220,579,265,594
240,dunque..,274,576,345,594
241,Zam.,168,600,206,612
242,Gur.,170,614,208,630
243,E,221,613,233,629
244,ta,242,617,256,627
245,Ynoi,266,614,300,627
246,2..,305,613,325,625
247,Zam.,168,634,206,646
248,Gur.,174,649,209,667
249,"Và,",222,650,251,666
250,morrai,261,650,310,663
251,..,317,657,328,662
252,SCENA,750,576,885,591
253,VIL,923,575,953,590
254,Scelsi,354,590,394,608
255,s,395,598,400,605
256,addio:,409,592,457,605
257,"Montezo,",782,614,860,628
258,é,869,616,875,626
259,dette.,885,612,928,625
260,Nulls,332,629,375,645
261,voglio.,385,628,439,647
262,(com,457,664,489,680
263,forza.,496,664,544,680
264,Morremo,332,684,404,698
265,insieme.,415,680,480,695
266,-,491,679,500,691
267,(qgualmente.,444,700,539,719
268,"(Ah,",489,716,528,736
269,Men.,669,667,702,678
270,1u,712,660,745,679
271,qui,757,660,785,682
272,?,787,661,797,683
273,Che,800,666,831,680
274,cerchi?,842,665,898,683
275,Oh,870,679,897,697
276,Dio!,909,684,940,702
277,Qtel,703,701,739,717
278,misero!.,748,701,818,715
279,m',830,702,847,714
280,intendi.,854,698,934,715
281,B,832,719,865,735
282,6,872,721,879,731
283,Zara,170,688,206,699
284,"Afon,",987,720,1022,733
