,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATT,274,90,368,111
1,O,406,92,418,111
2,2,420,92,425,111
3,SECONDO.,784,92,935,114
4,6s,176,97,192,108
5,63,1005,97,1020,111
6,CORO,799,133,842,149
7,generale.,850,132,916,151
8,SCENA,220,147,317,161
9,ULTIMA.,337,145,471,160
10,(,949,147,959,164
11,come,957,151,988,164
12,sopra.,998,151,1039,166
13,GnI.,669,168,707,184
14,E,723,168,733,180
15,sempre,744,172,795,185
16,amore,805,173,850,182
17,Fra,740,185,765,199
18,dolci,774,183,812,201
19,affetti,819,186,863,201
20,Alterni,742,204,798,218
21,l'ore,809,205,845,217
22,Di,740,222,758,236
23,vostra,769,225,813,235
24,età.,823,222,852,235
25,"Campo,",182,202,243,218
26,con,252,204,278,215
27,Tenda,289,199,336,213
28,regia,346,199,383,215
29,nel,397,198,419,212
30,mezzo,430,202,477,214
31,ec.,487,203,505,212
32,"Generali,",237,254,307,268
33,Soldati,325,252,374,264
34,"Spagnwoli,",388,250,464,267
35,Casicbi,479,251,532,264
36,che,213,267,235,284
37,lieti,244,272,272,284
38,circondano,281,267,354,286
39,"Gusinano,",363,267,441,285
40,e,450,274,455,282
41,in,467,269,479,282
42,Grandi,162,254,210,267
43,CORO,804,257,847,271
44,ripete.,857,256,904,275
45,"Ida,",671,292,698,305
46,Come,721,292,765,305
47,consola,775,292,830,305
48,Si,739,308,769,323
49,bel,764,309,785,321
50,momento!,795,310,874,323
51,Ogni,741,327,776,341
52,tormento,788,329,854,339
53,Scordar,743,341,801,356
54,mi,811,343,829,355
55,fa.,840,342,862,355
56,CORO.,320,304,378,319
57,Viva!,220,352,278,374
58,viva,289,360,320,373
59,l'Eroe,326,355,380,377
60,"generoso,",390,357,460,379
61,Che,234,378,266,391
62,se,277,382,290,389
63,in,300,378,313,389
64,campo,324,381,371,392
65,debella,382,374,433,388
66,i,444,374,460,391
67,nemici,462,373,508,391
68,Col,232,396,260,409
69,perdono,270,395,330,410
70,ti,339,394,348,405
71,iende,354,391,401,406
72,"felici,",411,392,459,408
73,E,243,411,254,428
74,consola,253,410,308,425
75,trionfando,320,410,399,424
76,de,408,410,424,425
77,i,433,411,436,423
78,cor.,448,414,479,424
79,Gas.,166,429,200,447
80,Si,203,429,216,447
81,:,218,429,229,447
82,mi,232,430,249,443
83,vinse,260,431,297,443
84,virtu-,309,428,363,442
85,Nacqui,371,427,423,445
86,alla,434,429,460,445
87,"gloria,",470,427,523,444
88,Non,198,449,230,462
89,per,240,452,263,464
90,esser,272,452,308,460
91,titan,318,448,353,460
92,-,361,453,370,456
93,Vieni,379,445,431,462
94,",",433,445,439,462
95,"Zamoro,",441,444,506,460
96,"Idalide,",198,463,260,480
97,t'appressa;,270,466,356,481
98,il,366,464,375,476
99,mesto,388,468,429,477
100,ciglio,440,463,480,479
101,Rasserenate,198,484,287,496
102,omai,295,482,331,496
103,:,340,482,347,500
104,stringere,351,482,416,496
105,io,427,482,440,494
106,"stesso,",450,484,501,496
107,"Si,",198,500,231,518
108,voglio,233,502,279,517
109,il,288,502,297,514
110,più,309,500,331,516
111,bel,340,500,361,513
112,nodo,372,497,407,513
113,Ch'abbian,199,519,272,531
114,stre:to,278,517,325,531
115,giammai,331,517,394,532
116,"virtude,",401,516,460,531
117,e,467,521,473,529
118,amote.,480,519,533,529
119,Regnate,199,536,259,552
120,all',264,537,287,549
121,Orocao;,292,534,354,550
122,siate,360,535,394,548
123,felici.,400,534,449,547
124,Ida.,164,555,193,567
125,E,200,554,210,567
126,sarà,219,552,247,567
127,vero!,257,554,299,567
128,CORO,803,377,846,392
129,"ripste,",856,376,902,396
130,"Zzm,",673,417,710,428
131,Il,729,414,739,427
132,mio,751,413,777,426
133,"diletto,",786,412,845,428
134,"No,",744,431,775,449
135,non,785,435,810,445
136,"comprende,",820,430,910,447
137,Chi,742,449,770,462
138,acceso,780,452,826,463
139,il,837,449,846,460
140,petto,857,451,893,465
141,D',745,467,770,480
142,amor,768,470,806,480
143,non,816,470,842,479
144,ha.,853,466,876,479
145,CORO,784,502,828,515
146,generale.,836,500,902,517
147,(tatti,889,517,928,533
148,s'abbracciano.,938,518,1041,531
149,E,318,568,328,585
150,il,330,567,346,585
151,crederò!,347,570,411,583
152,Mon.,165,574,199,584
153,Zam.,166,591,203,603
154,Alo.,167,604,210,622
155,Oh,205,606,228,620
156,degno,237,607,280,621
157,figlio,288,605,327,620
158,mio!,338,604,374,619
159,Elm.,165,626,197,637
160,Gus.,165,644,195,656
161,Oblia,200,642,241,656
162,copra,251,646,291,658
163,il,302,641,310,653
164,passato,321,644,374,657
165,:,378,646,381,653
166,altro,391,640,427,653
167,non,435,644,461,653
168,bramo,471,639,518,651
169,Che,200,661,230,674
170,l'antico,241,658,299,673
171,odio,307,657,339,672
172,estinto.,348,659,407,671
173,Ida.,166,678,195,691
174,Ora,200,678,229,691
175,trionfi.,239,678,290,691
176,Zam.,167,696,202,709
177,Che,421,586,452,599
178,dici!,461,586,498,599
179,Fine,789,606,819,621
180,del,832,606,852,620
181,Dramme.,862,607,928,621
182,Qual,371,621,406,637
183,lieto,416,622,450,634
184,evento!,460,621,517,634
185,Ora,296,695,324,708
186,Zamoro,334,694,391,707
187,è,395,691,426,708
188,vinto.,428,690,468,708
189,CO-,498,711,524,722
