,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,AT,292,78,338,93
1,TO,357,80,402,97
2,Pressa,343,94,388,115
3,il,396,95,411,114
4,periglio!,418,97,482,116
5,36,181,79,196,94
6,Alv.,163,93,200,109
7,Salvati,200,114,251,128
8,:,259,111,269,129
9,"và,",270,114,294,129
10,Zamoro.,306,114,371,128
11,Zam.,164,132,202,145
12,Ida.,165,150,194,163
13,Viver,199,149,243,164
14,per,249,148,274,165
15,"me,",279,148,316,166
16,più,317,150,339,166
17,non,349,155,375,163
18,vedermi.,386,149,453,167
19,E,465,150,475,167
20,questa,487,152,534,169
21,(,211,166,223,185
22,Ohime!,225,166,273,185
23,),280,168,284,184
24,l'estrema,295,166,365,182
25,volta,377,166,415,183
26,SECOND,780,85,903,106
27,o.,920,85,932,106
28,17,1009,90,1024,102
29,Io,340,129,366,148
30,debbo,367,129,408,149
31,dunque,417,134,472,151
32,2..,477,134,495,147
33,SCENA,746,125,876,142
34,XVIII.,914,124,967,137
35,"Gusmano,",689,161,767,178
36,"Montezo,",775,161,852,179
37,"Spagnwoli,",866,161,940,178
38,"Indiant,",950,158,1010,173
39,e,1019,162,1025,171
40,detsi.,837,179,878,194
41,(,433,186,444,204
42,dolentinima.,446,185,533,203
43,In,201,202,216,215
44,cui,226,202,248,217
45,noi,259,203,281,217
46,si,291,204,301,216
47,parliam.,312,204,377,222
48,Zam.,165,220,202,233
49,Destin,382,222,430,236
50,tiranno!,440,223,501,237
51,(son,399,242,429,257
52,disperazione.,438,240,532,260
53,Gus.,672,231,712,250
54,V,716,231,733,247
55,il,743,233,752,247
56,"traditor,",764,234,830,249
57,perfida,840,234,890,248
58,"donna,",899,232,952,246
59,invano,961,232,1012,243
60,Di,707,251,737,268
61,fuggirmi,739,252,802,268
62,tentate:,814,249,873,265
63,il,884,251,894,264
64,mio,904,252,932,262
65,furore,942,249,988,262
66,(Zam.,743,270,790,285
67,"ritornando,",800,271,880,285
68,e,890,274,896,282
69,aferra,902,269,948,283
70,lda.,954,266,980,279
71,atterita.,986,264,1043,278
72,Alv.,764,284,802,303
73,è,806,289,812,301
74,al,821,288,834,301
75,lore,842,289,867,300
76,fanco.,875,287,923,305
77,Veglia,710,302,759,320
78,sopra.,767,302,815,322
79,di,817,303,840,321
80,voi.,842,307,872,318
81,Zam.,675,321,710,334
82,Vile,714,320,746,334
83,io,757,322,769,334
84,non,780,320,806,335
85,"son,",816,326,848,337
86,ne,858,327,873,334
87,traditor.,884,321,957,333
88,Io,201,252,221,270
89,morirò,224,252,282,272
90,d',286,257,298,270
91,affanno.,304,255,366,271
92,Ida.,166,272,193,287
93,"Ah,",338,275,373,291
94,parti;,383,276,425,292
95,(,432,276,437,291
96,oh,447,277,464,289
97,Dio!,476,277,510,290
98,),521,279,525,290
99,(con,438,294,467,311
100,afanyos,476,295,532,312
101,Zam.,170,306,208,325
102,Almen...,211,308,279,328
103,Ida.,165,328,192,340
104,Vanne,266,326,313,346
105,.,319,337,330,343
106,(,440,346,450,363
107,come,453,347,480,365
108,sopra.,488,350,530,367
109,(com,951,339,981,354
110,impeto.,990,336,1044,352
111,Son',924,353,956,369
112,io,961,354,974,366
