,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,264,92,371,111
1,PRIMО.,753,95,891,109
2,Corona,207,110,261,128
3,in,270,110,284,123
4,tal,294,111,315,128
5,giorno,320,110,368,129
6,(a,948,108,981,124
7,lda.,978,111,1006,123
8,E,688,111,696,129
9,tu,698,118,712,127
10,non,722,118,747,127
11,giuri!,757,112,800,129
12,Mon.,642,133,677,146
13,Ida.,641,151,671,164
14,Al,679,169,695,180
15,"fato,",707,168,742,183
16,al,752,167,764,180
17,genitore,773,168,834,184
18,Cede,677,185,713,198
19,Idalide..,725,182,792,199
20,"Zam,",642,204,679,217
21,(colpito),683,202,743,220
22,Per,225,128,256,143
23,mano,260,132,299,142
24,d'amore,308,129,370,144
25,Che,798,130,828,143
26,t'arresta?,838,130,911,144
27,Invito,223,145,268,159
28,valore,278,146,324,158
29,Celeste,222,160,277,177
30,beltà.,285,160,330,178
31,(Oh,905,144,939,162
32,istante,942,146,989,159
33,!),996,145,1006,161
34,(,871,163,881,181
35,cos,878,168,899,179
36,voce,904,162,939,177
37,sforzasa,943,163,999,179
38,.,1002,161,1005,175
39,Gur.,136,180,178,195
40,I,180,178,185,196
41,lieti,188,180,218,194
42,"augurj,",228,180,281,197
43,"amici,",291,179,339,197
44,Fausto,172,198,219,211
45,secondi,229,196,283,215
46,il,294,196,312,215
47,Cielt,317,196,355,215
48,Ida.,136,218,164,231
49,Ad,172,231,195,247
50,immolar,205,232,266,249
51,ti,276,234,288,250
52,vengo.,297,236,346,253
53,Emi.,138,249,171,266
54,(Or,173,249,207,266
55,tempo,209,249,254,266
56,è,264,251,271,264
57,di,281,251,295,264
58,virtù.),306,250,361,267
59,Mon.,134,270,168,282
60,Rendo,166,281,217,300
61,mia,227,286,254,300
62,figlia,264,285,299,303
63,:,304,291,307,298
64,Gus.,134,302,169,319
65,(lieto,171,303,208,319
66,),215,305,219,318
67,"Ida,",133,322,163,334
68,Gus.,139,337,172,354
69,Vieni,170,339,210,353
70,all',221,339,242,353
71,"ara,",249,344,279,355
72,mio,289,340,316,353
73,bene:,325,339,366,354
74,i,378,339,391,356
75,nostri,391,340,431,353
76,giuri,443,339,478,356
77,Accolga,170,358,230,374
78,il,241,358,250,370
79,"Nume,",260,358,313,374
80,e,323,363,330,371
81,li,339,359,349,371
82,conservi.,359,359,430,371
83,Ida.,134,376,161,389
84,Nume,170,392,215,406
85,"giurar,",224,392,277,409
86,e,291,391,306,410
87,che,308,391,329,410
88,giurar,337,392,383,410
89,poss',394,394,427,410
90,lo?),432,391,469,408
91,(Povero,344,213,415,235
92,"core,",419,216,460,237
93,Idalide!.,813,200,886,213
94,Gran,891,200,927,213
95,Dio!..,938,200,984,211
96,(acende.,948,216,1008,232
97,Ida.,643,237,679,254
98,E,679,238,690,254
99,a,697,242,704,251
100,te,713,241,726,251
101,(,753,236,763,253
102,non,765,236,787,253
103,reggo,796,239,834,253
104,...,839,244,851,248
105,),856,236,861,252
106,fede,870,235,900,249
107,...,906,244,917,248
108,"(Scoppia,",676,254,750,273
109,o,760,259,767,268
