,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,265,92,375,107
1,PRIMО.,768,95,907,114
2,49,981,105,998,116
3,Che,684,119,713,132
4,tutti,724,119,754,132
5,ci,766,118,778,132
6,"unirà,",789,118,834,134
7,guidarti,844,115,901,134
8,a,913,121,919,131
9,loro,929,118,959,130
10,A,695,135,706,153
11,me,709,142,728,149
12,sarà,739,137,766,149
13,piacer.,775,134,833,152
14,Ti,839,134,858,152
15,lascio,867,137,907,149
16,:,914,140,916,147
17,al,930,133,944,151
18,tempio,949,135,998,151
19,Oh,689,154,716,170
20,come,721,158,757,167
21,più,768,153,789,169
22,contento,799,159,862,168
23,ora,873,158,894,167
24,m',906,153,921,165
25,avvio!,928,153,976,166
26,"Grazie,",686,172,745,186
27,pietoso,755,170,806,188
28,Cielo!,816,172,865,186
29,SCENA,241,125,345,142
30,VIII.,387,126,425,147
31,"Alvarez,",255,161,324,179
32,e,334,166,341,175
33,detti.,349,160,390,181
34,(albraccia,899,188,969,203
35,Zam.,978,186,1015,204
36,Mio,685,206,715,219
37,nuovo,726,211,770,223
38,figlio,780,207,817,223
39,",",825,205,832,223
40,dolce,836,205,874,219
41,"amico,",884,205,936,223
42,addio.,945,206,993,220
43,(,966,222,977,243
44,parte.,973,226,1015,242
45,Zam.Di,650,242,705,260
46,qual,716,243,746,260
47,pompa,757,240,805,259
48,egli,810,240,839,259
49,"parla,",843,242,889,259
50,di,897,239,919,258
51,qual,922,241,953,257
52,nodo?,960,239,1015,254
53,Qual,684,258,723,276
54,"festa,",730,260,775,277
55,o,783,258,792,271
56,qual,801,258,831,275
57,delitto,841,258,889,272
58,si,899,260,909,273
59,prepara,917,258,975,277
60,?..,977,258,1002,277
61,Alv.,137,213,172,224
62,Zam.Qual,137,228,209,246
63,voce,218,232,251,245
64,!,257,232,261,243
65,"Alv,",134,248,170,259
66,Chi,170,264,196,278
67,amico,208,265,250,280
68,vostro,261,269,308,281
69,ognora,316,271,365,286
70,Di,170,280,195,298
71,voi,200,284,222,298
72,senti,232,282,266,298
73,pietà,276,283,310,302
74,Eam.,133,299,170,313
75,E',167,318,182,330
76,dessos,192,318,237,333
77,fra,248,320,268,333
78,spagnuoli,278,317,348,337
79,il,358,322,368,335
80,solo,378,322,407,336
81,Alvarez,418,320,478,338
82,Capace,167,335,219,354
83,è,229,337,238,351
84,di,246,338,261,351
85,pietà,268,336,306,357
86,Ale,134,351,173,372
87,E,182,370,192,387
88,ru,194,370,207,388
89,chi,210,374,235,386
90,sei,242,371,264,388
91,?,266,371,270,388
92,Zam.,132,389,176,403
93,(,178,388,184,407
94,presentandogli,182,390,280,408
95,w,290,396,314,409
96,spada,319,393,357,409
97,pagawola,368,392,431,410
98,che,439,394,460,411
99,cinge,465,393,497,411
100,al,167,406,179,424
101,fanto),182,405,229,427
102,QConosci,141,421,226,442
103,quaesto,235,429,283,443
104,acciaro?,292,425,353,446
105,Alv.,135,439,173,461
106,ermate.,306,219,366,231
107,"Si,",258,248,279,264
108,"restate,",289,252,344,266
109,non,354,254,380,263
110,fuggite,391,250,440,269
111,"Dividiamoci,",683,275,785,294
112,amici;,795,276,845,293
113,memorando,856,277,941,290
114,"No,",311,302,341,319
115,non,350,306,378,317
116,"m'inganno,",386,304,477,323
117,Sia,684,296,705,308
118,questo,716,299,768,313
119,giorno,774,295,822,311
120,:,828,294,839,313
121,meco,841,298,878,308
122,lo,889,296,901,308
123,"giuraste,",912,295,980,311
124,Sia,684,314,706,326
125,egual,716,312,754,329
126,la,764,312,776,324
127,nostra,786,313,832,330
128,sorte.,840,313,886,330
129,Fidi,685,331,714,345
130,compagni,721,329,792,346
131,",",803,329,810,346
132,"andiam,",812,328,874,343
133,vendetta,886,330,948,342
134,o,954,334,961,340
135,morte.,967,332,1015,342
136,Cparteno,950,347,1008,364
137,",",1013,354,1017,359
138,"Si,",310,357,333,372
139,Alvarez,345,357,403,373
140,sono.,413,363,456,374
141,SCENA,737,381,867,398
142,IX.,904,381,927,394
143,Ravvisami,301,407,379,424
144,al,389,408,402,423
145,tuo,412,414,436,423
146,dono.,444,409,486,425
147,Tempio,653,417,712,434
148,degli,718,418,754,434
149,Spagnuoli,761,417,832,433
150,recentemente,837,419,937,430
151,fabbricato,946,416,1016,429
152,sulle,686,434,721,449
153,rovine,731,433,779,449
154,di,787,433,802,448
155,ricchissimo,813,435,898,447
156,Tempio,903,433,963,450
157,in,973,434,985,446
158,cni,995,433,1015,446
159,gli,686,455,705,469
160,Indiani,717,453,769,465
161,adoravano,779,453,854,464
162,il,865,453,874,464
163,Sole.,884,451,920,464
164,Eterao,343,443,394,460
165,Dio!,404,444,440,460
166,Tu,167,458,188,472
167,quel,199,460,230,476
168,che,239,460,266,477
169,in,272,459,292,477
170,vita,299,462,327,475
171,mi,339,462,356,475
172,serbò,367,462,405,475
173,?,410,462,415,474
174,"Zam,",131,476,168,488
175,Alv.Vieni,132,492,209,507
176,al,220,495,232,507
177,mio,243,496,270,510
178,sen,278,494,303,511
179,moro,321,500,359,511
180,contento,366,499,430,512
181,adesso,439,497,484,512
182,Che,167,511,197,528
183,grato,205,516,243,529
184,esser,252,517,288,528
185,ti,298,515,307,526
186,posso:,318,518,364,532
187,"parla,",373,515,418,532
188,"chiedi,",427,516,481,530
189,Per,166,529,191,541
190,te,201,534,214,542
191,che,224,531,249,542
192,posso,261,535,299,548
193,far?,308,532,337,544
194,tutto,347,534,381,546
195,"otterrai,",390,534,453,546
196,Zam.La,131,545,187,560
197,tua,199,550,220,561
198,pieta,230,546,265,564
199,mi,275,550,292,561
200,basta,302,549,337,563
201,",",344,559,347,564
202,e,365,549,378,566
203,se,374,554,388,562
204,tu,397,554,410,562
205,sai,421,550,440,563
206,Qual,165,564,200,579
207,di,210,565,222,577
208,Montezo,230,562,301,580
209,e,309,571,316,580
210,ldalide,325,563,377,580
211,è,393,565,409,582
212,la,411,565,421,582
213,sorte,427,571,462,580
214,A,175,580,185,597
215,me,188,585,207,596
216,dirlo,218,583,254,595
217,ti,263,584,272,596
218,prego,284,587,322,599
219,-,332,591,349,594
220,Vive?,360,583,406,599
221,dove,416,584,451,598
222,Soggiorna?,164,598,246,616
223,di,256,601,269,614
224,.,280,599,287,613
225,Al,128,612,155,630
226,Alla,165,634,196,647
227,gloria,205,634,247,653
228,e,257,640,264,650
