,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,271,93,380,108
1,PRIMO.,767,85,912,104
2,39,986,93,1002,105
3,4,159,100,174,110
4,Gur.,139,112,177,128
5,(con,175,113,204,128
6,amare,209,117,250,125
7,sorriso,254,112,298,124
8,),305,112,309,126
9,Ida.,140,133,170,147
10,Vostro,175,150,227,163
11,"terror,",236,151,286,161
12,speme,296,150,341,165
13,di,350,148,369,165
14,questo,374,148,423,165
15,"regno,",431,151,481,164
16,Di,175,168,194,182
17,miglior,205,167,259,182
18,sorte,270,163,306,181
19,"degno.""",316,162,382,180
20,O,197,182,207,199
21,mio,208,181,228,198
22,Zamoro!..,235,180,318,195
23,"Gui,",652,105,690,123
24,E,705,107,715,121
25,amore!..,725,106,790,124
26,"Ida,",649,127,677,139
27,Gus.,649,145,678,157
28,Un,345,108,373,126
29,Indiano!,378,112,444,125
30,Un',250,126,273,143
31,Indian,274,128,322,144
32,degno,328,128,373,146
33,d'amore,381,129,445,144
34,Lo,785,124,804,139
35,merta.,813,128,863,141
36,Mertarlo,703,141,769,160
37,sapro.,779,141,826,162
38,(abbraccia,376,181,448,199
39,l'urne.,458,183,509,200
40,Gur.,649,180,679,193
41,Qual,703,180,738,194
42,dolce,748,176,787,195
43,lusinga,797,180,850,195
44,4Consola,685,195,779,212
45,il,787,197,797,209
46,mio,808,195,836,212
47,cuore!,844,195,896,212
48,In,718,215,738,229
49,seno,743,214,775,229
50,all',784,214,807,227
51,amore,814,217,859,228
52,Felice,718,233,764,247
53,sarò.,774,232,812,245
54,Cessa,313,199,354,212
55,Gur.,142,205,177,220
56,Colle,170,215,216,233
57,sue,226,222,249,231
58,lodi,259,218,286,231
59,d',291,215,317,234
60,oltraggiarmi,319,215,408,234
61,Troppo,427,217,483,235
62,Già,174,233,208,252
63,lo,210,233,228,252
64,piangesti,230,236,297,252
65,omai.,306,233,355,252
66,Basta.,360,233,411,252
67,-,416,242,424,244
68,Mia,440,233,465,252
69,sposa,470,233,508,252
70,Ti,175,255,194,269
71,rese,205,252,235,268
72,il,244,254,255,266
73,padre,263,251,307,269
74,"Ida,",650,248,675,265
75,Qual,694,251,734,265
76,fiero,745,250,777,263
77,dovere,785,249,836,264
78,Trionfa,714,265,777,281
79,d'amore!,787,267,857,281
80,Obbedirà,311,269,379,285
81,la,389,270,402,284
82,figlia.,411,269,458,288
83,Ida.,140,276,169,288
84,GHt.,142,289,178,306
85,Il,178,291,188,304
86,tuo,200,293,223,302
87,dover..,232,288,289,303
88,Mio,718,285,755,304
89,povero,762,289,812,305
90,"core,",821,289,859,306
91,Svenarti,716,301,780,318
92,dovro.,790,302,842,317
93,Lo,246,305,299,322
94,"sò,",303,306,325,319
95,Ida.,140,312,168,323
96,Gus.,141,330,172,343
97,Quel,310,324,345,344
98,pianto,356,324,402,344
99,adunque,408,322,475,343
100,Gus.,649,319,685,338
101,Mi,701,321,723,335
102,segut,733,322,770,339
103,...,778,330,796,338
104,"Ida,",647,339,676,351
105,Ti,781,333,813,353
106,seguo:,813,339,861,355
107,Frena,175,345,216,358
108,una,226,348,251,357
109,volta;,263,343,308,357
110,vien,319,341,350,359
111,:,358,341,368,358
112,l'antico,368,342,428,354
113,amore,437,340,482,355
114,Spari,173,362,220,377
115,d'eterno,230,362,294,375
116,oblio,303,360,338,373
117,:,344,358,351,375
118,Ora,184,379,210,397
119,lo,215,379,231,396
120,sposo,238,379,277,394
121,"tho,",288,382,319,394
122,"donna,",329,378,382,393
123,son',392,377,420,392
124,io.,426,377,446,391
125,Quel,191,397,228,413
126,pianto,237,394,283,413
127,che,292,394,317,413
128,ogaora,326,394,377,413
129,Dal,206,412,241,427
130,ciglio,246,413,289,430
131,ti,299,412,309,425
132,"scende,",320,411,378,429
133,Geloso,209,430,267,444
134,mi,271,431,288,444
135,rende,300,430,340,444
136,Offende,209,449,269,463
137,-,279,454,287,458
138,il,297,449,306,460
139,mio,318,449,345,460
140,enor.,354,452,397,460
141,Rammenta,209,467,289,480
142,che,298,466,324,479
143,t'amo,334,466,377,479
144,Che,209,484,240,497
145,bramo,251,485,296,497
146,-,304,490,313,493
147,il,324,482,343,499
148,tuo,342,487,365,496
149,cor.,376,487,406,497
150,Ger.,647,357,678,368
151,T'attendo,701,354,780,369
