,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,PRIMO.,766,84,906,99
1,AT,258,88,323,107
2,TO,338,88,379,107
3,"Questi,",278,106,335,124
4,o,343,108,361,126
5,"figlio,",364,108,412,128
6,dalide,684,103,737,120
7,.gran,748,106,802,120
8,prova,812,103,854,122
9,Chiedi,685,118,736,136
10,d'antor:,746,118,818,137
11,ti,820,118,835,137
12,fidi,839,121,862,136
13,Del,686,141,712,154
14,tuo,724,143,746,152
15,poter,757,142,793,154
16,...,799,149,812,152
17,e,821,144,828,153
18,presso,839,144,883,154
19,all'ars,895,137,939,151
20,io,948,136,967,153
21,voglio,970,139,1015,153
22,Lasciarti,686,157,751,171
23,trionfar;,762,157,827,173
24,vedi,837,155,868,171
25,se,879,161,892,170
26,"t'amo,",903,158,954,170
27,Se,684,174,710,190
28,il,713,175,721,187
29,tuo,735,178,757,187
30,bel,767,174,787,187
31,cor,797,176,819,188
32,di,824,173,842,188
33,meritarmi,854,176,927,188
34,io,938,178,951,186
35,brano,961,173,1005,185
36,.,1011,182,1018,184
37,Sospeso,687,194,743,209
38,è,752,192,759,205
39,il,769,193,779,205
40,sacro,789,197,826,205
41,rito:,837,193,871,209
42,Al,687,211,705,223
43,nuovo,713,207,761,224
44,glorno,771,210,818,225
45,Idalide,845,209,897,221
46,a,906,210,914,222
47,quest,925,207,961,225
48,ara,973,207,996,225
49,Io,687,224,710,243
50,t'attendo;,713,224,790,244
51,più,801,227,823,243
52,"lieta,",834,227,876,242
53,più,886,226,909,243
54,tranquilia,919,224,993,243
55,Spero,687,245,729,262
56,"vederti,",740,243,803,262
57,e,818,243,827,262
58,grata,830,248,866,261
59,a,875,243,887,262
60,tanto,892,243,927,262
61,affetto.,940,243,989,262
62,"Saprai,",687,262,743,283
63,saggia,751,262,797,282
64,qual,805,261,837,280
65,"sei,",845,261,879,282
66,dispor,882,260,931,281
67,quel,940,262,971,280
68,core,981,266,1012,275
69,Per,690,278,718,296
70,me,726,284,747,294
71,soltanto,757,278,815,294
72,a,824,285,832,293
73,palpitar,844,278,902,296
74,d',907,278,930,296
75,amore.,928,278,981,293
76,Dolce,707,296,751,311
77,arrida,760,298,804,311
78,in,812,299,829,312
79,que',839,296,870,314
80,bei,879,298,899,312
81,rai,911,299,930,311
82,l,735,315,746,332
83,piacer,747,317,792,332
84,a',802,317,814,328
85,voti,824,314,852,329
86,miei,862,316,894,329
87,:,901,314,908,331
88,E,737,331,747,348
89,"sarai,",746,331,790,350
90,Qual,724,350,760,365
91,fosti,769,348,801,363
92,e,810,353,818,362
93,sei,827,349,847,364
94,La,724,365,743,381
95,delizia,754,367,804,380
96,del,814,367,836,380
97,mio,847,367,874,380
98,cor.,883,371,913,380
99,Tremi,708,382,756,399
100,poi,766,385,788,401
101,se,798,389,813,399
102,cieco,820,385,861,399
103,ardore,870,385,918,398
104,Se,722,401,752,418
105,ostinato,750,401,809,416
106,affetto,818,403,866,415
107,insano,876,403,923,415
108,..,930,412,944,415
109,E',171,127,185,140
110,il,195,128,205,140
111,miu,215,128,242,140
112,liberator.,253,127,324,139
113,Zas.,138,143,174,163
114,D'Idalide,171,162,246,176
115,la,258,163,270,173
116,"fe,",279,162,300,176
117,la,310,159,322,173
118,"destra,",332,160,388,177
119,i,396,164,400,175
120,primí,411,162,450,178
121,Giuri,172,180,211,193
122,reclamo,222,180,280,191
123,Gut.,133,197,168,214
124,Ignori,175,214,218,230
125,tu,229,218,244,228
126,che,253,215,277,228
127,"l'amo,",288,213,341,229
128,e,350,217,358,226
129,son,366,217,390,226
130,Gusmano?,399,212,477,228
131,Zem.Ed,142,229,195,247
132,io,204,232,219,248
133,Esi.,136,250,172,264
134,Ida.,132,265,171,284
135,(langaida),170,266,247,283
136,Qul,282,141,312,160
137,per,317,146,340,159
138,Zamoro,350,140,407,158
139,"Indiano,",271,195,334,214
140,(al,940,188,970,211
141,popolo.,974,189,1014,211
142,Rinviene,240,249,307,264
143,:,314,254,317,261
144,Ove,282,267,314,282
145,son,323,270,347,280
146,io?,355,266,380,283
147,-,390,271,395,275
148,chi,404,266,426,283
149,veggo,437,272,478,284
150,?,484,269,489,281
151,-,498,275,504,277
152,(vggendo,326,283,401,302
153,Zam.,409,282,449,301
154,Gus.,475,282,508,301
155,Oh,171,300,194,316
156,"padre,",205,302,256,319
157,o,265,306,273,314
158,padre,282,299,324,318
159,mio?,332,299,371,318
160,(i,249,318,290,336
161,getta,293,318,325,336
162,fra,331,319,353,336
163,le,359,317,379,335
164,braccia,383,318,431,333
165,di,440,320,456,333
166,Mon.,464,320,504,335
167,(Ti,282,335,319,357
168,perdi!,326,335,373,357
169,),376,335,384,357
170,Il,377,354,387,368
171,nome,398,358,436,370
172,Men.,137,338,171,350
173,Gur.,138,353,172,373
174,(con,173,356,202,372
175,delce,212,355,246,370
176,rimprovero),256,355,340,374
177,T,173,374,190,386
178,agitò,197,374,233,389
179,tanto,242,372,282,386
180,di,289,373,302,386
181,Zamor,315,371,363,386
182,?,368,373,374,385
183,Ida:,137,392,164,402
184,us.,142,407,172,424
185,Ma,174,407,196,424
186,il,206,408,215,420
187,tuo,225,411,249,421
188,dover,258,407,299,424
189,Ida.,139,423,172,442
190,(martata),174,425,246,441
191,Tatra,172,439,214,456
192,la,224,439,241,457
193,forza:,246,439,304,457
194,-,307,439,320,457
195,obbediro.,318,442,389,455
196,-Ma,399,441,439,454
197,intanto,445,439,502,455
198,Del,172,461,200,478
199,mio,210,462,238,474
200,dolor,248,461,285,474
201,ti,296,461,305,473
202,"prenda,",317,460,372,478
203,Del,172,477,200,491
204,mio,210,480,237,491
205,stato,248,482,282,492
206,pietà,297,476,332,493
207,:,337,476,344,492
208,S'è,346,477,373,491
209,ver,388,476,414,492
210,che,416,477,442,490
211,m',453,478,469,490
212,ami,477,477,504,489
213,Che,172,495,203,507
214,e,212,500,220,507
215,te,229,499,242,508
216,cara,252,499,282,509
217,son',292,495,323,512
218,"io,",325,495,350,512
219,"signor,",354,496,409,511
220,ti,419,495,428,507
221,piaccia,439,495,491,512
222,Al,173,513,205,529
223,nuovo,203,516,248,527
224,giorno,256,514,303,528
225,differir.,314,511,374,526
226,Gus.,138,530,169,542
227,Perdona:,306,390,377,404
228,Del,288,421,315,438
229,mio,326,421,353,437
230,dover,363,423,405,437
231,comprendo,414,424,496,441
232,(sos,811,420,852,439
233,"forza,",854,419,902,437
234,e,909,425,915,433
235,ignificezione.,926,419,1024,435
236,Ma,724,438,749,452
237,già,760,439,780,455
238,vano,790,442,824,453
239,E',724,454,748,470
240,il,750,454,765,470
241,mio,773,454,799,470
242,"timore,",807,455,866,471
243,Non,718,473,755,490
244,pavento,765,473,822,489
245,traditor.,833,470,898,485
246,"Torna,",709,488,765,507
247,"audace,",770,487,835,507
248,a,839,494,845,503
249,boschi,855,490,901,504
250,tuoi,912,490,940,503
251,",",946,500,949,505
252,(aZam.,967,489,1023,506
253,"Va,",722,508,756,526
254,ti,764,507,779,526
255,cela,784,507,816,526
256,mio,846,509,873,526
257,rigor.,883,509,928,524
258,(,719,523,730,542
259,Qual,732,523,757,542
260,mi,764,527,780,540
261,va,792,531,808,539
262,serpendo,817,526,883,543
263,in,892,527,905,540
264,petto,916,529,954,544
265,E,737,541,748,559
266,mi,748,545,766,557
267,strazia,775,544,824,557
268,fier,835,542,858,557
269,sos,867,542,890,560
270,petto!,892,542,938,560
271,.),945,544,967,558
272,Nel,708,560,735,575
273,tuo,745,565,768,575
274,sen,777,566,800,575
275,",",806,571,809,576
276,mio,819,562,847,575
277,dolce,856,561,896,575
278,"amore,",906,565,960,575
279,Calma,725,580,772,592
280,avran,781,584,822,593
281,gli,832,580,849,594
282,affetti,860,580,903,592
283,miei,916,577,951,593
284,:,953,583,955,589
285,Da,727,597,749,610
286,te,759,601,771,610
287,spera,781,600,819,613
288,questo,829,601,876,614
289,core,886,601,917,610
290,Ogni,728,614,764,630
291,sua,775,612,797,628
292,felicità.,807,612,868,628
293,Padre,711,632,755,645
294,.,765,641,778,645
295,voi,789,633,811,645
296,..,820,641,832,646
297,con,843,636,867,645
298,te,879,636,891,645
299,.,902,641,913,645
300,con,923,636,948,644
301,lei,958,631,977,643
302,Lieta,727,649,765,662
303,l'alma,776,650,823,664
304,alfin,834,650,864,663
305,sarà.,876,651,911,663
306,(,729,667,738,685
307,parte,740,666,770,685
308,con,775,671,795,679
309,turto,806,670,837,681
310,il,846,669,855,680
311,srguite,865,669,910,683
312,"Ida,",921,667,948,681
313,can,957,671,977,678
314,Emi.,989,666,1023,679
315,e,756,683,767,700
316,Indiani.,769,683,824,700
317,Che,308,530,339,543
318,dici,348,530,377,544
319,?,381,531,386,544
320,Al,175,547,192,559
321,nuovo,203,551,248,560
322,giorno?,257,547,313,565
323,1.d,140,563,157,580
324,(resta,393,547,439,565
325,pensoso,447,546,499,566
326,Si:,272,564,295,580
327,ten,304,569,326,578
328,priego.,336,565,392,582
329,(lo,335,580,371,600
330,spero,375,582,409,602
