,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,SECONDO.,782,84,935,100
1,$3,1008,86,1024,100
2,ATTO,298,107,409,121
3,"Montezo,",198,125,280,142
4,il,290,126,300,139
5,glusto,310,125,354,142
6,affanno.,359,124,419,139
7,Io,428,122,455,141
8,sono,457,122,486,140
9,"padre,",492,122,537,140
10,Io,201,144,227,161
11,qui,227,146,249,160
12,comando,258,143,324,157
13,ancor.,334,146,383,155
14,Vivrà,393,142,436,157
15,Zamoro.,446,139,511,155
16,Salva,202,160,242,177
17,la,253,163,265,175
18,figlia,275,161,311,177
19,avrai:,322,162,370,173
20,Conoscermi,201,179,292,194
21,dovresti.,299,179,368,192
22,Ora,378,176,407,191
23,vedrai,415,179,463,192
24,Qual,203,200,238,214
25,d',248,198,261,210
26,Alvarez,272,198,333,211
27,è,343,196,350,209
28,il,361,196,370,209
29,core.,381,200,418,209
30,Il,203,215,217,230
31,figlio,225,216,262,233
32,amar,272,221,308,229
33,dovrai,318,215,365,228
34,nel,377,214,398,227
35,genitore.,408,214,476,229
36,SCENA,757,121,887,136
37,XV.,924,119,955,133
38,Tende,817,157,865,174
39,ec.,877,162,898,173
40,"Crandi,",673,193,729,209
41,"Generali,",738,193,806,209
42,"Papolo,",816,195,868,208
43,cbe,878,194,899,206
44,accorre,910,197,958,206
45,alla,969,189,993,203
46,tenda,1004,189,1042,202
47,di,796,210,823,226
48,Gusmano,822,209,892,224
49,in,902,211,915,224
50,(parte.,485,230,538,247
51,CORO.,834,247,893,260
52,SCEN,247,270,346,281
53,A,366,267,378,280
54,XIV.,419,266,457,280
55,D.,723,275,766,319
56,al,759,299,774,311
57,campo,784,302,832,314
58,"d'onor,",841,299,902,314
59,Felice,744,316,790,332
60,"guerrier,",800,316,871,334
61,Tinvita,744,331,813,347
62,"l'amor,",824,332,884,347
63,Ti,742,346,761,363
64,chiama,772,350,826,364
65,il,837,351,847,363
66,piacer.,857,350,911,367
67,Se,722,367,749,384
68,gloria,750,368,793,384
69,finor,804,368,838,380
70,Accese,742,384,795,401
71,il,806,385,815,399
72,tuo,826,388,850,399
73,"cor,",859,391,893,401
74,A',739,403,771,420
75,rai,771,404,789,418
76,di,799,403,813,417
77,beltà,824,403,861,417
78,D'amor,742,421,803,434
79,brillerà.,812,421,875,434
80,Che,721,440,753,454
81,lieto,763,440,797,454
82,momento,808,442,877,454
83,Fia,744,458,767,471
84,questo,776,461,824,474
85,per,834,461,858,473
86,te:,868,459,890,469
87,Ti,738,473,776,488
88,renda,774,473,815,488
89,contento,824,476,889,488
90,La,742,492,762,506
91,"pace,",772,496,814,508
92,la,824,492,837,505
93,fe.,847,491,869,506
94,"Ah,",728,509,759,525
95,vieni,769,507,807,524
96,a,818,514,825,522
97,"goder,",834,510,883,527
98,Felice,744,525,788,544
99,"guerrier,",797,527,868,548
100,Ti,741,545,761,559
101,invita,772,546,815,558
102,"l'amor,",825,546,885,560
103,Ti,741,559,760,576
104,chiama,771,563,824,582
105,il,829,561,845,582
106,piacer..,851,561,922,583
107,Gur.,673,579,707,597
108,"Eccomi,",709,579,771,597
109,fidi,777,580,800,594
110,"amici,",810,578,859,596
111,eccomi,868,580,936,593
112,a,938,578,948,596
113,voi,946,579,968,592
114,;,975,584,978,593
115,Montezo.,315,303,389,318
116,sommo,247,345,299,354
117,Dio,308,339,336,353
118,",",343,350,346,355
119,tu,356,343,370,352
120,salva,380,339,416,352
121,La,201,361,221,375
122,cara,230,363,260,372
123,"figlia,",270,358,316,374
124,s',326,356,340,375
125,io,343,358,356,370
126,la,365,358,377,370
127,"perdo,",388,356,437,373
128,in,450,356,463,369
129,lei,474,356,492,369
130,Vitt!ma,200,378,258,390
131,di,268,376,281,388
132,passion,293,375,345,391
133,"cara,",355,374,395,390
134,e,403,379,411,387
135,"funesta,",421,374,484,388
136,Tutto,200,396,245,408
137,perde,256,393,296,408
138,il,310,392,325,408
139,mio,327,393,354,405
140,"cor,",363,395,395,408
141,nulla,406,392,443,403
142,mi,453,393,471,404
143,resta.,481,393,526,402
144,"Ah,",220,412,252,426
145,ti,262,411,271,423
146,"sento,",282,414,346,425
147,o,348,410,362,427
148,cor,364,410,383,427
149,"paterno,",388,412,452,425
150,Palpitar,236,429,299,445
151,violento,310,428,371,445
152,in,381,428,396,440
153,petto;,405,429,449,444
154,Di,235,448,254,461
155,"natura,",266,450,320,462
156,o,329,450,337,459
157,dolce,347,444,386,457
158,"affetto,",396,443,453,459
159,Tu,235,461,259,478
160,m',270,465,287,477
161,astringi,293,461,349,481
162,a,359,467,366,481
163,sospirar,376,463,434,479
164,Della,219,482,260,495
165,patria,270,482,312,497
166,le,323,479,343,494
167,ruine,346,481,385,492
168,Rimirai,237,497,295,513
169,con,306,503,330,512
170,ferme,340,498,383,511
171,ciglia;,393,498,444,513
172,Ma,236,518,261,530
173,sul,272,518,292,531
174,fato,304,517,331,529
175,della,340,516,376,529
176,figlia,385,514,423,532
177,Son,236,536,262,548
178,costretto,273,538,338,547
179,a,353,533,363,550
180,lagrimar.,364,532,436,549
181,Salva,218,553,257,567
182,tn,268,556,282,565
183,la,293,553,304,565
184,figlia,315,552,352,568
185,"amata,",361,554,413,568
186,"Fammi,",236,571,297,586
187,o,306,574,313,583
188,"cielo,",323,567,367,586
189,respirar.,376,568,444,585
190,(,488,583,499,602
191,parte.,501,583,541,602
192,(,973,594,984,612
193,escendo.,981,597,1038,609
194,Se,704,614,731,631
195,fur,732,616,753,629
196,comuni,764,616,836,629
197,a,838,615,845,632
198,noi,847,617,869,629
199,I,715,632,727,651
200,"perigli,",723,634,781,651
201,gli,791,635,810,651
202,"allori,",821,634,869,649
203,oh,879,634,897,647
204,come,906,637,944,646
205,io,954,634,967,646
206,"godo,",978,632,1019,649
207,Com',705,648,744,664
208,è,750,648,761,664
209,dolce,767,648,805,665
210,al,814,652,826,664
211,mio,838,648,869,664
212,cor,875,656,897,664
213,sù,907,651,921,664
214,i,933,651,936,663
215,vostri,948,648,989,663
216,volti,997,651,1030,663
217,La,704,668,724,685
218,mia,734,670,761,683
219,gioja,771,669,806,685
220,mirar!,816,669,865,683
221,-,875,676,883,680
222,(O,888,666,927,684
223,di,929,665,956,683
224,vendetta,954,668,1018,681
225,Piacer,706,686,754,701
226,"soave,",764,685,812,704
227,alfine,822,688,861,704
228,B11,845,704,885,718
229,Ti,1001,703,1021,717
230,SCE-,480,725,518,740
