,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,270,99,378,113
1,"Ma,",191,119,227,134
2,ciel!,233,116,274,133
3,quai,283,116,316,134
4,tuoni,325,117,363,132
5,orribili,373,116,426,131
6,..,432,115,450,130
7,Le,207,133,231,150
8,valli,245,133,276,151
9,i,285,135,289,147
10,manti,299,134,341,148
11,tremano.a,348,136,430,153
12,Senti,209,151,246,169
13,d',256,153,269,165
14,Earopa,276,150,329,169
15,il,340,151,350,164
16,fulmine.,355,150,433,167
17,PRIM,761,86,862,105
18,O.,892,87,903,105
19,Ecco,719,107,754,121
20,l',763,108,771,120
21,India,778,108,816,122
22,a,825,113,832,121
23,piedi,843,109,878,123
24,tuoi,890,108,916,122
25,:,922,112,925,121
26,Or,721,122,749,140
27,trionfi,752,123,797,142
28,d',803,126,815,142
29,ogni,822,127,854,143
30,cor.,865,130,897,142
31,GNr.,650,145,680,156
32,Sorgete,701,142,757,161
33,miei,766,144,798,157
34,cari:,806,142,842,159
35,Musica,377,172,432,185
36,marziale.,440,169,510,183
37,(li,839,162,867,180
38,"rialza,",869,164,917,180
39,e,926,168,932,178
40,abbraccia.,940,163,1011,178
41,Venite,721,177,770,195
42,al,780,179,795,195
43,mio,802,180,828,195
44,petto:,840,184,884,199
45,Si,715,197,741,214
46,tenero,743,201,788,214
47,affetto,797,197,844,211
48,Consola,718,213,777,231
49,il,787,215,796,229
50,mio,807,216,835,230
51,cor.,844,220,874,231
52,Ind.,649,232,677,243
53,Se,700,233,717,246
54,padre,727,234,767,250
55,ci,777,234,788,246
56,sei,800,234,818,246
57,:,825,239,828,246
58,Se,719,249,740,267
59,lieti,743,250,773,265
60,ci,782,252,794,265
61,"fai,",805,252,831,269
62,Dell',719,268,756,283
63,India,762,269,799,283
64,sarai,809,268,843,284
65,La,717,286,737,300
66,speme,747,289,791,305
67,l'amor.,802,287,863,303
68,Gus,647,304,675,317
69,Si,698,304,711,315
70,tenero,721,308,768,319
71,affetto,778,305,824,320
72,Odi,215,187,245,204
73,strumenti,247,190,317,202
74,bellici.,328,185,390,200
75,(compariscono,226,207,325,223
76,1oldati,340,206,386,220
77,ipagnuali,401,207,462,222
78,sulla,477,204,510,218
79,"Mira,",208,242,255,257
80,i,264,243,268,255
81,spagnuoli,279,241,350,258
82,avanzano,362,241,432,259
83,.,434,241,451,259
84,(aitri,244,257,285,276
85,alla,290,257,320,276
86,"pianura,",326,260,387,277
87,che,398,259,419,272
88,precederan-,429,259,511,277
89,se,261,276,285,293
90,Gusmano.,287,275,365,290
91,Ecco,209,295,245,309
92,"Gusman,",258,294,328,310
93,.,330,293,334,310
94,noi,354,294,377,308
95,miseri!...,387,295,455,308
96,Fuggasi...,208,315,283,334
