,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,262,69,367,92
1,TERZO.,737,72,866,89
2,53,980,79,1004,92
3,Cre.,112,89,153,109
4,Taci;,165,92,219,110
5,ed,229,89,251,112
6,afcolta,257,89,315,112
7,ad,186,115,209,131
8,"Antigona,",214,110,314,136
9,cbe,325,114,355,131
10,lo,361,110,377,136
11,guarda,379,110,449,136
12,con,457,119,485,131
13,dif-,491,110,530,136
14,"prezzo,",228,139,300,159
15,e,309,142,318,153
16,poi,325,135,351,158
17,fi,353,135,367,158
18,vilge,372,134,419,157
19,altrove.,425,133,500,154
20,Perchè,135,158,199,175
21,fin,209,155,232,175
22,qui,236,158,265,181
23,lo,276,159,292,175
24,trafli.,296,155,356,175
25,E,368,155,384,181
26,tu,386,155,407,181
27,"comprendi,",412,159,524,181
28,ad,356,177,391,205
29,Eurifteo.,393,177,482,207
30,"Conofcerò,",616,95,723,113
31,fe,729,93,744,110
32,avefti,750,94,801,111
33,Parte,618,113,668,139
34,ne',671,113,705,139
35,fuoi,707,113,741,139
36,delitti.,748,116,814,139
37,Il,828,116,843,139
38,Regio,849,116,905,138
39,impero,911,115,976,137
40,Se,617,135,644,158
41,adeflo,646,135,700,158
42,ancor,702,135,756,159
43,"difprezzi,",763,137,855,159
44,"Paventa,",617,162,704,181
45,che,715,159,745,175
46,potrelti,754,157,821,179
47,Seco,617,182,659,199
48,perir.,666,181,719,202
49,Spettacolo,733,178,828,201
50,funefio,835,180,899,196
51,D'uno,622,202,677,225
52,fcempio,683,201,753,225
53,maggiore,765,202,851,224
54,agli,862,202,894,224
55,occhi,901,203,946,219
56,altrui,954,205,1004,221
57,Seco,617,221,658,243
58,efporrotti.,664,221,764,245
59,Ma,785,221,807,245
60,a,814,221,824,245
61,tuo,829,229,859,240
62,danno,864,221,920,240
63,io,926,225,942,241
64,"credo,",947,226,1005,245
65,Che,622,246,652,267
66,non,658,245,688,267
67,farai,696,246,735,262
68,sì,741,246,753,262
69,folle.,762,245,813,263
70,Orsù,821,246,866,262
71,l'acciaro,873,246,949,263
72,Perchè,135,202,200,219
73,teco,206,208,244,220
74,or,250,208,270,220
75,fon'io.,276,202,339,220
76,Eur.,117,220,166,244
77,(Oh,170,224,211,246
78,Dei,218,225,250,248
79,!),258,225,276,248
80,Erm.,112,245,161,263
81,(Che,175,243,223,267
82,fia!),233,244,281,269
83,Lea.,114,267,154,284
84,(Qual,168,268,226,288
85,barbarie,234,267,310,286
86,novella,317,268,386,286
87,Medito,138,287,206,311
88,l'inumano!),209,287,325,311
89,Cre.,115,311,156,328
90,Vittima,171,311,244,330
91,di,251,312,268,329
92,tua,275,317,303,328
93,mano,309,316,359,334
94,Dovea,133,334,195,355
95,cader,201,332,251,355
96,quella,256,334,312,356
97,fuperba,317,333,387,356
98,Donna,395,334,457,352
99,Or,139,355,169,376
100,fon,167,356,196,373
101,tre,204,362,229,373
102,luftri.,236,354,293,373
103,Infido,308,354,362,372
104,Alle,133,377,173,394
105,mie,181,378,213,394
106,leggi,220,377,265,397
107,P'involafti,275,377,360,394
108,:,368,382,373,393
109,in,381,377,398,393
110,"Tebe,",405,376,464,395
111,(Mirala:),140,397,234,420
112,Ritornò,240,397,322,420
113,Furia,320,399,369,417
114,"d'Averno,",377,399,478,420
115,Di,133,421,156,445
116,Meggera,167,419,243,444
117,peggior.,250,419,338,443
118,D'un,347,421,393,438
119,altra,400,420,442,438
120,il,454,420,466,437
121,nome,472,424,523,438
122,A,135,443,149,459
123,mentir,158,441,219,460
124,chi,227,442,254,463
125,"T'indufse,",261,441,350,462
126,Non,133,464,174,481
127,sò.,181,464,208,482
128,So,222,463,253,484
129,che,255,463,279,484
130,volea,285,464,334,481
131,Però,133,486,178,504
132,di,185,487,202,503
133,quefto,207,486,266,510
134,capo,272,492,314,511
135,Il,129,506,157,527
136,funelto,154,506,218,526
137,Olocaufto:,224,506,327,527
138,e,339,514,348,526
139,fe,353,509,370,525
140,natura,375,512,435,525
141,In,133,529,160,552
142,fen,160,530,186,547
143,non,190,529,228,552
144,ti,230,529,248,552
145,parlava,252,532,319,552
146,a,327,536,337,552
147,mio,343,531,376,552
148,"favore,",388,531,457,549
149,Vittima,133,552,207,568
150,già,214,552,240,572
151,farei,249,550,287,568
152,del,295,552,322,568
153,fuo,327,550,358,572
154,"furore,",361,550,439,572
155,Eur.,112,572,156,591
156,Ah,171,574,197,591
157,fe,205,571,223,595
158,dunque...,230,571,336,597
159,Cre.,113,595,153,613
160,T'accheta:,166,593,271,612
161,E,145,616,158,639
162,fiegui,155,617,205,639
163,ad,212,617,233,638
164,afcoltar.,241,617,318,638
165,Di,329,617,351,633
166,si,357,617,369,633
167,gran,375,620,416,638
168,fallo,424,615,463,632
169,Di,133,640,156,661
170,tal,164,636,190,661
171,perfidia,194,638,263,661
172,rea,275,644,302,661
173,d'uopo,309,636,371,661
174,"è,",393,650,398,656
175,che,404,637,433,653
176,"mora,",441,640,498,656
177,Quindi,144,659,202,682
178,fin,204,659,230,682
179,qui,235,661,263,682
180,ti,271,660,283,676
181,"traffi,",290,660,345,680
182,Perchè,135,680,198,699
183,ad,205,682,225,699
184,eflo,233,680,266,698
185,la,272,683,287,698
186,fveni;,293,682,349,700
187,e,361,687,370,699
188,la,377,682,392,698
189,man,398,686,436,698
190,porga,443,685,497,703
191,Ad,135,704,163,722
192,Ermione,174,700,250,726
193,di,257,701,275,725
194,Spofo.,281,703,344,727
195,Eur.,114,727,157,744
196,lo!...,170,725,231,745
197,Cre.,113,750,152,766
198,Tutto,165,749,219,766
199,ancora,225,753,285,766
200,Non,137,771,177,788
201,diffi.,182,770,227,790
202,Afcolta.,234,770,311,789
203,In,321,767,344,792
204,quefta,347,767,400,792
205,guifa,407,766,452,792
206,io,458,768,475,786
207,dun-,482,766,525,791
208,gli,760,266,792,291
209,prefenta,794,265,871,293
210,ano,878,272,909,283
211,fiile.,912,267,960,290
212,I'quefto,616,290,701,310
213,:,709,295,712,305
214,Il,720,289,734,305
215,mio,741,288,775,306
216,commando,782,287,884,306
217,Efeguifci,617,309,697,334
218,ora,704,316,733,335
219,appieno.,740,312,823,335
220,Prendi;,616,331,691,356
221,e,697,339,706,350
222,l'immergi,713,331,804,356
223,a,810,339,819,351
224,quella,825,334,879,356
225,Furia,885,333,934,351
226,in,940,334,955,350
227,feno..,959,331,1017,356
228,Ant.,597,354,647,375
229,Di,650,356,671,371
230,Genitor,679,355,752,376
231,malvaggio,759,355,855,377
232,Figlio,615,376,670,401
233,"peggior,",676,376,759,401
234,col,771,377,798,392
235,rattenermi,804,375,901,401
236,il,909,379,919,395
237,colpo,927,379,977,401
238,Giungelti,621,396,705,420
239,alfine,708,397,763,420
240,ove,765,404,798,420
241,bramaui.,806,397,890,421
242,Or,919,399,939,421
243,tutto,942,399,981,422
244,Lieto,618,417,672,437
245,farai.,674,418,729,439
246,Puoi,738,420,779,438
247,fodisfar,787,420,855,437
248,contento,862,426,941,440
249,A,626,438,640,461
250,quel,639,440,679,463
251,"dovere,",686,441,764,464
252,a,771,447,781,464
253,cui,787,443,813,464
254,mancafti.,819,443,905,466
255,Il,920,445,932,461
256,petto,939,449,986,468
257,Eccoti,616,459,673,481
258,inerme,681,463,745,481
259,alle,751,463,785,486
260,ferite.,791,464,851,487
261,Impiaga:,863,464,948,490
262,Via,616,485,649,501
263,su,657,485,674,501
264,del,681,485,709,500
265,cenno,714,490,768,502
266,illuftre,776,486,838,502
267,Moftrati,615,505,691,526
268,degno,699,506,755,527
269,Efecutor.,763,506,852,524
270,Cre.,595,528,635,546
271,L'afcolti,648,525,729,544
272,Come,616,549,670,567
273,ne,677,554,698,565
274,"infulta,",705,548,773,569
275,ne,783,555,804,566
276,deride?,811,550,880,570
277,Il,888,553,903,570
278,ferro,908,553,954,573
279,Stringi,615,571,676,593
280,ò,685,572,695,588
281,Figlio,708,569,753,594
282,...,755,569,796,594
283,oulendoglielo,681,590,796,617
284,porgere,804,598,872,623
285,Eurifico,880,596,956,626
286,ad,884,531,906,549
287,Ear.,914,531,956,550
288,i,842,616,857,643
289,fcofta.,859,616,918,645
290,Eur.,594,636,637,653
291,Ah,650,635,674,651
292,più,681,636,709,656
293,tofto,715,636,759,654
294,M'ingoj,615,654,686,677
295,il,694,659,705,673
296,fuel;,712,657,760,676
297,Si,781,657,797,679
298,barbaro,800,657,866,681
299,comando,873,658,954,682
300,Non,614,679,654,696
301,fperar,658,675,714,701
302,ch',720,679,745,696
303,efeguifca.,749,679,841,703
304,Cre.,599,697,640,720
305,O,649,698,669,719
306,folle...,671,698,750,721
307,Eur.,593,721,633,739
308,In,651,722,669,741
309,vano,677,727,719,739
310,Genitore,612,743,694,762
311,"inumano,",700,744,788,764
312,T'affatichi,612,762,704,785
313,or,712,772,731,783
314,con,738,765,775,787
315,me.,776,772,813,786
316,Quefta,826,767,892,791
317,mia,896,769,929,792
