,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,SECONDO.,712,59,867,76
1,ATTO,240,69,343,87
2,30,84,76,107,93
3,Che,102,90,143,112
4,fi,148,92,159,116
5,voglia,163,92,221,116
6,placar.,228,92,294,116
7,Lea.,85,111,126,133
8,"(No,",140,111,202,136
9,che,205,111,232,136
10,"perifca,",240,113,315,136
11,Permetter,108,134,202,159
12,non,209,134,241,159
13,fapro.),244,134,319,159
14,Cre.,83,159,123,180
15,Che,137,159,173,176
16,più,178,159,207,179
17,fi,213,157,223,176
18,tarda,231,155,278,176
19,?,284,157,292,172
20,Vanne,108,179,168,197
21,"Ermione,",178,179,267,199
22,vanne.,280,180,346,196
23,Erm.,85,203,133,221
24,"Andiamo,",147,202,241,223
25,andiamo.,253,201,340,219
26,Traggafi,107,225,187,247
27,pur,194,229,226,245
28,queft'Infelice,231,224,355,244
29,a,360,225,370,238
30,morte.,376,225,445,237
31,"L'ingiufta,",107,245,210,269
32,inigua,220,244,276,269
33,forte,286,245,330,262
34,Venga,108,270,169,292
35,a,176,273,185,285
36,sfogarli,190,267,265,289
37,in,265,268,282,285
38,me,289,272,316,284
39,;,323,273,329,285
40,giacchè,335,265,404,286
41,condanna,408,263,495,281
42,Inumana,108,288,187,306
43,Tiranna,195,288,269,306
44,Chi,108,312,139,328
45,non,145,317,178,328
46,è,185,311,194,326
47,"delinquente,",201,310,321,332
48,E,122,331,131,352
49,la,133,331,145,352
50,lafcia,149,332,198,349
51,morir,206,329,259,350
52,benchè,265,329,332,350
53,innocente.,335,330,435,348
54,Vado...Ma,158,353,273,373
55,dove,282,351,324,372
56,?...,332,353,370,367
57,Oh,381,350,408,371
58,Dio!...,425,349,500,370
59,Dunque,172,378,249,397
60,morir,254,377,307,393
61,dovrò,312,375,369,391
62,?,374,375,381,389
63,Ah,173,400,200,414
64,più,208,399,236,418
65,vigor,244,398,291,419
66,..Non,295,397,366,418
67,ho...,372,396,429,416
68,Non,174,418,214,438
69,"ho..,",223,418,277,441
70,più,279,417,309,440
71,moto,311,417,361,440
72,al,363,417,385,440
73,piè...,388,417,448,440
74,Che,172,442,210,459
75,fiera,218,441,257,459
76,forte,264,439,307,460
77,barbara!,314,438,394,456
78,Per,174,464,207,481
79,me,215,469,242,480
80,non,248,463,282,484
81,v'è,288,462,330,483
82,pietà.,320,462,378,483
83,Mifere!,153,485,225,503
84,il,236,486,247,501
85,fallo,254,485,294,501
86,mio,301,483,336,501
87,Anch'io.,176,508,260,526
88,NAnno,92,533,157,555
89,Sapefli,174,531,236,553
90,"almeno,",242,529,321,549
91,Sapefli,174,550,235,572
92,perchè,245,550,307,570
93,merito,313,547,376,565
94,Si,171,571,200,593
95,fiera,202,570,238,592
96,crudeltà.,245,569,332,588
97,Impedirfi,611,79,699,104
98,non,706,86,737,98
99,può.,745,82,790,103
100,Lea.,589,106,630,124
101,(Barbaro!),641,101,755,125
102,Ale.,592,124,638,151
103,(Efangue,643,123,737,151
104,Forfe,606,144,661,167
105,"cadrai,",666,144,737,169
106,perche,739,144,797,169
107,Ella,805,147,840,164
108,viva.),847,148,910,169
109,Eur.,591,173,635,189
110,(Oh,647,168,691,189
111,Dio!,698,166,743,186
