,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,АТТО,284,68,359,87
1,PRIMO.,693,56,830,83
2,13,945,67,970,85
3,22,96,76,120,85
4,La,117,91,142,108
5,tazza,151,88,199,110
6,Nuzzial.,205,88,291,110
7,Prendila.,297,91,386,108
8,Il,399,92,413,108
9,Rito,421,91,462,108
10,Dalla,116,112,167,132
11,tua,173,117,203,129
12,man,209,118,246,135
13,dompito,251,112,329,136
14,Già,575,76,608,96
15,mi,616,77,637,96
16,ritorna.),648,77,734,103
17,Cre.,553,99,593,119
18,(lo,606,100,639,121
19,mi,646,100,670,118
20,"confondo,",676,100,772,126
21,e,784,104,796,126
22,temo.),799,104,876,128
23,Eur.(Perl'evento,562,118,719,147
24,dubbiofo,727,122,803,149
25,lo,812,125,829,144
26,"gelo,e",833,125,888,151
27,tremo.),894,129,965,151
28,Ant.,553,141,607,164
29,Che,612,145,648,164
30,rifolvi,655,146,710,163
31,Creonte,717,146,792,166
32,?,798,150,806,164
33,Cre.,554,162,592,185
34,Nol,607,166,641,185
35,so:,649,166,678,185
36,ma,690,172,717,185
37,tutto,722,166,767,191
38,"Antiope,",774,168,863,193
39,Dipenderò,571,189,676,213
40,da,687,187,706,213
41,te.,709,187,745,212
42,Ant.,552,210,605,229
43,Dunque,613,212,687,233
44,del,693,213,720,230
45,Cielo,727,213,776,230
46,Si,572,230,596,256
47,fecondin,599,230,674,258
48,gli,681,235,704,256
49,"inmpulfi,",711,234,789,260
50,Che,580,253,612,277
51,mi,618,254,644,277
52,fento,648,254,693,275
53,nel,701,257,728,273
54,cor.,735,256,773,275
55,"Si,",782,256,809,278
56,s'impedifca,817,256,924,282
57,Imenèo,586,276,655,300
58,si,657,279,668,295
59,fatal:,676,279,724,298
60,nè,736,279,757,296
61,delle,764,280,809,299
62,"Sfere,",815,279,872,302
63,E,591,296,604,320
64,de',607,297,633,322
65,Numi,633,299,684,319
66,s'irriti,691,298,747,324
67,oggi,753,300,796,325
68,lo,799,301,816,325
69,fdegno.,823,301,898,327
70,L'onda,577,322,643,341
71,Nuzzial,651,322,723,342
72,fi,729,324,739,341
73,"verli,",748,322,797,346
74,Ei,577,344,608,362
75,ubbidifca,615,344,698,363
76,il,706,346,716,362
77,Ciel.,723,347,772,364
78,Si,786,344,804,367
79,falvi,805,347,843,368
80,il,849,347,861,363
81,Regno.,868,346,942,369
82,S'accola,642,368,729,391
83,con,734,374,763,386
84,fatto,766,368,810,391
85,all',814,367,849,391
86,"Ara,",851,367,907,392
87,d'onde,908,367,966,393
88,Rimanga,116,135,202,161
89,al,208,135,222,151
90,fine:,230,134,271,161
91,e,281,131,294,161
92,il,296,131,315,161
93,fagro,317,131,361,161
94,Umor,369,136,425,161
95,gli,429,136,452,157
96,Spofi,458,134,504,157
97,S'accoftino,115,153,217,176
98,a,222,163,232,174
99,libar.,240,157,297,179
100,La,307,156,329,180
101,forte,336,156,379,181
102,"poi,",385,157,434,182
103,Che,116,178,154,202
104,prefagifce,159,177,248,203
105,Apollo,255,179,317,204
106,Ai,116,200,139,218
107,Reali,147,198,195,219
108,"Imenei,",205,199,277,223
109,Spiegar,107,223,185,247
110,ti,191,224,203,241
111,"piaccia,",210,222,282,247
112,e,293,230,304,241
113,ci,309,224,324,241
114,fian,330,223,362,242
115,faufti,367,223,414,242
116,i,421,224,425,240
117,Dei.,434,223,479,241
118,Ant.,99,241,151,268
119,Gid,153,241,187,269
120,udij:,195,242,242,269
121,(M'arridan,247,242,361,271
122,gli,364,243,394,270
123,Aftri,398,246,444,270
124,Or,119,265,154,287
125,de',156,266,184,288
126,voti,183,269,218,285
127,a,226,273,235,284
128,nmifura.,242,268,311,287
129,All'arte.),323,267,417,289
130,Erm.,93,287,142,307
131,(Ah,159,287,194,310
132,temo.),201,288,270,313
133,Eur.,93,310,138,332
134,(lo,151,312,180,331
135,gelo,186,311,225,332
136,di,236,311,253,328
137,"timor,",258,309,322,335
138,"palpito,",334,314,430,336
139,e,432,311,442,335
140,tremo.),444,311,508,337
141,Ant.,93,329,150,358
142,"Signor,",153,329,230,358
143,prima,232,330,290,359
144,d'ogn'altro,293,331,398,359
145,"E'd'uopo,",116,353,216,378
146,che,223,354,252,372
147,m'afcolti,259,354,337,372
148,Che,114,375,153,392
149,tradirti,160,374,226,393
150,non,234,382,266,394
151,voglio.,273,378,331,397
152,in,337,376,368,395
153,Tebe,374,378,423,394
154,io,430,377,449,394
155,venni,455,377,505,395
156,Non,114,397,156,419
157,qual,162,398,202,419
158,Donna,210,399,271,415
159,volgars,276,397,348,422
160,ma,358,404,384,416
161,degli,389,398,439,421
162,Dei,445,399,479,422
163,"Inrerprete,",112,418,224,442
164,e,233,419,247,443
165,Miniftra.,250,419,347,443
166,Or,350,422,377,439
167,odi.,384,419,422,439
168,Il,434,421,450,438
169,tuo,459,426,489,439
170,Sconfigliato,113,439,225,463
171,desio,231,442,280,459
172,"E,",112,462,144,485
173,che,161,460,185,485
174,quel,192,460,232,487
175,Nappo,239,464,301,487
176,io,309,464,325,480
177,"prenda,",332,463,406,487
178,L'efeguiro.,112,482,222,508
179,Gid,234,482,268,508
180,fono,270,482,313,508
181,Pronta,112,504,177,529
182,il,184,508,194,524
183,Rito,201,507,243,524
184,a,248,513,257,524
185,compir.,264,507,335,531
186,Ma,341,508,371,527
187,pria,377,509,415,531
188,de'Numi,421,508,504,529
189,Intendine,113,528,205,548
190,il,215,530,226,546
191,voler.,234,530,292,548
192,Cre.,90,549,132,569
193,Favella.,146,550,223,569
194,Ant.,89,573,136,594
195,Al,151,574,173,590
196,figlio,182,573,230,595
197,La,110,594,136,617
198,"Spofa,",141,592,203,617
199,che,216,595,247,617
200,"fcegliefti,",252,596,339,618
201,ad,345,596,366,613
202,"altro,",373,596,422,615
203,ad,430,595,451,618
204,altro,457,597,502,615
205,Serba,104,613,162,634
206,il,169,617,180,632
207,Deftino.,188,614,269,635
208,Ah,278,616,309,634
209,l'Imeneo,315,616,397,640
210,fe,407,618,427,640
211,"fiegue,",432,618,503,641
212,"Penfaci,",109,638,189,661
213,ea,202,637,228,660
214,te,230,637,248,660
215,fatal:,254,637,312,661
216,fatale,318,641,367,658
217,al,375,641,389,657
218,"figlio,",397,638,461,663
219,A,109,660,125,676
220,"Tebe,",134,659,192,680
221,al,198,661,212,677
222,Regno,219,659,282,683
223,rutto.,289,666,345,680
224,In,355,662,379,684
225,me,382,662,414,684
226,ti,419,664,429,685
227,parla,438,663,485,685
228,Apolio:,109,681,184,705
229,io,192,682,209,699
230,non,214,681,245,705
231,mentifco.,252,681,349,707
232,Ol'ira,350,683,409,703
233,"fcegli,",414,683,475,708
234,O,133,701,146,722
235,de',148,702,171,723
236,Numi,168,703,220,722
237,il,227,705,237,721
238,favore.,245,707,313,723
239,Erm.,88,725,138,745
240,(Ah,153,724,191,749
241,che,197,725,223,748
242,afcoltai!),231,726,322,751
243,Ak.,89,745,140,771
244,"(Stelle,",142,748,216,771
245,che,227,748,257,772
246,mai,265,750,298,767
247,farà1),304,748,366,771
248,Lea.,88,766,138,793
249,(La,141,769,178,790
250,fpeme,186,770,240,795
251,in,247,772,264,790
252,petto,272,776,321,797
253,prefa,664,389,713,412
254,la,724,390,741,407
255,razza,750,389,804,415
256,roverfciato,810,389,915,415
257,il,926,392,940,409
258,li-,944,392,965,410
259,quere,689,412,745,436
260,la,747,413,768,435
261,getta,766,416,816,437
262,con,826,418,854,430
263,impeto.,860,415,931,435
264,Cre.,555,431,599,457
265,(Io,608,429,647,457
266,gelo),650,430,703,458
267,"Antiope,",705,430,791,460
268,almeno,795,432,862,461
269,Ah,579,455,605,472
270,meglio,611,453,673,478
271,i,679,456,683,472
272,fenfi,690,455,727,475
273,arcani,734,456,789,480
274,Del,579,473,616,500
275,Ciel,620,474,659,500
276,"fpiega,",663,478,731,500
277,ed'Apollo.,743,476,853,502
278,Ant.,555,501,602,518
279,A,615,501,629,515
280,"parte,",636,504,684,523
281,a,690,507,709,523
282,parte,718,505,767,524
283,Altrove,579,518,652,539
284,o,658,527,668,538
285,Rè,674,520,700,539
286,tutto,707,520,753,540
287,faprai.,759,521,822,545
288,Non,828,521,870,546
289,deggie,876,522,942,547
290,Quivi,579,543,631,564
291,parlar,641,542,695,566
292,per,699,544,733,568
293,ora.,736,549,776,569
294,(Ma,577,562,621,585
295,l'Arcano,630,563,708,588
296,"farà,",714,564,768,589
297,chel'Empio,774,565,884,591
298,mora.),890,567,964,592
299,Cre.,554,586,595,606
300,"Eruione,",611,585,708,609
301,"Prence,",710,586,784,610
302,"Amici,",792,587,859,609
303,Si,577,607,602,630
304,fofpendin,603,608,689,631
305,le,698,612,712,626
306,Nozze.,721,611,791,629
307,Impaziente,803,611,909,634
308,T'attendo,579,628,671,653
309,"Antiope,",679,629,764,655
310,al,772,633,786,654
311,mio,793,631,832,655
312,foggiorno.,834,631,940,656
313,Il,949,633,964,649
314,"L'alma,",578,653,664,674
315,i,666,651,670,674
316,penfier,672,651,738,675
317,confuli,740,652,806,675
318,In,578,672,606,697
319,guifa,604,675,649,696
320,tal,657,672,678,697
321,già,684,676,712,697
322,"fento,",720,675,777,695
323,Che,577,693,614,717
324,non,623,694,657,718
325,"sò,",659,694,697,719
326,che,699,695,725,718
327,"temer,",731,702,797,717
328,quando,807,696,877,721
329,pavento.,883,697,969,722
330,"(core,",892,650,965,676
331,Parte,758,717,812,738
332,cos,815,718,847,740
333,feguito,849,718,915,743
334,.,922,731,926,736
335,SCE-,917,781,965,803
336,Gil,442,794,476,814
