,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,PERSONAGGI.,180,74,425,94
1,ATTO,586,84,755,128
2,PRIMO,776,77,999,127
3,ANTIGONA,94,98,207,121
4,fgilia,214,102,249,121
5,di,256,101,270,121
6,Edipo,277,101,320,121
7,Erede,326,101,367,121
8,del,376,102,397,117
9,Regno,404,103,452,121
10,di,457,101,471,117
11,Te,479,101,507,118
12,"be,",113,119,142,138
13,fotto,153,121,190,136
14,nome,201,119,241,136
15,di,252,121,266,135
16,Antiope,276,119,334,139
17,Miniftra,346,121,403,136
18,del,414,119,435,136
19,Tempia,447,122,508,139
20,della,115,137,148,156
21,Dea,156,141,183,156
22,Temi,189,140,228,155
23,in,234,141,247,155
24,"Beozia,",253,140,311,158
25,e,319,139,328,156
26,Interprete,334,141,405,161
27,degli,411,140,452,161
28,Oracoll,455,140,511,161
29,d'A,117,161,143,176
30,pollo,146,161,182,181
31,:,188,166,197,181
32,Ii,136,178,149,194
33,sig.,154,180,182,199
34,Lerenzo,188,178,251,200
35,Gbirardi.,254,179,336,200
36,CREONTE,94,197,192,215
37,Tiranno,202,200,264,216
38,di,273,201,287,216
39,Tebe,293,201,331,216
40,Ufurpatore,337,199,421,217
41,del,432,199,453,214
42,Tronó,458,199,507,217
43,Padre,115,219,157,237
44,di,163,219,178,234
45,Il,128,237,157,260
46,Sig.,155,239,182,260
47,Gaetano,187,240,247,260
48,Porapeo,253,241,307,259
49,Bafteris,312,240,371,260
50,attual,375,240,423,260
51,virtuofo,426,238,487,260
52,di,493,237,508,253
53,"Cappella,",153,256,222,277
54,e,228,265,234,273
55,Camera,240,256,297,274
56,di,304,259,319,273
57,S.M.,322,256,360,274
58,il,366,259,378,273
59,ke,384,256,408,277
60,di,410,256,426,277
61,Sardegna.,427,256,508,277
62,EURISTEO,96,275,195,297
63,creduto,205,276,258,297
64,Vedovo,268,276,324,298
65,"d'Antigona,",337,277,433,299
66,e,443,284,450,294
67,dil,459,278,479,292
68,flu,488,278,509,293
69,detto,115,296,153,311
70,deftinto,158,297,222,314
71,Spofo,229,297,268,317
72,ad,276,298,291,312
73,Il,131,315,157,334
74,Sig.Caimiro,159,314,250,333
75,Penturini.,262,313,347,332
76,ERMIONEriglia,94,332,233,356
77,fconofeiuta,240,335,320,351
78,del,327,335,347,349
79,"fudetto,ed'Antigont",354,335,509,357
80,Il,128,353,157,376
81,Sig.,149,355,182,376
82,Giufeppe,183,353,254,376
83,Belli.,257,356,299,376
84,LEARCO,95,372,185,395
85,Principe,187,372,245,395
86,"Tebano,",249,372,318,395
87,e,328,380,335,395
88,fegreto,342,375,395,395
89,Amante,401,377,460,395
90,della,470,374,507,395
91,Fudetta,113,391,163,407
92,Amico,171,393,220,409
93,d'Eurifteo,225,392,298,409
94,",",305,405,310,410
95,e,315,400,321,409
96,Duce,328,392,366,409
97,de',372,395,393,409
98,Reali,399,394,439,408
99,Cultodi.,445,393,508,409
100,Il,133,413,147,427
101,Sig.,155,413,184,434
102,Giufeppe,190,412,262,434
103,uaglia,265,411,330,434
104,Milanefe,338,412,409,434
105,Virtuofo,412,413,481,434
106,di,492,413,508,428
107,Camera,152,431,211,446
108,di,215,431,233,450
109,S.E.il,235,431,290,450
110,sig.,292,431,320,450
111,Conte,320,434,361,447
112,Federico,366,431,428,447
113,Borromeo.,434,431,508,450
114,ALCESTE,94,450,181,468
115,Paftore,194,451,244,466
116,di,253,452,267,466
117,Media,273,450,316,466
118,Nutricio,323,451,388,467
119,d'Ermione,392,452,470,470
120,Il,129,471,157,492
121,Sig.,153,470,180,491
122,Francefco,186,471,259,490
123,Luchesti.,264,469,338,485
124,La,114,501,134,514
125,Poefia,140,500,196,518
126,è,198,498,204,517
127,del,203,502,225,515
128,Sig.,230,502,261,518
129,Gaetano,266,501,326,515
130,Roccaferte,332,501,410,518
131,Romane.,418,502,488,515
132,La,93,520,113,537
133,Mafica,118,519,167,535
134,è,176,520,183,534
135,del,190,520,212,535
136,Sig.,221,519,253,538
137,Baldaflir,255,519,319,538
138,Galuppi,325,519,384,538
139,detto,394,521,430,535
140,Buranello,438,520,508,535
141,Vice-Macftro,114,539,212,554
142,deila,222,537,255,554
143,Cappella,262,539,326,557
144,Dacale,332,537,383,554
145,d:,390,541,405,555
146,S.,411,542,423,555
147,"Marco,",431,540,489,555
148,e,502,537,511,556
149,3Macfiro,112,558,170,573
150,del,177,558,198,573
151,Pio,204,559,228,573
152,Ofpedale,233,557,295,577
153,dei,301,558,323,573
154,Mendicanti,328,559,411,574
155,di,421,558,435,573
156,Venezia.,441,558,506,575
157,"Ingegnere,",175,577,260,598
158,e,271,584,277,592
159,Pistor,282,579,327,598
160,delle,336,576,374,597
161,Scene.,376,576,429,597
162,Il,173,594,202,613
163,Sig.,204,594,235,613
164,Pictro,236,598,283,612
165,Orta,291,598,326,612
166,Brefciano.,338,597,420,612
167,SCENA,653,152,774,169
168,PRIMA.,798,151,934,168
169,Luogo,585,195,647,219
170,magnifico,665,195,755,218
171,nella,773,195,820,217
172,"Regia,",832,194,907,216
173,che,921,194,951,212
174,fer-,967,194,999,212
175,ve,603,217,634,240
176,all'Adunanze,640,216,770,239
177,de,775,217,796,234
178,Grandi,808,216,873,239
179,del,884,215,914,239
180,Regno.,923,217,999,238
181,Trono,608,242,669,260
182,da,682,241,704,259
183,un,715,246,738,258
184,"lato,",751,239,803,261
185,e,814,245,824,257
186,fedili,836,238,882,257
187,all'Intorno,897,238,999,257
188,di,609,264,626,281
189,ello.,634,263,677,283
190,Creonte,590,309,661,330
191,ful,670,305,702,330
192,"Trono,",704,305,775,329
193,"Eurifteo,",782,305,870,328
194,e,882,304,892,329
195,Learto,895,303,966,328
196,con,968,311,997,324
197,altri,638,328,680,349
198,Grandi,688,329,755,352
199,deI,765,327,793,347
200,Regno,810,327,858,351
201,a,864,327,878,351
202,federe.,881,326,958,350
203,E,738,351,753,375
204,Cuftodi,754,350,814,374
205,Reali.,820,347,883,370
206,Ebani,731,394,782,413
207,il,788,393,799,410
208,giorno,805,394,865,417
209,è,871,394,880,412
210,quefto,888,395,946,418
211,Dell'annuo,734,414,835,440
212,Sagrificio.,841,416,937,441
213,Afce-,951,417,1001,437
214,fo,766,437,791,460
215,al,791,440,805,456
216,Trono,813,437,872,457
217,Cre.,588,399,629,418
218,Giurai,619,463,676,484
219,per,682,463,709,484
220,man,717,467,755,479
221,ftraniera,761,461,837,479
222,Vittime,614,483,688,503
223,ai,695,486,709,502
224,Numi,717,484,769,501
225,d'immolare.,776,484,888,506
226,Or,895,483,941,506
227,ora,943,483,965,506
228,Dalla,614,508,664,525
229,Beozia,672,508,734,524
230,attendo,744,507,810,523
231,Antiope,615,531,692,550
232,la,700,530,715,546
233,Miniftra,722,529,797,544
234,"D'Apolline,",615,549,734,572
235,e,745,549,755,572
236,di,761,549,783,572
237,Temi.,786,550,843,567
238,Al,855,550,876,567
239,Sagro,885,548,939,571
240,Piro,945,548,987,571
241,Che,615,575,652,597
242,a,659,573,667,590
243,compir,672,574,737,596
244,ne,742,578,764,589
245,"verà,",771,573,827,595
246,la,838,572,851,588
247,pompa,859,577,921,594
248,accrefca,926,570,1001,588
249,Pronuba,616,593,694,616
250,Giuno.,704,593,782,616
251,Il,783,595,796,612
252,Regno,802,593,864,616
253,Di,616,619,639,635
254,prefta,648,617,701,638
255,"Succeflione,",708,617,819,638
256,Ch'abbifogni,615,639,732,660
257,gia,739,639,765,660
258,udifte.,774,636,832,655
259,Or,845,635,875,659
260,tu,877,635,895,658
261,"Eurifteo,",904,635,992,656
262,A,633,660,645,678
263,un,647,660,667,678
264,fecondo,669,660,740,679
265,imenèo...,747,661,845,678
266,Eur.,598,681,647,704
267,Di,655,684,676,701
268,nozze,685,688,738,701
269,ò,744,683,756,700
270,"Padre,",763,683,826,704
271,Non,619,703,661,730
272,mi,663,703,689,730
273,parlar.,695,706,759,730
274,Chỉ,770,702,805,729
275,Antigona...,808,702,931,729
276,Cre.,597,728,636,748
277,T'accheta.,650,726,751,745
278,"Prence,",619,752,695,770
279,non,702,755,735,767
280,m'irritar.,743,749,830,767
281,Per,842,750,875,766
282,mio,880,746,918,766
283,comando,924,745,1002,766
284,Se,619,772,647,796
285,Antigona,649,771,730,795
286,"fvenafti,",737,770,822,794
287,il,823,772,835,789
288,Regio,842,772,898,792
289,editto,903,768,959,792
290,Alib.,641,794,699,815
291,"Inventore,e",94,633,180,649
292,Diretrore,183,631,254,647
293,de,260,629,279,648
294,Balli,281,629,321,648
295,Monfieur,326,631,401,647
296,Carlo,405,632,447,647
297,Alloar.,455,629,507,648
298,"Inventere,",114,674,207,692
299,e,209,673,212,692
300,Ricamatore,213,676,299,693
301,degl,305,673,338,692
302,Abiti.,343,673,397,692
303,Pietro,397,676,443,693
304,Villa.,448,676,488,692
305,Sartore,113,698,168,711
306,de,177,694,197,716
307,"fudeti,",204,693,286,715
308,Tommalo,287,693,358,715
309,Bafli.,363,694,404,712
310,AT:,474,790,508,810
311,Tra-,962,792,1005,808
