,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,PRIMO.,688,58,823,81
1,19,941,63,963,82
2,ATTO,240,65,344,82
3,Fiero,106,87,162,107
4,minacci,170,85,237,107
5,;,239,85,248,107
6,Al,260,87,281,104
7,fin...,289,83,342,103
8,Ant.,99,111,146,133
9,No,150,112,179,128
10,Spofo.,185,110,245,131
11,All'Ara,257,109,329,126
12,Vanne,114,134,176,156
13,placido,183,130,251,154
14,pur.,254,137,296,155
15,Quefrimenèo,307,129,433,154
16,Non,113,156,153,177
17,feguirà.,161,152,234,177
18,"Non,",246,151,290,174
19,mi,295,150,322,176
20,guidar,325,150,387,175
21,gli,391,153,413,174
22,Dei,421,152,453,169
23,Nella,114,178,166,195
24,Beozia,171,174,232,195
25,a,241,182,249,194
26,Cafo;,256,174,310,194
27,e,321,174,335,197
28,donde,337,174,391,197
29,vengo,397,174,459,197
30,Interprete,119,198,210,223
31,"d'Oracoli,",217,197,318,221
32,Vittime,121,218,191,241
33,ad,193,218,215,241
34,immolar.,221,218,315,238
35,Exr.,96,240,147,265
36,Ma,151,245,179,261
37,fe,186,244,200,260
38,ti,203,241,222,265
39,"fcopre,",224,241,301,267
40,"Alcuno,",112,263,201,288
41,e,203,263,209,288
42,poi,215,266,244,288
43,ti,251,262,263,281
44,palefaffe?,269,262,357,287
45,Ah,364,262,391,281
46,fuggi:,397,261,456,284
47,Parti,114,288,161,305
48,Idol,169,285,205,304
49,mio.,212,285,257,304
50,Ant.,91,310,141,327
51,Non,153,310,193,326
52,fia.,198,308,230,324
53,Errai,239,309,285,325
54,tre,292,312,319,325
55,luftri,324,307,370,325
56,Per,116,333,149,349
57,"bałze,",155,331,215,351
58,e,224,336,234,348
59,per,239,329,270,351
60,forefte,277,328,336,350
61,Fra,117,352,149,376
62,"turbini,",151,351,232,375
63,e,235,351,245,370
64,"tempefte,",251,351,344,374
65,al,351,350,368,367
66,"gelo,",375,349,423,372
67,ai,430,349,445,366
68,Venti,451,349,505,366
69,Vallicando,116,375,219,396
70,"torrenti,",225,373,303,396
71,Scherzo,115,398,190,414
72,di,196,397,212,413
73,rea,218,401,246,412
74,Forruna,254,396,325,412
75,"efule,",332,396,386,414
76,e,396,399,405,411
77,"fola,",412,393,457,413
78,pellegrina,240,415,323,444
79,s,325,415,338,444
80,Ne,116,441,144,457
81,mi,151,441,173,461
82,fcordai,178,436,241,461
83,pero,249,436,291,460
