,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,SECONDO.,700,63,854,82
1,39,963,64,984,83
2,ATTO,235,74,347,92
3,38,88,82,112,99
4,Ant.,89,97,135,118
5,(Avverti,148,99,237,118
6,non,246,95,282,117
7,parlar.),284,94,362,116
8,Ad,126,119,158,142
9,Eurifteo,168,121,247,137
10,in,253,120,271,136
11,difparte,278,115,350,139
12,minacciandolo.,355,114,498,133
13,Eur.,93,147,135,163
14,(Quanto,147,142,233,165
15,è,237,139,261,163
16,crudele.),262,138,348,161
17,Per,595,89,629,106
18,altrui,634,86,684,104
19,mano,690,91,740,103
20,:,752,84,769,106
21,ed,771,84,780,106
22,io,786,87,803,103
23,Vittima,595,110,668,127
24,del,676,106,707,127
25,dolor.,709,106,773,127
26,"No,",776,109,811,127
27,non,818,112,850,125
28,andrai,857,105,916,124
29,Eftinta,595,131,658,148
30,che,663,130,694,148
31,farai,701,129,741,148
32,Scompagnata,600,152,719,175
33,da,720,150,744,174
34,"me,",749,157,788,173
35,"diftinta,",794,151,862,169
36,e,868,156,887,170
37,fola.,893,146,936,167
38,Prendi,595,172,659,196
39,o,666,172,676,196
40,figlia,683,174,727,196
41,un',734,173,761,191
42,"ampleilo,",768,173,859,195
43,e,869,178,879,190
44,ti,883,170,901,194
45,confola.,908,170,984,194
46,Eur.,573,197,617,216
47,(Oh,631,194,671,219
48,Dlo.).,681,195,750,220
49,Ant.,571,220,618,241
50,(Quanto,624,219,709,241
51,m,715,218,737,235
52,affanna,746,217,811,239
53,Il,596,241,611,258
54,dolor,624,239,670,262
55,di,672,239,694,262
56,Coftei.),697,240,778,260
57,Erm.,574,263,623,285
58,Dunque,637,264,711,285
59,tra,718,267,743,285
60,eppi,750,262,801,283
61,Deggio,595,285,663,306
62,o,669,291,680,301
63,Re,683,283,714,301
64,"tolerar,",722,282,795,303
65,che,804,282,834,301
66,refti,840,282,878,300
67,Alcefte,885,281,954,300
68,Oltre,595,304,646,323
69,la,651,307,666,323
70,morte,672,311,727,323
71,ancora?,732,305,805,324
72,Alcefte,596,328,664,346
73,che,672,328,703,346
74,fin',708,328,736,346
75,ora,741,334,772,346
76,Qual,596,350,641,371
77,Padre,650,351,704,368
78,amante,711,348,777,370
79,fi,780,347,796,369
80,moftrd..,799,347,896,369
81,Creon.,574,372,633,392
82,T',646,373,668,390
83,accheta.,675,372,752,390
84,Sard,595,396,635,418
85,"libero,",643,395,710,417
86,il,717,394,727,417
87,giuro:e,733,394,807,416
88,a,813,397,823,409
89,tuo,829,397,858,410
90,riguardo,864,391,946,413
91,Godrà,596,417,656,434
92,il,663,417,674,433
93,Regio,681,416,736,437
94,favor.,743,415,805,437
95,Ele.,575,440,613,465
96,(L'odio.,625,437,714,465
97,Creon.,573,461,635,480
98,Mai,648,462,689,478
99,Numi,698,458,750,477
100,Altro,596,484,647,500
101,or,653,488,672,500
102,chiedon,681,480,752,501
103,da,758,480,777,501
104,te,785,486,802,498
105,Erm.,574,505,625,523
106,Chiedono,637,504,725,525
107,il,731,502,742,518
108,"fangue,",747,502,822,524
109,E,613,524,623,546
110,che,626,524,646,546
111,fenza,653,526,701,542
112,pietà,708,524,753,545
113,vittima,764,523,829,541
114,io,836,525,852,542
115,cada-,858,525,908,543
116,Creon.,574,549,634,569
117,Cola,647,547,690,565
118,dunqne,697,546,765,568
119,...,774,557,796,563
120,SCENA,208,189,330,205
121,X.,354,186,378,203
122,"Learco,",95,232,167,250
123,e,172,236,182,247
124,"detti,",187,231,240,250
125,poi,250,230,276,251
126,Ermione,285,230,364,246
127,dal,371,225,401,248
128,fondo,403,225,453,247
129,della,456,224,500,241
130,Scena,117,254,170,270
131,in,177,255,194,271
132,candida,200,251,271,270
133,vefte,278,251,325,272
134,coronata,331,253,409,271
135,di,414,248,434,271
136,"fiori,",437,248,492,270
137,e,491,252,503,270
138,di,112,276,132,299
139,Sagre,137,276,191,297
140,bende,196,275,248,296
141,precedata,253,272,346,293
142,da,352,270,375,292
143,Miniftri,386,269,465,291
144,del,475,267,503,286
145,"Tempio,",115,297,192,318
146,e,198,296,210,320
147,feguito,211,295,280,318
148,di,282,297,300,313
149,Cuftodi,307,295,373,317
150,Reali.,380,292,442,311
151,MOnarca,194,341,283,366
152,"eccelfo,",284,337,368,364
153,"Antiope,",369,334,463,359
154,"Ecco,",219,362,273,380
155,che,280,360,309,377
156,s'avvicina,317,359,406,375
157,Lear.,93,340,142,359
158,La,117,386,142,401
159,Vittima,150,386,223,402
160,infelice.,230,384,308,400
161,Creon.,94,408,156,427
162,Venga.,167,408,237,427
163,Eur.,95,425,137,447
164,(Difaltri,150,425,232,447
165,il,234,424,256,448
166,cor,259,424,290,448
167,gid,293,426,320,448
168,mi,326,427,348,442
169,predice,355,424,422,446
170,.),431,425,448,446
171,Vedefi,140,450,203,472
172,comparire,215,448,307,470
173,Ermione,323,446,402,469
174,dal,419,446,447,463
175,fondo,457,444,506,467
176,della,161,469,204,490
177,Scena,211,469,264,494
178,al,270,470,288,487
179,faono,292,469,344,492
180,di,351,469,369,492
181,funebre,373,468,449,491
182,fiu,455,465,483,490
183,fo-,486,465,509,490
184,"nia,",162,495,200,513
185,che,215,494,244,511
186,termina,253,491,335,514
187,"gianta,",341,490,415,512
188,che,420,489,450,508
189,fia,457,488,481,511
190,la,490,487,507,505
191,detta,162,516,210,534
192,alla,216,516,249,532
193,bocca,257,515,303,532
194,del,313,512,345,534
195,Palco.,352,512,410,533
196,Erm.,98,539,145,558
197,Mifera,160,539,219,555
198,me,227,543,253,554
199,!,262,537,266,551
200,Al,275,538,294,553
201,fupplicio,303,535,385,557
202,Innocente,121,562,212,576
203,fon,219,560,247,575
204,trarta.,253,563,313,575
205,Ah,321,556,348,573
206,Padre!,355,557,422,573
207,Alcefte?,430,554,507,571
208,Ove,118,584,158,601
209,mi,165,584,185,599
210,conducefti!,193,580,296,599
211,In,307,580,325,596
212,si,334,579,345,595
213,gran,352,583,393,600
214,giro,399,578,438,600
215,Del,119,604,153,622
216,vafto,162,605,207,621
217,Mondo,214,603,279,620
218,ahi,286,601,312,619
219,lala.,320,599,368,618
220,Altra,121,627,170,643
221,Terranon,180,623,279,641
222,v',278,625,294,640
223,era,300,628,329,640
224,?,334,624,344,639
225,Alc.,98,648,140,668
226,"Ermione,",155,648,246,665
227,"Figlia,",254,647,319,667
228,Ah,122,672,149,687
229,per,155,676,185,691
230,condurti,191,670,271,685
231,altrove,274,665,343,684
232,Pur,118,690,159,712
233,mi,165,689,187,712
234,vedi,193,688,235,711
235,trà,237,688,259,711
236,lacci.,269,687,323,710
237,Oh,325,686,355,708
238,Dio...perdona,361,686,508,706
239,Se,122,716,143,737
240,a,148,721,157,737
241,quefto,162,714,224,734
242,paito,228,713,274,734
243,per,280,711,310,732
244,me,316,716,343,727
245,fei.,348,710,380,730
246,Ma,388,709,416,726
247,feritto,423,706,481,724
248,Ne',122,737,155,754
249,volumi,163,734,225,753
250,del,229,733,260,752
