,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,251,58,354,78
1,42,101,64,124,78
2,A,126,75,143,102
3,profanar,146,75,225,102
4,de',229,75,257,103
5,Numi,265,75,318,103
6,I,132,96,146,123
7,Sagri,148,96,188,124
8,"Tempj,",192,98,267,123
9,"l'Are,",278,102,338,126
10,La,125,123,148,139
11,mia,158,123,190,140
12,morte,197,127,250,141
13,a,256,129,265,140
14,tentar,272,128,325,141
15,?,331,125,338,138
16,Qual',349,124,400,145
17,hai,406,127,431,143
18,tu,439,133,455,144
19,fete,462,129,494,147
20,Del,123,145,156,162
21,fangwe,163,145,222,167
22,mio?,231,143,276,168
23,Perche!,285,146,357,166
24,Parla:,365,146,420,166
25,rifpondi;,427,149,505,174
26,Palefami,125,164,204,184
27,chi,211,167,235,183
28,fei,242,166,264,185
29,"Fiera,",125,188,182,207
30,barbera,190,187,256,211
31,Donna.,267,188,337,212
32,Ant.,100,208,147,233
33,Empio,162,211,222,232
34,"Tiranno,",230,212,316,237
35,Non,123,232,162,249
36,nai,169,235,190,249
37,conofi,196,231,262,251
38,ancor1,270,234,329,253
39,Sono,339,237,381,253
40,la,387,236,402,252
41,tna,410,241,439,256
42,Implacabil,121,254,218,279
43,nemica.,226,259,300,279
44,In,306,256,332,279
45,me,334,256,360,279
46,ravvifa,368,258,428,277
47,Il,121,275,135,296
48,"tuorimorfo,",143,275,257,297
49,il,264,279,273,296
50,tuo,283,278,318,301
51,"fpavento,",317,278,408,303
52,lo,425,281,444,304
53,"fono,",447,281,494,305
54,(Il,121,296,159,318
55,tuo,162,297,189,320
56,furor,192,299,237,320
57,ne,246,305,265,317
58,frema.),271,300,345,323
59,Antigona,123,317,207,342
60,fon',211,319,250,343
61,io.,253,320,284,344
62,"Sappilo,",288,321,354,346
63,e,361,330,381,343
64,"trema,",388,328,454,344
65,Creon.,107,335,163,363
66,Tu,171,337,202,363
67,Antigona!,208,342,290,366
68,Aut.,104,360,152,386
69,Son',153,363,195,386
70,io;,201,364,228,382
71,ne,234,363,268,388
72,a,270,363,273,387
73,quell',273,363,324,389
74,Altare,332,366,389,387
75,Fù,121,384,145,402
76,il,152,385,162,400
77,mio,170,385,203,403
78,penfier,211,384,273,409
79,profano,278,385,350,409
80,s,357,394,363,406
81,Anzi,120,406,163,423
82,grato,170,406,218,428
83,era,223,414,250,426
84,al,258,409,271,424
85,"Cielo,",277,410,336,431
86,Se,116,425,148,449
87,Olocaufto,144,426,235,451
88,t'offria,243,428,304,454
89,queita,311,430,368,456
90,mia,374,433,406,450
91,mano.,414,438,475,452
92,Eur.,99,449,144,472
93,(Oh,152,449,196,472
94,"Dei,",209,449,250,475
95,non,252,449,289,476
96,SECONDO.,672,63,827,78
97,43,934,63,954,81
98,M'unifci,573,87,649,106
99,ai,657,86,671,103
100,miei,677,85,715,102
101,Germani,720,83,802,103
102,Della,573,111,623,128
103,ftirpe,629,109,680,128
104,di,685,106,704,123
105,Cadmo,708,107,775,122
106,Carnefice,574,128,661,149
107,"Crudel,",666,127,738,146
108,dal,745,128,770,143
109,Mondo,777,126,842,143
110,ancora,848,131,908,142
111,Togli,575,154,627,175
112,quefto,632,153,691,171
113,infelice,696,147,764,169
114,Mifero,577,173,639,193
115,avanzo.,644,172,731,191
116,Invendicata,732,169,830,189
117,oh,835,167,859,187
118,"Numi,",866,169,928,185
119,Che,575,193,610,214
120,mi,617,196,638,211
121,giova,645,194,694,214
122,la,700,193,715,209
123,Vital,723,192,772,209
124,II,781,193,793,208
125,"Regno,",801,192,872,212
126,il,878,190,889,205
127,Trone,896,190,956,210
128,La,576,220,599,236
129,Regia,607,216,662,237
130,mi,664,215,689,237
131,rapì.,693,215,738,236
132,Tutti,748,214,797,229
133,m'uccife,803,211,880,232
134,I,589,238,605,261
135,"Congiunti,",606,237,697,258
136,gli,698,235,729,258
137,Amici,730,236,784,251
138,:,790,233,801,256
139,(e,802,233,825,253
140,fin,831,233,854,250
141,la,860,232,873,248
142,Figlis,882,232,935,251
143,Peri,574,261,615,282
144,per,621,259,650,281
145,fua,654,259,681,276
146,cagione).,687,257,781,277
