,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,64,116,67,136,88
1,A,151,85,165,108
2,dichiararfi,167,85,257,108
3,il,259,88,270,104
4,mio,276,89,311,105
5,Softegno,138,108,218,133
6,",",223,122,230,129
7,il,233,110,245,127
8,difenfor:,250,109,336,134
9,quindi,341,111,398,135
10,per,402,117,435,135
11,opra,439,117,481,136
12,Di,138,131,160,148
13,"lui,",167,128,195,153
14,di,202,132,218,148
15,te,224,129,240,149
16,fi,247,132,256,149
17,ricongiunge,264,129,372,156
18,al,378,136,392,151
19,fine,399,132,431,152
20,De,137,150,164,173
21,Genitori,177,150,254,171
22,tuoi,262,154,298,173
23,Il,133,173,162,195
24,nodo,157,174,203,194
25,"nuzzial,",208,177,286,197
26,che,291,175,319,198
27,da,326,176,346,198
28,un,351,183,373,196
29,Tlranno,379,177,453,198
30,Separato,132,197,216,220
31,reftò.,224,199,277,217
32,Erm.,116,216,165,236
33,De',179,220,212,238
34,Numi,219,221,270,239
35,eterni,278,221,332,240
36,O,156,239,171,266
37,providi,174,239,233,267
38,"configli,",235,241,315,271
39,Incogniti,134,260,221,288
40,at,226,266,241,282
41,mortal.,246,262,320,288
42,Ant.,115,284,161,308
43,"Spofo,",175,284,238,310
44,che,246,287,274,303
45,penfi,282,287,325,310
46,?,332,289,340,311
47,Perchè,139,307,201,324
48,meco,209,313,256,326
49,or,273,310,286,328
50,non,287,314,319,326
51,vieni,326,311,370,328
52,A,139,327,152,344
53,"godere,",168,327,237,351
54,e,241,330,248,352
55,regnar?,255,330,326,354
56,Eurif.,112,347,173,370
57,"Penfo,",187,348,254,374
58,che,257,350,285,375
59,il,293,354,303,375
60,Padre,312,352,366,371
61,Forfe,139,370,186,391
62,fpira,191,371,234,395
63,or,240,372,261,394
64,trafitto.,266,373,341,393
65,Lear.,115,394,166,413
66,Ah,181,394,205,413
67,no.,211,397,243,413
68,La,255,397,278,413
69,vita,284,397,317,414
70,Di,137,416,159,432
71,lui,170,416,191,438
72,rifpetta,200,417,266,440
73,ognun,272,422,329,441
74,;,337,425,341,437
75,folo,347,419,383,443
76,trå,390,420,415,439
77,lacci,422,421,461,438
78,Ordinai,136,436,206,456
79,fi,213,436,230,461
80,ponefle:,233,437,307,464
81,E,318,442,329,463
82,Alcefte,337,440,400,466
83,appunto,408,446,482,468
84,"Ecco,",138,459,192,480
85,che,197,462,226,479
86,a,233,459,241,479
87,noi,246,462,274,481
88,lo,279,462,295,479
89,guida.,301,462,363,484
90,ATTO,252,67,354,85
91,TERZO.,720,76,857,92
92,Creon.,595,98,654,120
93,Ah,659,99,685,116
94,si,690,99,703,116
95,"s'uccida,",711,98,795,117
96,mora,800,101,847,113
97,Creonte,604,119,679,139
98,omai.,685,121,739,141
99,Sdegno,741,116,810,140
100,la,812,115,835,139
101,"vita,",839,118,882,136
102,i,888,117,893,133
103,giorni,899,116,953,137
104,:,960,120,965,132
105,Giacchè,607,143,677,160
106,per,690,149,719,163
107,frode,728,140,779,162
108,"altrui,",789,139,863,161
109,quì,873,139,905,161
110,più,914,138,943,160
111,non,954,142,987,155
112,fono,672,162,711,181
113,Nè,576,185,622,209
114,"Sovrano,",624,184,704,209
115,nè,709,185,728,203
116,Re.,735,184,770,206
117,Donna,776,184,836,201
118,"orgogliofa,",842,183,948,203
119,Via,606,210,640,226
120,sù,648,209,664,225
121,le,672,209,687,225
122,tue,693,214,721,224
123,vendette,728,207,806,223
124,"Intraprendi,",607,232,730,251
125,incomincia.,741,229,855,244
126,"Ordina,",870,224,952,247
127,im-,953,222,989,246
128,poni,675,252,713,273
129,"Stragge,",611,276,700,295
130,"morte,",711,277,780,291
131,fupplicj.,791,271,876,293
132,Il,886,271,900,287
133,mio,912,271,946,290
134,de,959,269,989,286
135,(tino,909,292,964,313
136,Difperato,607,320,697,343
137,quì,701,316,731,338
138,attendo,736,316,804,333
139,:,812,321,817,333
140,E,618,338,628,360
141,slido,632,338,670,362
142,il,673,340,690,362
143,tuo,693,345,722,364
144,poter.,729,342,786,364
145,Aut.,584,363,630,381
146,Si,643,363,658,380
147,fcelerato.,664,361,755,379
148,Il,602,384,631,405
149,caftigo,634,383,689,405
150,otterrai.,695,382,777,403
151,"Eurif,",587,406,643,427
152,No,656,403,683,423
153,no.,691,406,723,421
154,Perdono.,731,405,820,422
155,Erm.,588,426,633,445
156,Clemenza.,645,427,747,443
157,Ed,754,427,777,443
158,or,784,424,805,447
159,che,807,424,835,446
160,in,842,424,858,446
161,Soglie...,861,424,954,445
162,Creon.,587,450,644,466
163,Olà,656,448,690,465
164,ceflate,696,448,755,464
165,Di,606,472,629,489
166,ftancarvi,637,470,714,488
167,per,722,475,752,490
168,me.,758,474,794,486
169,Perchè,803,469,864,486
170,fuo,870,468,898,485
171,"dono,",906,467,963,487
172,Avrei,608,492,659,509
173,in,667,492,683,508
174,odio,689,491,729,508
175,la,735,492,750,508
176,"vita,",757,492,800,510
177,Tormento,609,511,700,532
178,mi,706,511,730,532
179,faria.,736,512,787,530
180,Ant.,585,536,632,557
181,Dunque,644,535,716,556
182,fi,720,533,735,557
183,fciolga:,741,532,814,556
184,SCENA,186,508,283,527
185,ULTIMA.,313,510,445,529
186,Creonte,114,547,187,567
187,difarmato,193,548,280,572
188,in,285,551,303,567
189,catene,309,555,365,574
190,condotto,375,552,447,575
191,da,455,553,476,571
192,Al-,481,551,516,573
193,"cefte,",180,568,251,594
194,e,254,570,263,597
195,Jeguito,266,569,330,598
196,del,334,571,364,600
197,"Popolo,",373,573,444,596
198,e,299,594,310,615
199,detti.,312,594,358,615
200,Gli,776,553,809,576
201,tolgono,807,555,869,576
202,le,879,555,894,573
203,catene,906,558,963,573
204,Viva,608,580,653,596
205,per,660,585,688,599
206,fuo,695,578,722,600
207,"tormento,",728,579,828,600
208,Per,607,600,640,625
209,fua,647,599,674,625
210,pena,681,603,723,624
211,maggior.,729,601,813,623
212,Cosi,821,600,861,618
213,punito.,866,597,936,621
214,Dalla,607,623,656,640
215,Reggia,664,620,730,643
216,lontano,736,620,804,639
217,Ei,610,642,635,663
218,viva,635,644,671,661
219,in,674,643,697,664
220,avvenire.,699,643,789,666
221,Ale.,592,665,637,688
222,(O,639,665,670,685
223,Generofa,680,666,762,682
224,!),770,667,789,686
225,Lear.,589,689,640,710
226,O,648,689,666,710
227,"Magnanima,",672,689,778,710
228,e,782,686,807,710
229,degna,813,687,867,710
230,Del,609,708,648,730
231,"Sangue,",650,708,728,730
232,onde,730,710,774,726
233,difcendi.,781,706,864,726
234,Eurif.,588,730,644,752
235,Ah,657,729,687,752
236,Padre...,693,729,783,752
237,Creon.,589,750,655,776
238,In,661,753,678,770
239,pace,689,754,723,778
240,Lafciami,612,771,693,794
241,adeffo.,695,772,761,795
242,Alc.,124,631,161,655
243,R.,162,637,211,686
244,Fgni,220,637,261,659
245,"Antigona,e",267,637,372,662
246,il,375,639,388,656
247,Barbaro,394,640,467,659
248,s'uc-,474,641,517,658
249,cida.,256,658,303,678
250,Eurif.,113,676,188,700
251,(MIfero,190,677,257,702
252,Genitor,267,679,337,703
253,!),343,684,361,703
254,Creon.,111,699,172,720
255,Stelle,185,700,234,722
256,",che",241,702,279,722
257,afcolto,284,704,345,723
258,!,352,704,356,722
259,Che,133,723,169,742
260,veggio!,174,724,246,746
261,Che,252,726,288,744
262,rimirol,294,726,361,745
263,Affifa,370,725,417,749
264,in,423,726,444,749
265,Trono,445,729,505,749
266,La,134,745,157,762
267,mia,170,746,198,765
268,cru,203,746,232,765
269,lel,239,748,258,764
270,Nemical,268,747,344,767
271,Alc.,114,763,165,791
272,Confufo,165,767,238,790
273,è,245,769,252,786
274,l'Empio.,258,769,341,796
275,Cre.,476,794,515,814
276,Ant.,939,795,985,813
