,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,275,71,373,88
1,TERZO.,734,76,865,98
2,La,139,91,167,109
3,"Figlia,",173,92,236,112
4,che,247,93,277,111
5,Bambina,285,94,364,111
6,abbandonai,370,93,473,111
7,Nelle,150,112,196,135
8,Mede,202,112,251,135
9,"forefte,",257,114,329,136
10,Chi,141,136,173,154
11,al,179,138,194,154
12,Sen,200,138,231,155
13,la,237,138,252,154
14,ftringerà?,259,134,348,160
15,Chi,351,138,383,156
16,"sàl,",388,138,417,160
17,che,423,139,452,156
18,un,458,143,479,154
19,gior-,485,139,529,162
20,Sotto,141,160,190,178
21,al,197,160,211,177
22,Ciglio,218,160,276,180
23,del,281,157,307,177
24,Padre,314,160,369,177
25,Non,142,182,182,204
26,la,189,182,203,199
27,guidi,210,180,256,204
28,Fortuna.,265,183,347,204
29,Al,359,180,386,204
30,biondo,392,180,452,204
31,"crine,",459,180,519,204
32,Alle,141,203,181,225
33,Nere,190,202,235,222
34,"pupille,",242,204,316,226
35,all'aria,323,204,385,222
36,"illuftre,",392,205,466,224
37,Che,141,225,178,243
38,in,186,226,201,243
39,volto,210,225,256,243
40,le,261,225,276,243
41,sfavilla,283,226,345,244
42,Riconofcerla,140,246,258,272
43,o,263,249,276,272
44,"Spofo,",281,248,343,273
45,Forfe,139,270,189,293
46,potrelti.,197,268,281,293
47,Le,284,268,316,293
48,pendea,318,268,382,292
49,dal,389,271,416,289
50,Collo,423,270,473,289
51,"Gemma,",139,291,222,310
52,che,235,293,265,309
53,fù,272,293,289,309
54,tuo,299,292,330,313
55,dono.,336,292,385,313
56,(Forfe,139,313,204,335
57,feco,210,311,246,331
58,l'avrà.),248,311,330,337
59,Quella,337,312,393,337
60,è,402,317,411,333
61,tua,418,321,448,333
62,figlia,454,313,499,338
63,Padre,140,333,195,353
64,"l'abbraccia,",202,335,310,355
65,e,321,334,334,356
66,dille:,336,334,391,356
67,E'morta,141,358,222,375
68,la,228,359,242,374
69,tua,249,364,277,380
70,"Madre,",284,359,356,378
71,Antigona,135,380,227,402
72,mori,233,380,276,398
73,Alc.,122,399,168,423
74,Dimmi,174,401,235,425
75,qual,241,403,279,426
76,"gemma,",287,404,363,429
77,Qual,148,423,190,447
78,figlia,190,423,239,447
79,mai,243,423,276,447
80,rammenti,282,423,370,442
81,Donna,147,443,203,466
82,real?,209,443,255,466
83,Ant.,119,468,164,487
84,Che,177,468,213,486
85,giova,219,468,270,491
86,A,153,489,165,508
87,te!,166,491,195,508
88,Alc.,118,511,159,529
89,Più,172,512,204,529
90,che,211,512,241,529
91,non,245,510,293,532
92,credi.,295,510,346,532
93,Ant.,118,535,165,552
94,Afcolta.,179,533,255,550
95,Ah,140,556,166,573
96,fe,173,555,188,572
97,perdo,195,555,249,577
98,la,257,553,275,576
99,"Vita,",277,553,335,576
100,L'Arcano,141,575,230,594
101,non,236,582,268,593
102,fi,274,576,284,593
103,perda.,291,574,343,597
104,Or,350,575,385,592
105,fon,393,574,421,591
106,tre,427,580,452,591
107,luftri,458,574,503,593
108,Che,141,600,177,617
109,ne,184,604,203,616
110,Bofchi,211,599,268,615
111,di,275,598,296,615
112,Media,301,598,356,613
113,una,363,603,395,614
114,Bambina,404,597,482,613
115,Nacque,144,620,211,643
116,da,213,620,235,643
117,me.,241,619,279,641
118,"Raminga,",288,620,382,641
119,"efule,",393,617,455,640
120,e,457,616,467,639
121,fola,472,618,506,636
122,N'andavo,141,641,232,660
123,allora.,239,643,300,658
124,Il,314,640,333,661
125,caro,336,640,370,661
126,Pegno,381,642,438,659
127,in,442,639,462,660
128,feno,464,639,502,660
129,Un,143,663,178,684
130,di,175,665,192,681
131,d'ombrofa,200,664,293,681
132,Palma,301,665,356,681
133,al,367,663,382,679
134,piede,390,661,439,682
135,annofo,445,662,507,680
136,Per,141,688,174,704
137,nudrirlo,181,686,257,703
138,mi,263,687,286,702
139,reco.,293,691,341,702
140,Al,358,683,381,704
141,fuol,383,683,418,704
142,l'adatto,424,684,494,701
143,Per,140,709,174,726
144,un,182,714,203,724
145,folo,210,708,244,725
146,momento.,251,713,346,724
147,Orrida,353,707,416,724
148,Fiera,424,706,472,722
149,"Allor,",144,730,193,748
150,che,199,730,238,751
151,in,245,730,260,746
152,me,267,736,293,746
153,"venia,",299,730,360,748
154,Col,141,753,174,775
155,rugir,182,749,228,773
156,mi,234,753,255,769
157,fpaventa.,261,751,350,773
158,In,363,747,386,772
159,piè,389,747,416,772
160,balzai:,421,749,483,768
161,Timida,142,773,212,793
162,il,216,774,229,792
163,pegno,233,772,290,796
164,lafcio:,296,772,360,794
165,Palpitante,619,96,713,122
166,men,719,103,756,122
167,tuggo.,764,99,827,123
168,Ivi,839,102,863,117
169,poi,870,101,898,122
170,torno,904,106,955,120
171,Rifcolla,619,117,691,138
172,dal,697,119,723,136
173,tinor:,731,119,791,138
174,Ma,795,120,830,140
175,la,837,124,852,140
176,Bambina,858,121,938,142
177,Oh,619,141,647,158
178,Dio,654,141,686,158
179,!,693,142,698,157
180,più,704,139,735,163
181,non,743,140,773,164
182,trovai;,779,144,845,164
183,E,630,159,640,181
184,chi,639,162,662,180
185,è,670,163,678,178
186,Madre,686,161,744,183
187,puo,753,169,787,185
188,"dir,",793,164,829,184
189,qual'io,835,166,895,187
190,reflai.,902,167,959,186
191,Eur.,598,183,640,202
192,Ah,655,184,682,202
193,mi,687,184,708,202
194,fi,713,183,723,202
195,agghiaccia,731,182,824,209
196,il,830,186,842,204
197,cor,848,193,877,206
198,.,884,200,888,204
199,Ant.,596,207,642,224
200,Però,656,206,699,228
201,di,704,207,720,223
202,ftrage,728,205,781,230
203,Orma,619,229,671,246
204,non,680,234,712,245
205,vidi.,720,228,764,246
206,Alc.,595,248,638,269
207,E,647,250,663,269
208,nelle,671,250,713,268
209,Mede,721,251,772,268
210,Selve,777,252,825,271
211,Cio,617,269,650,288
212,ti,657,272,669,287
213,forti,675,272,713,288
214,!,722,273,726,288
215,Aut.,599,289,648,313
216,Si,654,293,669,310
217,nel,677,292,702,315
218,più,711,292,752,316
219,"ofcuro,",755,293,820,318
220,efolto,827,295,884,316
221,Recinto,615,315,687,338
222,delle,694,314,737,339
223,palme.,745,316,810,342
224,Alc.,600,335,642,359
225,E,650,337,661,355
226,fon,668,336,695,355
227,trè,703,338,727,355
228,luftri!,737,337,794,359
229,Ant.,593,362,640,376
230,Ormai.,652,360,723,376
231,Alc.,599,378,644,403
232,Da,650,382,675,398
233,quali,681,381,725,404
234,fafce,732,382,773,400
235,La,615,403,639,419
