,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,28,66,59,90,74
1,ATTO,221,62,325,82
2,SECONDO.,728,75,880,98
3,Lea.,617,95,657,120
4,(Oh,664,96,705,118
5,incauta!,712,99,788,117
6,Ancora,800,101,866,119
7,Da,630,121,655,138
8,me,664,118,688,141
9,avvertita,699,119,780,143
10,non,787,127,820,140
11,parti.),827,122,893,147
12,Alc.,609,137,655,163
13,(Più,660,141,703,162
14,fcampo,712,140,776,167
15,"Figlia,",627,164,689,184
16,non,697,169,729,180
17,vedo,735,163,778,182
18,Eur.,606,181,654,204
19,(Ahimè!,662,183,746,206
20,Tremo,755,186,818,210
21,per,824,186,853,211
22,lei.),860,187,909,212
23,Cre.,605,207,645,224
24,"Ermione,",660,206,750,228
25,afcolta.,761,206,831,225
26,Erm.,606,229,656,247
27,(Ah,668,228,709,249
28,m'afliftete,719,227,808,251
29,o,815,228,828,250
30,Dei.),834,231,892,251
31,Cre.,604,250,644,270
32,Già,658,251,690,268
33,in,698,253,714,272
34,tuo,723,256,753,273
35,"vantaggio,",760,251,859,275
36,il,868,253,879,269
37,"fai,",885,253,917,276
38,I,625,269,639,291
39,Quauto,641,269,696,293
40,feci,704,272,734,289
41,"finor,",741,271,795,294
42,che,806,272,836,291
43,ti,843,275,856,292
44,volevo,863,273,926,294
45,Colle,625,290,674,312
46,Nozze,681,294,741,311
47,del,747,295,775,312
48,Figlio,782,293,836,317
49,Sino,625,316,666,334
50,al,672,316,687,332
51,Trono,693,316,752,334
52,inalzar.,760,315,831,337
53,Ma,841,317,870,342
54,vi,877,318,894,341
55,fi,899,319,908,337
56,oppone,915,324,984,343
57,L'Oracolo,624,337,722,356
58,de',728,339,755,357
59,"Numi,",764,340,827,359
60,La,621,356,652,379
61,favella,655,356,713,380
62,del,721,360,748,378
63,"Ciel,",755,362,803,381
64,che,812,362,843,380
65,ne,850,367,871,378
66,prefcrive,877,361,959,386
67,D'immolarti,623,380,744,400
68,full'Are,751,380,822,401
69,Vittima,623,403,698,420
70,in,709,404,725,420
71,quefte,731,404,787,424
72,Arene:,794,405,861,423
73,Or,630,422,661,445
74,và.,657,426,688,442
75,Di,702,424,726,446
76,fagre,728,424,779,448
77,bende,782,426,836,445
78,Cingiti,622,446,686,469
79,"intorno,",692,446,771,470
80,che,779,449,810,466
81,morir,815,449,868,466
82,conviene.,873,450,964,469
83,Erm.,605,464,656,488
84,Deh,663,467,698,490
85,per,709,475,737,491
86,pietà...,749,470,826,496
87,Cre.,599,489,639,511
88,Non,652,490,692,512
89,giova.,700,488,758,513
90,Olà,768,492,804,509
91,"Cuftodi,",811,491,893,513
92,Nel,622,510,655,527
93,Tempio,662,508,735,533
94,la,742,514,757,529
95,guidate.,764,512,842,537
96,"Erm.Alcelte,",610,529,722,555
97,"Amici,oh",725,531,806,557
98,Dio!,815,534,854,553
99,m'abbandonate!,861,535,1006,558
100,Lea.,598,553,640,571
101,(Mi,654,554,690,574
102,fi,698,555,707,571
103,divide,713,555,772,574
104,il,778,557,790,573
105,cor.),797,557,849,579
106,Eur.,598,574,641,593
107,Che,654,575,690,594
108,far,699,576,722,595
109,pofs'io!,730,577,797,601
110,(Ah,622,595,664,623
111,non,672,596,702,625
112,potlo,705,597,758,626
113,parlar.),761,598,841,628
114,Alc.,596,617,638,638
115,"Figlia,",646,618,712,644
116,(mi,724,620,761,645
117,giovi,768,621,813,646
118,Rifpetto,620,639,694,666
119,or,706,641,723,665
120,fimular.),729,641,819,668
121,vanne.,827,650,893,669
122,Agli,902,647,942,670
123,Dei,948,648,981,668
124,Ciafcun,617,660,685,681
125,deve,694,663,736,680
126,ubbidir..Son,744,663,860,685
127,della,868,668,911,686
128,vita,919,668,954,687
129,Gli,620,681,653,703
130,Arbitri,656,682,719,706
131,in,724,686,740,701
132,Terra,746,687,799,704
133,de',806,688,832,706
134,Mortali.,842,689,917,710
135,Ad,928,691,956,709
136,effi,963,691,990,713
137,Lafcia,618,701,671,728
138,il,674,703,692,729
139,pefo,697,706,735,729
140,di,742,708,757,730
141,te.,765,714,790,726
142,Forfe,800,709,847,730
143,(,858,709,867,733
144,io,870,713,886,731
145,lo,894,714,909,732
146,fpero.),916,711,979,738
147,Chi,615,727,646,745
148,sà,656,729,671,745
149,?,680,729,684,744
150,pietade,697,728,763,751
151,avranno.,770,730,859,755
152,(Saprò,613,748,680,771
153,falvarla,687,749,753,769
154,ad,762,753,782,770
155,onta,788,758,828,771
156,del,835,754,861,772
157,Tiranno.),868,756,966,779
158,"Erm,",592,770,639,792
159,Ah,651,770,678,793
160,che,686,771,713,795
161,per,720,777,749,796
162,me,756,779,783,792
163,non,790,781,822,798
164,"fpero,",831,776,889,801
165,B,794,797,807,814
166,3,822,803,828,819
167,29,993,84,1012,102
168,SCENA,184,108,303,129
169,II.,332,109,361,126
170,Ermione,142,148,219,166
171,in,225,146,248,171
172,"fretta,",255,146,335,173
173,e,336,155,344,166
174,detti.,354,150,408,169
175,Occorfo....,165,169,281,192
176,S,161,191,176,218
177,"Principe,",178,190,251,218
178,"Alcefte,...",257,194,348,212
179,aita...II,356,194,421,212
180,Re...,427,194,479,212
181,Erm.,72,170,119,190
182,(piano,846,165,904,193
183,ad,909,167,931,185
184,Erm.),938,167,996,193
185,Alc.,70,213,115,236
186,Sappiamo,122,213,217,240
187,Giả,94,236,137,252
188,i,139,234,146,257
189,tuoi,145,235,181,254
190,"cafi,",188,237,229,256
191,i,240,235,254,258
192,perigli.,249,239,319,260
193,Il,333,239,348,256
194,Rè,355,239,380,255
195,ti,389,240,400,256
196,vuole,408,239,459,255
197,Vittima,104,255,167,278
198,all'Are,173,256,237,279
199,atroci.,244,258,307,279
200,Erm.,72,278,120,298
201,Ah,135,278,162,299
202,si.,164,278,191,299
203,Eur.,73,297,115,326
204,"Refpira,",129,300,209,328
205,Tanto,94,322,151,341
206,non,156,322,192,344
207,t'aflannar.,198,322,299,346
208,Erm.,74,344,119,362
209,Deh,134,345,172,368
210,qual,180,345,217,368
211,riparo,227,347,283,372
212,Alla,96,366,134,385
213,fventura,143,365,219,387
214,mia?,227,367,270,390
215,Alc.,72,386,116,406
216,"Vieni,",128,389,191,409
217,t'affretta;,203,388,295,409
218,Alle,94,410,133,432
219,"Capanne,",141,410,221,433
220,ai,229,412,260,433
221,Bofchi,269,412,327,435
222,Ritorniamone,94,430,223,450
223,Ermione;,232,433,322,452
224,efi,334,433,359,452
225,deluda,367,432,428,452
226,Con,94,454,132,471
227,follecita,138,452,211,477
228,fuga...,219,454,299,478
229,Erm.,75,474,122,493
230,Oh,140,475,163,497
231,Dio!,173,475,218,498
232,non,227,481,259,495
233,giova.,266,478,327,500
234,Cuftodito,96,496,185,516
235,è,191,498,200,515
236,ogni,206,498,245,521
237,pafso,253,497,299,522
238,Per,95,520,128,536
239,comando,136,518,218,541
240,Real.,235,519,284,541
241,Eur.,74,541,117,558
242,Sieguimi.,130,542,219,563
243,Io,233,540,255,563
244,fteffo,256,542,303,560
245,Ti,96,563,117,579
246,farò,127,561,165,582
247,nella,167,561,209,583
248,"fuga,",216,564,266,583
249,e,278,569,287,580
250,"Duce.,",299,562,355,584
251,e,357,563,374,584
252,fcorta.,375,565,438,581
253,Alc.,81,583,122,604
254,Ahimè!,129,584,201,603
255,"Prence,",214,584,289,606
256,ecco,296,591,334,603
257,il,337,585,353,606
258,Rè.,359,585,397,607
259,Erm.,75,607,122,625
260,"Numi,",136,606,200,625
261,fon,211,607,239,624
262,morta.,246,611,311,626
263,SCENA,182,650,304,671
264,III.,324,648,384,675
265,"Creente,",121,694,205,713
266,e,216,700,225,711
267,"Learco,",236,692,314,715
268,con,314,700,343,711
269,"Guardie,",351,694,439,713
270,e,247,714,260,736
271,detti.,263,714,318,736
272,Cre.,83,737,122,765
273,O,120,738,166,763
274,Là?,172,737,209,764
275,Si,218,736,239,763
276,cinga,241,736,290,762
277,intorno,296,739,367,762
278,Ogni,192,759,235,783
279,ftrada;,235,758,301,778
280,o,315,765,326,777
281,Cuftodi.,332,759,410,778
282,Lea.,444,780,483,802
283,Che,961,803,998,822
