,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,63,111,63,133,81
1,E,148,82,161,103
2,tu,163,82,179,103
3,nella,182,83,224,102
4,rivale,230,85,280,103
5,Vanne,146,104,197,127
6,Ermione...,207,104,322,127
7,ATTO,267,63,367,83
8,TERZO.,717,67,849,86
9,63,972,66,992,89
10,SCENA,693,117,812,133
11,XII.,849,112,892,134
12,SCENA,221,154,341,172
13,XI.,383,149,421,172
14,"Antigona,",605,158,706,179
15,"Euriftec,",716,157,803,181
16,"Ermione,",812,156,902,179
17,"Learco,",908,154,980,174
18,e,750,177,764,199
19,Guardie.,767,176,845,198
20,Alcefie,164,193,229,225
21,fimulando,231,193,317,225
22,affanno,323,196,387,219
23,",",392,210,396,217
24,e,403,204,411,215
25,detti.,419,199,472,215
26,"Pofa,",694,224,745,242
27,"Figlia,",758,223,821,244
28,"Learco,",831,221,925,243
29,ove,927,219,961,243
30,mi,971,220,994,237
31,volgo,753,241,806,268
32,Alc.,113,236,155,258
33,Eurif.,591,224,647,249
34,A,145,243,189,267
35,H,218,242,228,267
36,Signor,230,241,284,266
37,corri....difendi...,313,241,516,263
38,Salvati,208,261,269,282
39,omai.,278,264,334,282
40,Creon.,112,279,171,301
41,Che,179,280,219,303
42,fù,225,285,242,301
43,?,248,285,254,301
44,Spiegati.,259,285,342,309
45,Ancera,348,284,420,311
46,Non,611,266,659,289
47,"miro,",661,266,723,289
48,che,725,265,751,288
49,perigli.,759,265,831,288
50,Lear.,585,291,639,310
51,Ehfon,653,287,709,308
52,finiti,711,285,759,306
53,Già,612,313,646,331
54,gli,653,311,676,335
55,affanni,681,309,743,334
56,per,746,308,782,333
57,Voi.Sciolganfi,784,309,916,333
58,ad,925,307,946,325
59,ambl,949,308,997,330
60,Scende,305,305,367,330
61,dal,371,307,402,330
62,Trone.,405,309,469,330
63,Intenderti,133,325,227,346
64,non,232,332,265,346
65,sò.,272,328,295,346
66,Alc.,115,346,163,370
67,La,166,349,189,367
68,Reggia,201,348,262,373
69,tutta,269,349,311,374
70,Cinta,132,371,180,387
71,è,186,373,194,388
72,d'armi,199,369,257,390
73,rubelle.,264,372,338,391
74,Il,342,372,358,391
75,Popol,364,371,419,396
76,ferae,423,373,476,393
77,Chiede,132,391,194,411
78,ia,201,394,214,410
79,fua,220,393,245,412
80,Regina,253,393,319,419
81,Creon.,111,411,170,432
82,O,183,415,200,432
83,Stelle!,207,416,268,437
84,Alc.,120,434,162,458
85,Accorri,167,436,236,460
86,.,244,449,248,454
87,Sull',132,458,170,476
88,ingrefflo,178,458,248,482
89,lafciai,258,461,309,479
90,Pochi,133,480,184,497
91,de',191,480,219,498
92,tuoi,224,484,260,500
93,alla,267,480,299,502
94,difefa.,302,480,368,504
95,Lear.,110,501,161,520
96,Il,174,503,187,520
97,folo,195,503,229,522
98,Neceflario,133,523,227,544
99,riparo,234,526,289,549
100,Mio,132,546,169,563
101,"Re,",175,546,211,570
102,è,219,548,228,564
103,l'afpetto,237,546,309,572
104,tuo.,312,548,359,573
105,Creon.,108,566,168,586
106,Sieguimi,179,566,261,591
107,Alcefte.,275,568,353,593
108,Seguitemi,131,589,223,612
109,o,229,597,240,608
110,Cuftodi,243,592,314,611
111,;,324,591,336,613
112,e,333,598,343,609
113,tu,348,597,368,609
114,Learco,377,591,443,611
115,Cuftodifci,130,608,222,631
116,quell,230,614,280,635
117,Empia,292,613,345,638
118,Sinche,131,633,191,657
119,il,197,635,207,651
120,Popol,215,632,269,657
121,ribelle,277,633,333,656
122,avrò,339,637,380,654
123,disfatto.,387,636,464,659
124,Parte,156,656,208,673
125,feguito,211,655,276,680
126,du,287,656,306,680
127,ana,313,664,345,676
128,banda,350,656,410,681
129,di,412,657,431,681
130,Guardie,436,657,511,681
131,Sono,737,332,779,353
132,tolti,783,332,821,348
133,i,828,333,834,349
134,ceppi,840,330,885,352
135,ad,889,332,912,348
136,ambi.,917,330,975,347
137,Quell',616,355,677,379
138,indegne,678,354,748,377
139,ritorte.,750,352,832,375
140,Afcendi,832,351,901,369
141,al,909,353,923,368
142,Trono..,931,351,1005,368
143,Degno,614,377,675,399
144,Germe,682,376,744,398
145,di,752,377,769,394
146,Cadmo.,776,375,854,392
147,Ognun,861,375,925,395
148,di,931,374,948,391
149,noi,957,375,987,391
150,Fido,613,398,656,419
151,Vallallo,662,400,736,417
152,o,743,405,754,416
153,"Antigona,",762,398,859,418
154,t'inchina.,865,394,952,412
155,Sù,614,424,635,442
156,quel,641,423,679,444
157,Soglio,685,422,741,443
158,tacclama,748,419,834,442
159,ognun,840,424,898,441
160,Reina.,904,418,968,439
161,Antigona,634,444,724,467
162,và,734,441,763,466
163,ful,764,441,788,466
164,Trono,792,442,845,465
165,trà,851,439,879,464
166,l'applaufo,884,440,972,462
167,di,978,440,997,457
168,"Trembe,",658,465,743,485
169,e,757,463,767,482
170,"Tamburri,",779,463,884,482
171,fervita,900,460,971,482
172,de,977,459,997,482
173,Learco.,659,489,732,505
174,Erm.,593,511,640,529
175,Ocontenlo,653,506,757,527
176,!O,763,507,792,528
177,piacer!,798,508,865,528
178,Lear.,594,534,645,550
179,La,658,531,681,547
180,Madre,689,531,749,547
181,al,757,530,771,546
182,fine,779,526,812,546
183,Illuftre,605,550,681,576
184,"Principefla,",691,552,802,576
185,Di,616,576,639,594
186,falvar,647,573,698,595
187,ti,700,573,717,595
188,ebbi,720,573,756,591
189,il,764,574,775,590
190,merto.,782,578,845,590
