,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,260,65,364,86
1,Rifpettar,177,84,263,109
2,fi,266,84,280,109
3,fan,285,86,311,109
4,"talora,",318,84,384,109
5,Se,197,105,217,126
6,gli,224,110,248,129
7,Dei,256,109,288,131
8,fon,293,106,321,132
9,"difprezzati,",328,106,438,134
10,San,195,128,230,154
11,punir,232,128,284,154
12,di,291,131,308,147
13,fdegno,315,128,377,154
14,"Armati,",384,128,457,154
15,San,198,154,229,171
16,gli,235,151,258,175
17,Oltraggi,267,150,347,176
18,vendicar.,354,150,442,175
19,Io,175,172,208,196
20,non,210,173,238,195
21,vo,245,173,269,195
22,con,269,181,300,192
23,mio,305,174,340,195
24,periglio,346,175,419,198
25,Difprezzare,197,197,308,220
26,il,315,199,328,220
27,lor,334,195,358,215
28,configlio,365,195,445,220
29,Folle,197,219,244,237
30,è,252,219,268,240
31,pur,271,219,298,240
32,chi,304,220,329,237
33,non,335,225,367,236
34,li,374,220,384,235
35,"adora,",390,218,454,239
36,Quando,206,239,272,263
37,fanno,274,239,326,262
38,fulminar.,332,241,419,258
39,Rifpettar,304,264,390,285
40,&c.,395,264,428,280
41,parte.,410,289,474,304
42,32,110,70,130,87
43,SECONDO.,717,68,874,86
44,38,975,72,995,90
45,Udiſti,611,89,665,107
46,?,672,90,679,106
47,Eur.,590,114,633,131
48,Udii,646,112,686,130
49,per,693,118,722,133
50,mia,729,113,760,129
51,fatal,770,113,809,130
52,fventura.,815,112,902,130
53,Che,657,131,692,153
54,fiero,698,131,738,153
55,Deltino!,747,135,827,151
56,Che,677,156,713,174
57,abbitlo,720,155,781,173
58,di,788,156,805,172
59,pene,813,161,854,178
60,!,861,156,867,171
61,Da,679,179,706,196
62,dubbj,711,177,763,196
63,coftretto,769,175,848,194
64,Tacer,680,200,736,217
65,ni,743,200,764,215
66,conviene.,771,199,867,220
67,Per,680,223,712,245
68,troppo,718,226,781,243
69,rifpetto,788,221,857,243
70,Non,670,242,722,265
71,poilo,728,242,774,266
72,parlar.,778,243,843,266
73,Vicende,659,262,736,283
74,fon,740,262,774,286
75,"quelte,",780,263,850,286
76,Che,680,287,717,304
77,opprimono,722,284,825,307
78,un,833,291,854,307
79,Core:,861,285,915,304
80,Mà,681,309,711,326
81,tante,719,306,765,325
82,"tempefte,",771,307,862,331
83,Må,680,331,709,347
84,tanro,717,335,763,347
85,turore,772,332,827,350
86,Tufola,681,351,746,372
87,"potrefti,",754,350,834,377
88,Doviefti,681,372,760,391
89,Calmar.,680,396,761,413
90,SCENA,222,330,343,348
91,V.,367,332,391,349
92,"Earifteo,",118,370,203,394
93,"Antigona,",215,373,315,394
94,"Learco,",323,372,395,393
95,e,407,376,415,388
96,Alcefte,421,369,490,392
97,:,498,373,503,387
98,parte,894,395,946,419
99,Che,821,416,853,439
100,&c.,859,416,893,439
101,Eur.,108,413,148,434
102,A,194,419,213,445
103,"Ntiope,",209,418,286,442
104,ah,294,416,314,432
105,ch'io,319,417,363,439
106,mi,368,418,392,438
107,fento,397,416,445,436
108,Gelar,220,437,276,459
109,quando,282,439,350,459
110,ti,360,439,372,455
111,miro.,380,438,434,455
112,E,448,438,460,455
113,come,466,441,515,459
114,(mai,467,457,515,477
115,Oracolo,127,457,202,480
116,fi,208,460,218,477
117,fiero,228,458,269,476
118,Potefti,127,480,189,505
119,proferir!,197,481,282,506
120,Ben'io,289,483,348,506
121,"comprendo,",355,480,471,508
122,Sin,127,502,159,523
123,dove...,161,502,243,525
124,Ah,246,503,273,524
125,"bafta,",282,503,339,525
126,bafta.,344,505,397,522
127,Forfe,132,522,178,547
128,.Chi,180,522,230,547
129,sà.,233,526,260,543
130,..,268,538,282,542
131,Nel,290,527,323,544
132,Tempio,329,525,405,549
133,Ne,126,545,155,566
134,rivedrem.,161,545,258,568
135,Ant.,105,569,150,585
136,T'arrefta.,164,568,257,586
137,"Prence,",128,591,201,610
138,minacci,212,591,281,608
139,?,287,591,294,606
140,Eur.,107,612,148,630
141,Ah,164,613,189,629
142,nò.,195,614,226,631
143,Ant.,105,636,150,656
144,"Sai,",162,635,200,654
145,chi,205,636,231,651
146,fon'io?,236,635,300,653
147,Eur.,107,656,148,679
148,Pur,161,657,195,673
149,"troppo,",201,662,276,679
150,e,282,662,291,673
151,che,300,655,327,679
152,al,329,655,352,679
153,tuo,355,661,386,679
154,grado,393,655,447,678
155,Deggio,123,679,196,701
156,per,199,676,231,701
157,mio,238,676,270,701
158,Deftin,281,678,337,701
159,"rifpetto,",344,676,426,701
160,e,439,683,448,694
161,omag-,455,681,514,701
162,Ant.,109,697,159,721
163,In,155,698,183,717
164,avvenir,189,697,258,718
165,più,272,701,302,722
166,faggio,312,699,369,724
167,Dungue,126,723,199,743
168,i,206,723,210,738
169,labri,216,723,255,740
170,"raffrena,",268,720,349,742
171,e,361,728,370,739
172,un'altra,378,722,448,738
173,"volta,",456,718,514,739
174,Se,126,744,147,765
175,irritarmi,153,741,232,762
176,non,239,749,271,761
177,vuoi,279,744,318,760
178,",",326,756,331,764
179,nell'Oprejmie,336,742,467,768
180,Tu,127,765,155,784
181,di,161,766,177,783
182,tacer,183,770,228,785
183,procura,234,768,305,790
184,SCENA,709,465,828,482
185,VI.,873,461,889,483
186,Antigona,659,504,749,526
187,"Learco,e",762,501,875,528
188,Alcefte.,877,501,948,528
189,(vuol,370,543,427,574
190,partire,429,543,487,574
191,.),496,548,515,569
192,Ant.,598,546,648,571
193,(,654,547,664,570
194,OR,651,550,733,575
195,"vediam,",745,548,829,573
196,s'anche,840,548,909,571
197,quefti,921,549,975,570
198,ai,988,548,1003,567
199,miei,750,570,788,592
200,difegni,798,568,860,595
201,An,609,590,649,616
202,d'opporfi,651,590,739,616
203,penfier.),741,590,833,616
204,"Learco,",844,590,923,616
205,"Alcefte,",927,593,1007,613
206,"Pallidi,",617,612,690,633
207,afflitti,693,613,752,631
208,in,759,615,775,630
209,volto,782,613,829,632
210,lo,617,633,646,656
211,vi,643,635,658,650
212,veggio,667,636,728,656
213,fmarrir.,736,635,812,651
214,Se,823,637,843,653
215,tanto,848,633,898,656
216,ad,900,633,926,656
217,Ambi,931,637,983,653
218,Spiace,617,656,675,679
219,d'Ermione,681,653,782,679
220,il,785,655,803,679
221,"Sagrificio,",807,655,904,680
222,or,913,662,932,676
223,ora,938,663,968,677
224,Nel,617,675,649,695
225,funefto,657,677,721,695
226,fuo,728,678,756,695
227,"cafo,",763,678,812,697
228,"Ditemi,",617,700,691,718
229,che,704,701,734,717
230,farete?,740,697,810,718
231,Lea.,596,721,636,738
232,In,650,721,668,737
233,fua,676,722,703,739
234,difeſa,708,722,759,738
235,Forfe,620,742,668,761
236,molto,676,744,729,761
237,farò.,735,743,782,761
238,Alc.,601,763,649,788
239,Nel,652,765,684,788
240,tempio,691,766,755,787
241,forfe,760,763,805,788
242,Alib.,640,786,692,804
243,(gio.,457,697,513,719
244,Udi-,469,785,513,802
245,B,805,787,818,804
246,5,831,793,841,809
247,Ve-,947,790,985,807
