,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,270,67,378,86
1,50,115,74,137,88
2,Cagion,138,91,202,110
3,de,210,89,236,106
4,mali,242,90,281,106
5,altrui,287,90,337,108
6,Relti,141,108,193,132
7,oppreffo,191,110,269,134
8,una,274,117,307,129
9,volta.,312,113,366,134
10,Io,377,112,398,129
11,dell'imprefa,403,111,514,136
12,Oggi,137,134,184,156
13,il,187,132,206,156
14,Duce,208,132,256,156
15,farò.,262,134,307,156
16,Pendon,320,134,390,152
17,già,400,135,428,156
18,P'armi,438,132,490,152
19,Tutte,137,151,191,173
20,da',196,156,223,175
21,cenni,230,155,277,174
22,miei.,284,156,334,175
23,"Tebe,",347,156,396,175
24,le,400,155,429,177
25,Squadre,435,157,510,180
26,Cauto,144,175,192,198
27,follevarò;,198,175,303,199
28,ne,304,185,325,196
29,della,331,179,375,196
30,forte,381,177,425,197
31,Perigliofa,136,200,227,223
32,hò,236,201,258,219
33,timore,263,200,324,219
34,Quando,136,221,211,245
35,in,217,223,234,239
36,petto,240,228,289,244
37,così,294,223,329,245
38,m'infiamma,336,222,444,241
39,Amore.,454,221,526,245
40,Fra,180,245,211,262
41,cento,217,249,266,262
42,"Schiere,",273,244,348,264
43,e,358,250,368,262
44,cento,373,250,423,263
45,Di,201,267,224,283
46,mille,231,266,277,285
47,fpade,283,266,332,290
48,il,338,268,348,290
49,lampo,356,268,412,289
50,Non,200,288,241,306
51,temerei,248,287,318,309
52,ful,324,290,346,306
53,"campo,",353,293,423,315
54,Non,201,309,240,327
55,mi,249,309,273,329
56,faria,276,309,313,330
57,tremar.,323,310,396,329
58,D'ardir,178,330,247,350
59,cosi,256,332,290,349
60,nmi,296,332,319,349
61,fento,324,332,372,350
62,Ripieno,200,351,274,377
63,di,280,351,301,377
64,"valore,",308,354,376,377
65,Che,199,374,235,397
66,sfidarebbe,242,374,333,393
67,il,338,376,350,392
68,core,355,380,395,393
69,Sin,200,397,228,414
70,le,235,398,250,414
71,tempefte,256,397,337,420
72,in,342,399,358,415
73,mar.,366,403,410,415
74,TERZ,713,82,837,104
75,O:,851,81,865,104
76,Si,608,106,640,130
77,difperata,637,107,718,129
78,ormai,724,108,777,125
79,Sgomentarmi,614,127,739,150
80,non,745,134,779,150
81,"so,",786,128,816,148
82,più,828,128,858,151
83,non,864,134,898,147
84,pavento.,907,133,992,152
85,La,613,152,651,171
86,"pena,",646,156,699,171
87,il,709,151,720,166
88,mio,726,151,767,170
89,tormento,768,150,855,167
90,Fche,614,171,670,191
91,l'empioTiranno,677,171,822,191
92,ah,827,172,846,189
93,relta,854,171,893,189
94,in,902,173,917,189
95,vita,925,173,958,190
96,Allorchè,614,193,694,211
97,invendicata,700,192,804,210
98,Morir,613,212,669,234
99,mi,676,216,697,232
100,converrà.,704,215,794,232
101,Germani,805,212,882,236
102,"miei,",887,215,935,235
103,Non,614,239,654,259
104,giova,659,238,709,259
105,intorno,716,237,783,260
106,a,788,242,797,253
107,"me,",804,241,837,256
108,che,848,236,877,254
109,vi,885,237,900,253
110,lagnate:,907,238,979,260
111,Ceffate,613,259,678,276
112,ormai,685,260,738,274
113,ceffate,743,259,802,277
114,Di,613,282,636,298
115,"fperar,",643,281,707,302
116,ch'io,715,279,763,302
117,vi,769,281,787,296
118,plachi.,793,279,851,302
119,Ombre,859,279,925,297
120,infelici!,932,281,1000,300
121,Vendicarvi,614,299,718,322
122,non,724,304,758,319
123,poflo.,764,300,816,324
124,Oh,822,302,851,320
125,Dei,859,304,891,320
126,vien,901,303,938,320
127,"meno,",946,309,1003,326
128,fiede,820,324,868,350
129,ad,875,325,898,342
130,un,903,322,929,350
131,falfo.,932,323,987,351
132,Frangefi,612,345,690,371
133,a,701,352,712,371
134,quefto,714,342,774,370
135,fcoglio,777,342,842,369
136,La,612,364,637,385
137,mia,642,364,676,384
138,coftanza,680,364,758,385
139,alfin.,764,365,816,389
140,Ridotto,823,367,898,385
141,a,904,375,913,386
142,quefto,920,369,979,391
143,Duro,610,390,660,408
144,funefto,667,387,730,411
145,paflo,740,388,785,412
146,Il,612,412,626,428
147,mio,633,412,667,428
148,ftato,673,410,714,428
149,faria,721,410,761,428
150,pietade,769,410,835,432
151,a,838,410,851,432
152,un,856,417,877,429
153,faflo.,885,413,934,430
154,Ma,611,433,641,450
155,che,646,433,677,449
156,veggio,683,433,746,454
157,!,753,432,765,454
158,Il,768,432,787,449
159,Tiranno,792,434,867,451
160,"S'apprefla,",616,453,720,479
161,e,726,453,738,479
162,feco,741,455,777,472
163,il,785,455,798,479
164,perfido,804,455,869,479
165,fuo,875,453,904,479
166,figlio.,906,453,967,479
167,"s'alza,",689,473,752,497
168,e,762,483,771,494
169,và,781,475,803,499
170,incontra,806,475,883,501
171,ad,886,478,909,494
172,Eurifico.,915,477,998,503
173,parte.,458,401,519,422
174,Fra,386,421,417,438
175,&c.,426,418,454,440
176,SCENA,221,465,341,484
177,IV.,365,466,404,483
178,Luogo,126,505,186,527
179,interno,193,506,260,524
180,d'antico,266,506,340,525
181,Edificio,346,506,416,525
182,contiguo,423,508,502,528
183,alla,153,527,185,545
184,"Reggia,",191,528,271,550
185,che,281,529,310,549
186,ferve,316,529,362,546
187,di,373,530,389,546
