,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,225,65,350,89
1,PRIMO.,698,61,834,80
2,14,93,74,115,88
3,Lea.,93,86,133,107
4,No,147,88,176,105
5,"nò,",182,88,214,106
6,l'Arcano,223,87,303,105
7,Ear.,567,83,607,101
8,Oh,620,83,648,101
9,giorno!,659,83,730,105
10,Ah,744,83,772,101
11,Ermione,784,84,863,103
12,:,873,90,877,101
13,O,903,80,927,105
14,Spofa!,929,80,983,105
15,(,892,102,905,132
16,da,907,102,921,132
17,je,919,102,940,128
18,),948,108,956,133
19,(ad,852,124,898,151
20,Ant.),905,124,958,151
21,Svelar,105,105,171,133
22,non,178,106,212,133
23,dei.,216,110,253,133
24,Tempo,260,111,328,135
25,s'acquifli:Hrmione,334,108,503,134
26,Erm.,565,128,613,148
27,(Di,629,124,664,152
28,me,670,125,696,152
29,raggiona.),704,128,806,155
30,Ant.,569,148,621,172
31,(O,628,148,671,172
32,Dei!),673,148,725,172
33,Eur.,565,168,610,190
34,Che,622,168,658,189
35,più,665,172,694,193
36,tardi?,700,169,750,189
37,Che,756,171,791,189
38,fai?,794,169,829,193
39,"Spofa,",832,169,892,194
40,ove,897,178,930,194
41,fei,936,172,957,189
42,?),964,172,979,194
43,Si,111,129,138,154
44,"lufinghi,",140,129,225,154
45,e,227,137,237,153
46,le,240,128,259,153
47,Nozze,262,128,324,153
48,Donandi,115,152,201,176
49,al,208,154,223,171
50,Rè,230,154,255,171
51,di,266,154,283,171
52,differir.,291,154,365,172
53,Men,377,155,417,172
54,vado,425,154,469,172
55,lo,113,172,140,197
56,ftefso,140,175,187,199
57,a,193,181,202,193
58,rintracciaria.,207,175,330,201
59,(vaol,359,175,417,202
60,partire),420,176,504,203
61,Eur.,93,199,135,218
62,Odi.,147,197,193,216
63,Ma,204,197,236,220
64,poi,242,198,270,220
65,(da,782,194,816,216
66,fe,825,193,843,216
67,come,845,193,891,216
68,fopr,892,194,929,216
69,a),932,196,956,217
70,Erm.,567,217,616,235
71,"Prence,",629,217,705,238
72,è,717,216,725,233
73,al,739,213,753,238
74,tuo,756,213,784,238
75,lato.,786,213,831,238
76,(prefentandofi),835,213,979,238
77,Eur.,569,236,613,256
