,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,ATTO,256,71,363,89
1,TERZO.,716,74,849,94
2,59,969,79,990,100
3,Che,129,97,166,115
4,a,171,102,179,114
5,piè,188,96,214,116
6,d'annofa,219,96,294,112
7,"Palma,",302,94,369,113
8,Mentre,129,116,198,136
9,il,205,119,215,134
10,Gregge,221,117,291,138
11,guidavo,296,115,371,137
12,Bambinella,130,141,233,157
13,giacente,240,137,316,159
14,io,324,136,344,158
15,la,350,136,367,158
16,trovai.,371,137,437,154
17,Meco,130,165,183,181
18,allor,190,163,231,180
19,la,235,160,256,182
20,"recai,",258,160,313,182
21,Tra,131,181,167,203
22,quefte,174,184,230,206
23,braccia,236,184,300,201
24,nella,309,179,354,205
25,mia,357,179,393,204
26,Capanna.,399,181,490,204
27,Alcefte,131,206,198,224
28,ah,205,207,225,223
29,non,232,212,266,224
30,v'inganna:,273,206,369,226
31,Credetelo,132,229,225,245
32,al,232,229,246,245
33,fuo,252,226,280,248
34,Zelo;,290,225,349,247
35,E,146,250,156,275
36,fe,159,249,173,274
37,v'inganna,176,251,263,273
38,"mai,",270,250,315,271
39,l'opprima,321,248,412,270
40,il,419,246,430,263
41,Cielo.,436,247,496,265
42,Ant.,110,274,158,292
43,Ah,171,274,197,290
44,"Spofo,",205,271,266,294
45,è,276,272,285,294
46,ver,293,277,321,294
47,la,332,271,347,294
48,gemma,355,270,417,294
49,Ambi,608,97,657,116
50,i,666,94,676,117
51,trafporti,676,95,752,118
52,"miei,",759,99,809,117
53,moti,818,95,864,119
54,del,866,96,896,119
55,"Sangue,",906,96,980,119
56,Che,607,115,642,139
57,intender,648,116,725,136
58,non,732,117,766,141
59,fapevo.,768,117,842,142
60,Ant.,585,136,632,162
61,Or,648,137,670,164
62,lieta,672,137,713,165
63,"moro,""",723,137,791,161
64,ad,826,161,849,179
65,Euritleo.,859,162,944,182
66,Che,607,185,644,203
67,la,650,185,665,201
68,figlia,672,184,717,205
69,abbracciai.,723,184,823,201
70,Eur.,586,207,630,226
71,Or,642,207,668,224
72,che,673,204,703,223
73,latrovo,707,207,774,224
74,hò,784,206,807,223
75,già,811,205,841,228
76,viffuto,847,204,908,228
77,affai.,910,204,966,228
78,ad,812,224,840,245
79,Autigoua.,848,227,947,255
80,Erm.,588,252,637,270
81,Ah,650,248,674,271
82,Genitore,685,248,763,269
83,ah,785,250,804,267
84,Madre.,811,249,881,267
85,Priva,608,271,659,293
86,dunque,665,271,732,292
87,di,736,271,753,292
88,Voi,761,271,796,288
89,Mi,607,295,632,313
90,lafciate,640,291,707,310
91,cosi,709,292,759,309
92,!,761,291,764,312
93,Ant.,587,312,631,335
94,"Figlia,",644,315,708,338
95,(Oh,712,312,760,338
96,tormento.),762,312,872,338
97,Deggio,605,336,677,361
98,morir,685,337,736,361
99,La,754,337,778,354
100,"forte,",785,338,833,359
101,Ah,588,361,614,377
102,mi,622,358,645,375
103,vuol,650,358,689,375
104,colla,695,360,737,376
105,morte,744,364,798,375
106,Quefta,610,380,671,403
107,gioja,677,380,721,404
108,temprar.,727,384,810,402
109,Erm.,588,402,639,421
110,Padre...,649,402,735,419
111,Eur.,588,425,632,442
112,Tu,645,424,672,440
113,piangi,681,423,737,447
114,!,739,423,749,447
115,Sai,610,447,635,463
116,viver,673,444,738,468
117,non,753,451,786,463
118,poffo,798,445,845,468
119,Addio,855,447,934,468
120,mia,946,448,992,464
121,la,244,291,270,315
122,da,268,294,289,315
123,ad,295,294,316,309
124,offervare,320,290,401,314
125,ad,406,291,428,309
126,Eur.,433,291,475,311
127,(,148,313,162,337
128,Riconofcila.),164,313,279,337
129,è,289,313,304,337
130,tua.,306,313,333,337
131,Mia,335,313,374,337
132,cara,382,320,419,337
133,"Figlia,...",426,313,524,337
134,corre,235,343,280,354
135,ad,286,336,307,353
136,abbracciare,313,335,419,352
137,Erm.,427,333,475,352
138,(To,134,359,179,383
139,manco,181,359,233,382
140,di,239,358,258,382
141,piacer...),260,357,366,380
142,Figlia,373,355,424,379
143,diletta...,427,354,520,377
144,Mia,135,384,171,399
145,Speranza.,177,382,278,402
146,mio,285,381,320,401
147,Ben...,327,380,384,396
148,Pria,392,377,431,399
149,di,438,377,454,399
150,morire,458,379,521,396
151,Al,137,405,159,421
152,mio,166,402,199,421
153,Sen,206,405,237,421
154,pur,249,401,283,424
155,ti,285,401,303,424
156,ftringo.,305,401,377,424
157,Erm.,113,426,162,444
158,O,175,427,192,444
159,cara,199,431,237,442
160,Madre!,245,423,316,442
161,O,161,446,174,467
162,Madre,177,446,222,467
163,mia!,227,447,271,462
164,Lea.,115,470,156,488
165,O,167,472,185,488
166,ténerezza,191,471,280,487
167,!,290,468,293,484
168,"Alcefte,",309,466,386,485
169,(piange.),852,401,948,426
170,(Cara.,688,468,742,486
171,l'abbraccia.,863,467,970,491
172,piano,345,490,395,509
173,al,399,485,422,509
174,detto.,423,485,474,508
175,Ant.,596,487,639,511
176,Addio,645,487,702,507
177,"figlia,mio",708,488,795,509
178,"Cor,",801,490,842,508
179,ti,848,490,861,506
180,lafcio,869,489,917,511
181,"anch'io,",922,490,994,511
182,la,886,509,913,531
183,bacia.,913,511,969,532
184,Per,136,510,174,535
185,falvarli,177,510,243,535
186,mi,247,514,269,530
187,fiegui.),280,510,356,533
188,Alc.,116,536,163,555
189,(Andiamo.),180,534,308,556
190,Erm.,589,533,636,551
191,Dove!...,650,529,747,551
192,.Dove,749,529,828,551
193,!...,834,529,881,551
194,..,884,529,899,549
195,ricbiamandoli.,814,555,948,577
196,a,601,575,612,597
197,3.,614,575,627,597
198,Oh,637,576,665,593
199,Deftin,672,575,728,594
200,I,737,574,754,596
201,Che,750,576,785,594
202,fiero,792,575,833,594
203,Addio!,840,577,907,595
204,partono.,400,556,482,574
205,SCEN,216,604,309,619
206,A,325,601,342,617
207,VII.,364,599,421,615
208,Aut.,631,619,680,638
209,Ah,697,619,724,637
210,cela,730,618,766,638
211,quel,772,618,811,642
212,"pianto,",818,620,887,644
213,Non,720,642,759,663
214,tanto,768,641,815,663
215,"dolor,",822,641,876,663
216,Eur.,629,662,673,680
217,Deh,695,662,734,679
218,"figlia,",741,662,797,685
219,il,808,663,819,680
220,tuo,824,662,852,684
221,affanno,859,662,925,686
222,Mi,718,684,744,701
223,lacera,751,682,802,706
224,il,804,683,821,705
225,cor.,823,689,863,703
226,Erm.,633,705,681,726
227,F,697,705,716,723
228,giufto,723,704,776,728
229,il,785,707,797,723
230,"tormento,",804,710,899,731
231,Che,719,726,754,746
232,fento,760,728,806,745
233,nel,812,729,838,745
234,fen.,845,728,880,746
235,Ant.,630,749,676,769
236,Confolati.,695,747,796,771
237,Addio...,798,749,891,772
238,Eur.,631,771,676,791
239,Tilafcio,699,770,789,789
240,o,791,770,802,792
241,mia,804,771,829,793
242,fpeme,833,773,888,795
243,:,897,779,902,790
244,C,809,794,844,812
245,6,847,794,851,813
246,"Antigona,",161,646,265,665
247,"Eurifteo,",276,642,364,663
248,e,379,637,392,664
249,Ermiene.,391,640,484,657
250,(ad,424,681,470,706
251,Erm.),472,681,530,706
252,Dolce,246,707,299,729
253,cura,301,707,341,728
254,d'un,347,707,387,724
255,"Padre,",393,707,459,727
256,H,240,686,254,707
257,vieni,255,685,296,706
258,A,179,689,225,738
259,Ear.,121,691,164,709
260,Vieni,142,733,195,752
261,al,203,731,218,752
262,Paterno,227,734,298,750
