,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,36,107,65,134,83
1,ATTO,269,65,373,83
2,SECONDO.,716,70,869,93
3,(Sempre,614,90,701,118
4,t'appellerò,709,93,808,123
5,!),816,98,837,124
6,Ant.,595,110,641,132
7,(Ma,654,112,696,135
8,"raci,",703,113,748,138
9,e,755,115,764,138
10,fpera.),769,116,839,140
11,Crean.,593,131,660,158
12,Antiope,666,133,740,161
13,avvicinaudofi,763,135,887,164
14,alla,892,141,923,161
15,fadetta,927,142,996,168
16,Eur.,595,156,637,174
17,"(Ahime,",651,154,736,182
18,che,749,158,775,183
19,anguftia!),778,158,879,186
20,Creon.,593,175,657,199
21,Il,666,179,679,195
22,"Rogo,",686,180,756,202
23,i,759,180,764,203
24,"Doni,",765,179,821,205
25,L'Ara,614,200,670,227
26,pel,678,200,705,225
27,Sagrificio,713,199,798,229
28,Preparita,613,222,705,247
29,giá,711,224,740,247
30,vedi.,747,224,797,243
31,Attende,805,225,879,249
32,in,881,227,902,249
33,tanto,909,232,957,248
34,Con,613,243,653,264
35,Sagri,658,245,705,267
36,ammanti,711,244,790,265
37,inrorno,797,248,865,267
38,I,625,265,636,284
39,tuoi,638,266,666,286
40,cenni,668,266,715,285
41,la,723,269,737,284
42,Vittima.,744,268,830,287
43,Ant.,590,289,638,306
44,A,650,289,663,305
45,gli,671,290,695,310
46,Altari,702,290,756,306
47,Dunque,614,309,691,338
48,s'appreffli;,693,310,794,339
49,nè,794,315,828,332
50,a,830,312,835,339
51,compire,836,315,911,337
52,il,918,317,928,333
53,Rito,934,317,977,336
54,Più,613,332,643,350
55,s'induggi,649,332,735,356
56,un,744,340,765,353
57,momento.,772,340,869,361
58,Alc.,589,352,637,372
59,(lo,648,353,685,378
60,"tremo,",688,354,761,380
61,e,764,356,770,379
62,"vuò,",776,356,826,380
63,che,828,357,854,381
64,fperi.),862,357,930,382
65,Eur.,590,375,633,395
66,(Ecco,646,374,703,398
67,il,707,376,722,398
68,cimento.),728,378,825,401
69,"Creon,",588,398,649,418
70,Olà,660,399,698,415
71,tofto,707,399,750,417
72,la,759,401,772,416
73,fiamma,781,398,847,420
74,37,980,79,1000,99
75,SCENA,223,111,344,129
76,IX.,368,112,407,129
77,Gran,109,151,157,167
78,Tempio,169,150,244,174
79,d'Apollo,256,153,339,175
80,con,352,160,383,171
81,Ara,397,154,430,171
82,follevata,442,153,523,172
83,fopra,130,173,178,196
84,fpaziofi,184,172,251,195
85,gradini,259,173,323,197
86,preparato,331,181,421,197
87,con,426,181,457,192
88,folen-,465,176,522,193
89,ne,134,194,154,212
90,Apparato,167,194,253,220
91,pel,263,196,294,220
92,"Sagrifieio,",301,196,397,222
93,e,407,203,417,215
94,Rogo,427,198,479,220
95,per,490,202,522,220
96,confumare,132,216,230,236
97,la,237,220,252,237
98,Vittima.,261,218,343,237
99,Culodi,111,261,180,280
100,Reali,186,262,236,282
101,già,240,264,269,285
102,difpofti,278,261,338,287
103,fulla,344,262,388,287
104,Scena.,393,264,456,284
105,e,470,270,479,281
106,nu-,489,270,519,282
107,merefo,245,286,304,307
108,Popolo.,314,286,384,308
109,Creonte,108,328,180,347
110,ed,202,328,223,345
111,Eurifteo,229,327,304,350
112,difcorrendo,309,326,415,351
113,da,421,327,443,350
114,un,447,335,470,348
115,lato:,476,329,519,346
116,"Autigona,",128,350,233,371
117,e,244,356,252,373
118,Alcefte,259,349,332,374
119,in,339,352,357,374
120,catene,363,355,421,374
121,",",427,363,432,370
122,e,450,350,464,374
123,difar-,466,351,519,373
124,"mato,",129,376,186,392
125,pur,196,372,231,396
126,difcorrcnde,237,372,339,396
127,dall',342,371,385,395
128,altro.,390,373,445,390
129,Eh,217,416,240,433
130,"lafcia,",247,415,304,436
131,efcludi,312,416,373,439
132,o,380,422,391,434
133,"Padre,",398,416,462,439
134,D,208,435,222,460
135,Sagrificio,224,435,304,460
136,si,307,435,326,460
137,fiero.,328,435,391,460
138,Avverti...,390,435,493,460
139,(impara,440,459,517,489
140,Eur.,109,415,151,433
141,Alle,661,419,708,445
142,"Comparfe,",708,420,806,445
143,cbe,818,425,847,440
144,alcune,855,424,913,442
145,accends-,919,426,996,443
146,"no,",674,443,713,465
147,ed,715,444,736,466
148,altre,738,444,782,462
149,van,788,444,824,467
150,per,826,445,854,467
151,la,861,446,877,463
152,Vittima.,887,446,972,465
153,Creon.,105,459,167,478
154,Il,180,461,194,476
155,"diffi,",202,458,249,479
156,Che,126,481,163,498
157,afcoltarti,175,478,260,500
158,non,271,487,306,499
159,voglio,319,480,378,506
160,?,385,481,391,499
161,Ah,404,481,431,499
162,"impara,",442,482,517,506
163,Da,126,504,153,521
164,"Alcefte,",163,504,241,524
165,ch',247,504,272,521
166,or,278,510,298,521
167,volea,304,503,353,521
168,La,126,526,151,542
169,Vittima,160,526,234,548
170,rapire,240,527,296,545
171,a,302,532,310,543
172,non,318,532,350,543
173,opporti,357,526,426,549
174,De',125,548,160,564
175,Num',167,547,217,565
176,ai,224,546,237,563
177,Voti.,248,545,305,568
178,Spettator,307,546,393,569
179,fra,399,548,423,564
180,ceppi,431,549,480,570
181,Per,126,570,159,592
182,fuo,165,569,194,592
183,caftigo,198,569,264,592
184,or,266,568,295,592
185,gli,297,568,321,590
186,convien,327,569,398,592
187,mirarla,404,568,470,592
188,Sù,123,589,165,614
189,quell',168,589,213,614
190,Ara,214,589,249,614
191,"fpirar,",255,589,317,612
192,Dunque,328,589,399,614
193,a,406,589,416,614
194,tuo,423,596,452,608
195,danno,459,591,515,610
196,Non,129,611,171,630
197,m'icritar.,176,611,270,630
198,Eur.,105,634,147,652
199,(Che,160,634,210,656
200,pena,220,638,261,657
201,E,135,656,150,675
202,"tremare,",152,656,237,675
203,e,239,657,247,676
204,tacer!,255,657,313,676
205,),321,658,328,676
206,Ajc.,110,677,156,698
207,(,159,681,167,698
208,Donna,180,679,239,695
209,crudele,246,679,313,695
210,Vuoi,133,697,175,719
211,deludermi,182,697,275,721
212,ancor,280,705,329,718
213,?),337,699,362,719
214,"Ant,",105,724,152,742
215,(Se,165,720,201,742
216,il,203,720,216,742
217,fine,223,722,255,739
218,attendi,262,722,325,739
219,Favella,120,740,195,762
220,cangierai.,203,744,296,768
221,Alc.,104,766,145,784
222,"(Barbara,",157,763,245,788
223,e,258,764,279,791
224,fiera),281,765,335,792
225,Si,607,461,634,483
226,defti,631,462,671,481
227,:el'Oftia,680,465,766,483
228,ormai,772,465,827,485
229,Tratta,612,484,671,508
230,qui,681,485,709,507
231,"fia,",713,486,745,506
232,perchè,753,487,816,509
233,s'immoli.,823,489,913,507
234,Al,920,490,940,506
235,fine,950,489,982,508
236,Refti,610,505,655,524
237,cosi,663,505,698,524
238,placato,706,507,771,531
239,Del,610,527,643,550
240,"Ciel,",649,528,697,548
241,de',705,527,732,547
242,Numi,741,531,792,549
243,il,800,531,810,547
244,minacciato,820,529,917,555
245,fdegno.,920,531,1001,557
246,(,627,547,638,571
247,Di,641,548,655,572
248,fvenarti,654,550,726,574
249,o,734,558,745,568
250,"Tiranno,",752,552,833,575
251,eccomi,840,554,902,573
252,al,908,555,923,572
253,fegno.),930,555,994,578
254,"Eur,",590,569,632,589
255,Ah,646,573,673,590
256,Genitor....,682,572,796,593
257,Creon.,587,593,649,612
258,Nè,663,595,689,612
259,vuoi,697,596,737,613
260,tacer?,746,596,802,616
261,Eur.,591,614,632,633
262,Non,646,616,684,634
