,Text,Top_Left_X,Top_Left_Y,Bottom_Right_X,Bottom_Right_Y
0,SECONDO.,727,68,882,88
1,Sento,622,92,676,114
2,troppo,682,95,745,114
3,aggitarmi,752,90,841,113
4,in,849,93,865,108
5,petto,873,95,920,113
6,il,923,90,938,108
7,Core.,944,88,1003,108
8,Sento,674,110,721,134
9,che,727,111,759,133
10,troppo,763,111,826,135
11,freme,833,112,884,132
12,Per,691,136,723,151
13,me,729,140,755,151
14,fdegnato,766,133,846,156
15,il,853,137,864,153
16,Mar:,870,137,918,153
17,Mi,690,157,715,173
18,fento,722,156,768,174
19,trafportar,774,155,865,179
20,Fra,689,179,724,202
21,le,729,179,745,202
22,tempefte.,750,175,840,205
23,Ah,670,200,697,219
24,fen,702,201,729,217
25,fuggi,735,200,783,222
26,la,788,200,805,217
27,fpeme:,811,200,879,223
28,Ne,694,224,721,241
29,in,727,223,743,240
30,me,749,221,775,239
31,tornar,782,222,838,240
32,più,845,222,877,244
33,så.,879,222,908,245
34,Tremar,692,246,764,262
35,ancor,769,244,827,264
36,mi,827,246,849,262
37,få,855,245,872,262
38,L'ira,698,264,739,287
39,Celefte.,749,264,823,287
40,ATTO,267,69,371,86
41,34,116,74,139,90
42,"Vedral,",136,86,218,110
43,s'io,226,92,256,107
44,reftarò,260,87,337,113
45,nel,339,88,357,112
46,fuo,361,90,389,107
47,periglio,396,89,470,114
48,Placido,140,112,209,130
49,fpettator.,214,109,305,134
50,Ant.,116,135,165,153
51,No,178,135,205,151
52,no:,213,132,245,155
53,"lafciate,",246,133,324,154
54,Che,139,157,174,179
55,il,182,157,192,179
56,Sagrificio,200,155,284,181
57,fi,286,153,306,180
58,compifca,308,153,390,182
59,appieno,396,156,468,180
60,3,475,161,481,174
61,Che,138,178,174,195
62,la,181,179,196,195
63,"Vittima,",204,176,289,201
64,Efangue,302,177,377,203
65,Di,138,201,160,217
66,piacer,170,201,224,221
67,vi,231,202,246,218
68,farà.,252,200,298,218
69,Sorte,307,199,355,218
70,men,361,206,399,217
71,fiera,407,200,448,217
72,Per,138,221,171,245
73,Ermione,178,221,259,245
74,fperate.,266,223,339,245
75,Or,350,224,377,240
76,l'apparenza,384,223,492,245
77,Vi,138,243,173,265
78,"delude,",169,243,246,265
79,v'ingannas,256,244,357,267
80,e,363,250,373,261
81,non,382,244,410,266
82,pofs'io,424,245,479,267
83,Ancor,141,264,199,289
84,l'Arcano,201,264,281,289
85,palefarvi.,288,264,385,289
86,Addio.,389,264,458,284
87,parte.,901,270,968,290
88,Sento,836,288,887,306
89,&c.,893,285,924,304
90,parte.,418,291,481,310
91,SCENA,219,334,340,352
92,VII.,363,330,425,355
93,SCENA,704,335,825,354
94,VIII.,847,331,922,356
95,"Learco,",228,375,304,394
96,e,313,380,322,392
97,e,334,371,350,401
98,Alcefle.,352,370,417,400
99,Learco,763,374,826,399
100,folo.,828,375,866,400
101,CHe,193,420,255,445
102,ne,256,417,273,444
103,dici,278,419,312,443
104,"Learco,",315,419,393,440
105,Di,236,441,257,457
106,quei,263,442,303,461
107,detti,309,440,351,457
108,fi,356,439,366,457
109,ofcuri?,372,440,438,459
110,Ale.,115,418,159,436
111,Iu,700,419,734,443
112,d'ogn'altro,730,420,831,442
113,io,837,421,854,438
114,dovrei,863,421,922,439
115,Lea.,608,427,658,456
116,PTremar,668,430,793,463
117,per,799,437,827,463
118,!Idol,833,442,883,464
119,mio,891,443,925,469
120,:,935,444,944,469
121,Mà,945,445,977,472
122,no,981,446,1004,473
123,Lea.,117,462,157,480
124,Al,172,463,192,479
125,par,200,467,228,482
126,confufo,236,460,305,479
127,Di,137,485,160,501
128,te,166,489,183,501
129,fon,189,481,217,505
130,io:,223,484,250,501
131,Mà,262,485,292,505
132,quel,298,484,337,505
133,parlare,343,483,408,505
134,ifteffe,418,482,472,502
135,Se,137,505,163,527
136,pur,164,511,196,525
137,ben,203,505,235,522
138,vi,243,506,259,522
139,rifletto,266,503,329,523
140,Mi,129,525,169,550
141,fa,171,525,195,550
142,fperar.,197,525,264,550
143,Si,266,528,285,550
144,Alcefte.,290,525,366,550
145,Degli,136,550,189,571
146,innocenti,200,547,286,566
147,al,293,550,307,566
148,fine,312,549,345,567
149,Anno,134,568,191,592
150,i,197,569,207,592
151,Numi,210,571,262,589
152,pietà.,271,571,328,594
153,Alc.,124,590,167,612
154,Mi,171,594,200,610
155,fon,208,593,236,610
156,"talora,",241,591,306,613
157,Reflano,137,615,211,633
158,opprefli,218,614,292,637
159,ancora,294,619,359,637
160,Gli,137,637,166,654
161,"innoceati,",172,633,262,656
162,tùl',267,633,311,657
163,fai;,312,636,339,654
164,Perciò,348,636,407,653
165,dal,414,635,441,653
166,Tempio,448,635,524,657
167,Voglio,138,659,204,680
168,Ermione,212,656,290,680
169,"rapir.,",296,656,362,679
170,Lea.,120,677,162,702
171,No.,169,677,209,703
172,T'efporefti,221,677,322,704
173,Senza,137,705,189,725
174,frutto,195,699,247,725
175,ai,249,699,269,725
176,perigli.,276,701,346,724
177,Il,359,701,373,719
178,mio,380,702,414,720
179,configlio,421,701,503,724
180,E'che,139,724,192,744
181,fperi,200,724,242,743
182,con,248,724,280,741
183,me.,286,728,323,744
184,Alc.,121,744,168,768
185,Che,174,744,205,768
186,vuoi,216,743,255,768
187,",",261,758,266,765
188,che,276,745,305,761
189,fperi!,311,744,364,766
190,Da,137,769,166,787
191,funefto,170,767,235,788
192,timore,243,768,304,785
193,Più,626,463,668,487
194,con,671,463,698,487
195,prefaggi,706,465,781,488
196,"infauíti,",788,464,862,485
197,Giacche,629,487,702,510
198,la,707,486,729,510
199,fpeme,736,486,791,510
200,a,795,486,809,510
201,germogliar,811,486,917,510
202,"comincia,",922,486,1015,510
203,Vederla,629,508,707,525
204,inaridir.,713,506,791,525
205,Quel,800,507,845,530
206,volto,852,507,899,527
207,a,901,508,915,531
208,fdegno,921,508,983,532
209,Figurarmi,630,529,724,553
210,non,730,534,764,553
211,"pollo,",771,530,835,555
212,Che,628,548,664,575
213,prendeffer,671,548,771,577
214,gli,774,550,804,577
215,"Dei,",794,552,851,579
216,"Sò,cheOggetto",628,571,767,596
217,ed'incanto,771,571,874,596
218,agli,879,575,912,596
219,occhi,916,575,963,592
220,miei.,969,575,1014,592
221,Quelle,672,594,734,616
222,luci,741,596,773,612
223,del,781,597,808,614
224,mio,815,597,849,613
225,"Bene,",858,595,916,615
226,Che,689,617,729,635
227,sfavillano,735,617,821,639
228,d'Amore,828,619,907,636
229,Placarebhero,694,638,817,659
230,il,824,641,835,655
231,rigore,842,640,899,662
232,Dell'iftefla,699,657,794,682
233,Crudeltà.,800,659,897,683
234,Han,670,683,709,700
235,tal,716,683,738,699
236,"forza,",744,683,802,702
237,che,808,683,838,700
238,convier,844,684,909,701
239,e,916,689,927,701
240,Adorarle,694,704,779,723
241,a,785,703,798,725
242,chi,800,703,828,725
243,le,835,704,855,726
244,mira:,857,706,911,724
245,Alle,694,727,732,743
246,Fiere,740,728,787,744
247,avvezze,792,732,867,746
248,all'ir,871,728,912,745
249,a,917,733,926,744
250,Deltariano,698,746,790,771
251,ancor,796,748,847,772
252,pietà.,852,750,908,773
253,Quelle,818,770,886,796
254,&c.,892,772,924,789
255,B,777,792,816,813
256,6,815,794,826,810
257,(non,895,467,949,489
258,voglio,958,465,1015,489
259,parte.,939,754,1003,771
260,Sen-,486,788,526,807
261,SCE-,962,796,1011,813
